Reaction_ID,CORDA_Score
AKR1C41,2
AKR1C42,2
AKR1D,1
AKR1D2,1
ALAASNNaEx,3
ALACYSNaEx,3
ALADGLNexR,3
ALADGLYexR,3
ALAGLNexR,3
ALAGLNNaEx,3
ALAGLYexR,3
ALASERNaEx,3
ALASm,3
ALAt4,3
ALATA_L,3
ALATHRNaEx,3
ALAtN1,3
ALCD21_D,3
LCARS,3
ALCD22_D,3
ALCD22_L,3
ALCD2x,3
ALCD2y,1
ALDD20x,3
ALDD20xm,3
ALDD21,3
ALDD2xm,3
ALDD2y,3
ALDSTRNte,-1
ALDSTRNtm,-1
ALOX12,1
ALOX15,3
ALOX5,2
ALOX52,2
ALR2,3
ALR3,3
AMACR2p,3
AMACRp,3
AMCOXO,-1
AMETr,-1
AMETt2m,3
AMPDA,3
AMPTASECGe,3
AMPtp,-1
AMY1e,3
AMY2e,3
ANDRSTRNGLCte,3
ANDRSTRNGLCtr,-1
ANDRSTRNte,-1
ANDRSTRNtr,-1
ANTIPYRENEte,-1
AOBUTDsm,-1
APAT2rm,3
APNNOXte,-1
APOCF,-1
APOCFm,-1
APOC_LYS_BTNP,-1
APOC_LYS_BTNPm,-1
APPNNte,-1
APRTO2,3
AQCOBALt,-1
ARAB_Lt,-1
ARABR,3
ARACHCOAtx,-1
ARACHCPT1,3
ARACHCPT2,3
ARACHCRNt,3
ARACHDCOAtx,-1
ARACHDt2,2
ARACHDtr,-1
ARACHt,-1
ARGDCm,1
ARGLYSex,3
ARGNm,3
ARGSS,3
ARGt4,1
ARGtm,3
ARSA,3
ARTCOAL1_cho,-1
ARTCOAL2_cho,-1
ARTCOAL3_cho,-1
R_group_phosphotase_1,-1
R_group_phosphotase_2,-1
R_group_phosphotase_3,-1
ARTFR208,-1
ARTPLM3,-1
ARTPLM3m,-1
ASAH1,3
ASCBOX_1,-1
ASCBt,-1
ASCBt4,3
ASNALANaEx,3
ASNCYSNaEx,3
ASNGLNNaEx,3
ASNNm,3
ASNS1,3
ASNSERNaEx,3
ASNt4,3
ASNTHRNaEx,3
ASNtm,-1
ASNtN1,3
ASPCT,3
ASPDt6,3
ASPDxt,-1
ASPGLUm,3
ASPNATm,-1
ASPt6,3
ASPTAm,3
ATP1ter,-1
ATP2ter,-1
ATPH1e,3
ATPH2e,3
ATPtm,3
ATPtn,-1
ATPtx,-1
AVITE2t,-1
B_MANNASEly,3
B3GALT3g,3
B3GALT41g,3
B3GALT42g,3
B3GALT43g,3
B3GALT44g,3
B3GALT5g,3
B3GALTg,-1
B3GNT11g,3
B3GNT12g,3
B3GNT310g,1
B3GNT311g,1
B3GNT312g,1
B3GNT313g,1
B3GNT314g,1
B3GNT315g,1
B3GNT31g,1
B3GNT32g,1
B3GNT33g,1
B3GNT34g,1
B3GNT35g,1
B3GNT36g,1
B3GNT37g,1
B3GNT39g,1
B3GNT51g,3
BAAT1x,1
BAAT2x,1
BAAT3x,1
BAAT4x_cho,1
BACCL,3
BACCLm,3
BALAtmr,-1
BALAVECSEC_1,3
BAMPPALDOX,3
BBHOX,3
BCDO,1
BDHm,3
BETALDHxm,-1
BHBt,-1
BHBtm,-1
BHMT,1
BILDGLCURt,3
BILDGLCURte,3
BILDGLCURtr,-1
BILGLCURt,3
BILGLCURte,3
BILGLCURtr,-1
BILIRED,3
BILIRUBt2,3
BILIRUBtr,-1
BIOCYTtn,-1
BMTer_U,3
BPNT2,3
BTND1,3
BTND1n,3
BTNDe,3
BTNDm,3
BTNPL,3
BTNPLm,3
BTNt2i,3
BTNt2m,3
BTNt3i_1,3
BTNt4i,3
BTNtn,-1
BUP2,2
BUTt2m,3
BVITEt,-1
BZt,-1
BZtr,-1
C14STRr,3
C160CPT1,3
C160CPT2,3
C160CRNt,3
C161CPT1,3
C161CPT12,3
C161CPT2,3
C161CPT22,3
C161CRN2t,3
C161CRNt,3
C180CPT1,3
C180CPT2,3
C180CRNt,3
C181CPT1,3
C181CPT2,3
C181CRNt,3
C204CPT1,3
C204CPT2,3
C204CRNt,3
C226COAtx,-1
C226CPT1,3
C226CPT2,3
C226CRNt,-1
C3STDH1Pr,3
C3STDH1r,3
C3STKR2r,3
C4STMO1r,1
C4STMO2Pr,3
C4STMO2r,3
CAATPS_1,3
CAROtr,-1
CARVEOLte,-1
CAT2p,3
CAt7r,3
CATm,3
CATp,3
CBL2OR,-1
CBL2tm,3
CBPPer,3
CBPSam,2
CBPter,-1
CBR2,3
CDIPTr,3
CDPDAGtm,-1
CDS,3
CDSm,3
CEPTC,3
CEPTE,3
CERK,3
CERT1gt,1
CERT1rt,1
CERT2gt,1
CERT2rt,1
CGLYt3_2,3
CH25H,2
CHAT,3
CHATn,3
CHLP,3
CHLPCTD,3
CHLtm,-1
CHOLATEt,3
CHOLATEt2,2
CHOLATEt3,2
CHOLD2m,3
CHOLK,3
CHOLPtg,-1
CHOLPtl,-1
CHOLt4,3
CHOLtg,-1
CHOLtn,-1
CHOLtr,-1
CHOLtu,3
CHSTEROLSULT,3
CHSTEROLt1,3
CHSTEROLt2,-1
CHSTEROLt3,-1
