"Gene_ID","GSM6964918","GSM6964919","GSM6964920"
"ENSMUSG00000000001",1611,1597,1520
"ENSMUSG00000000003",0,0,0
"ENSMUSG00000000028",58,62,41
"ENSMUSG00000000031",12,8,6
"ENSMUSG00000000037",57,33,77
"ENSMUSG00000000049",8,13,13
"ENSMUSG00000000056",1731,1856,1787
"ENSMUSG00000000058",1663,1717,1815
"ENSMUSG00000000078",1110,1231,1366
"ENSMUSG00000000085",1642,1548,1652
"ENSMUSG00000000088",1953,2175,2583
"ENSMUSG00000000093",104,150,137
"ENSMUSG00000000094",9,7,3
"ENSMUSG00000000103",0,0,0
"ENSMUSG00000000120",92,145,80
"ENSMUSG00000000125",115,75,105
"ENSMUSG00000000126",374,418,423
"ENSMUSG00000000127",527,467,494
"ENSMUSG00000000131",3216,3158,3145
"ENSMUSG00000000134",1195,1173,1208
"ENSMUSG00000000142",772,782,764
"ENSMUSG00000000148",790,732,818
"ENSMUSG00000000149",4140,4027,4145
"ENSMUSG00000000154",17,46,15
"ENSMUSG00000000157",2,3,0
"ENSMUSG00000000159",8,8,11
"ENSMUSG00000000167",39,91,60
"ENSMUSG00000000168",5116,4777,5283
"ENSMUSG00000000171",3031,3047,3056
"ENSMUSG00000000182",17,2,14
"ENSMUSG00000000183",0,0,0
"ENSMUSG00000000184",2079,2308,2119
"ENSMUSG00000000194",1852,1764,1839
"ENSMUSG00000000197",4445,4098,4754
"ENSMUSG00000000202",660,665,686
"ENSMUSG00000000204",6,2,2
"ENSMUSG00000000214",53,43,32
"ENSMUSG00000000215",8,11,0
"ENSMUSG00000000216",8,22,7
"ENSMUSG00000000223",2414,2073,2060
"ENSMUSG00000000244",6,6,1
"ENSMUSG00000000247",3137,3047,3706
"ENSMUSG00000000248",0,0,0
"ENSMUSG00000000253",1794,1810,2121
"ENSMUSG00000000263",7,0,0
"ENSMUSG00000000266",1325,1211,1193
"ENSMUSG00000000275",408,337,387
"ENSMUSG00000000276",3713,3719,3591
"ENSMUSG00000000278",460,518,519
"ENSMUSG00000000282",1645,1719,1837
"ENSMUSG00000000290",174,126,176
"ENSMUSG00000000295",263,291,354
"ENSMUSG00000000296",884,1082,1045
"ENSMUSG00000000301",58,81,65
"ENSMUSG00000000303",60,40,135
"ENSMUSG00000000305",544,409,416
"ENSMUSG00000000308",5319,5458,6281
"ENSMUSG00000000317",112,64,54
"ENSMUSG00000000318",25,7,17
"ENSMUSG00000000320",27,24,35
"ENSMUSG00000000325",1037,1047,1091
"ENSMUSG00000000326",2353,2280,2580
"ENSMUSG00000000339",987,962,1109
"ENSMUSG00000000340",772,858,816
"ENSMUSG00000000346",4957,4946,5269
"ENSMUSG00000000355",1457,1456,1555
"ENSMUSG00000000359",31,19,13
"ENSMUSG00000000365",19,15,13
"ENSMUSG00000000374",3650,3653,3478
"ENSMUSG00000000378",1640,1662,1737
"ENSMUSG00000000381",0,0,0
"ENSMUSG00000000384",991,1048,993
"ENSMUSG00000000385",0,12,2
"ENSMUSG00000000386",2,8,15
"ENSMUSG00000000392",68,165,46
"ENSMUSG00000000394",4,5,0
"ENSMUSG00000000399",2350,2457,2619
"ENSMUSG00000000402",110,102,97
"ENSMUSG00000000409",59,52,72
"ENSMUSG00000000411",5,4,6
