"Gene_ID","GSM6435238","GSM6435239","GSM6435240","GSM6435241"
"ENSMUSG00000000826",8591,8027,8156,7846
"ENSMUSG00000000827",854,640,753,708
"ENSMUSG00000000838",1865,1626,1730,1835
"ENSMUSG00000000861",1922,1854,1700,1952
"ENSMUSG00000000869",309,267,384,315
"ENSMUSG00000000876",278,274,292,248
"ENSMUSG00000000881",3796,3581,4090,3824
"ENSMUSG00000000884",60,73,71,64
"ENSMUSG00000000889",5,7,11,5
"ENSMUSG00000000901",35,52,30,24
"ENSMUSG00000000902",1047,1003,1056,1021
"ENSMUSG00000000903",2,6,1,1
"ENSMUSG00000000915",2119,1757,1506,1687
"ENSMUSG00000000916",199,136,175,174
"ENSMUSG00000000934",195,215,235,200
"ENSMUSG00000000938",0,0,0,0
"ENSMUSG00000000942",0,0,0,0
"ENSMUSG00000000948",393,343,365,300
"ENSMUSG00000000957",271,298,323,193
"ENSMUSG00000000958",36,43,55,52
"ENSMUSG00000000959",761,758,774,761
"ENSMUSG00000000976",352,275,391,356
"ENSMUSG00000000982",2,2,0,2
"ENSMUSG00000000983",2,6,9,15
"ENSMUSG00000001014",0,0,0,0
"ENSMUSG00000001016",1201,1116,1168,1116
"ENSMUSG00000001017",3132,2945,3151,2865
"ENSMUSG00000001018",945,771,765,811
"ENSMUSG00000001020",0,0,3,1
"ENSMUSG00000001021",12,12,6,7
"ENSMUSG00000001023",0,2,0,30
"ENSMUSG00000001025",174,173,99,161
"ENSMUSG00000001027",0,0,0,0
"ENSMUSG00000001029",30,44,27,41
"ENSMUSG00000001034",364,371,326,334
"ENSMUSG00000001036",2693,2542,2397,2468
"ENSMUSG00000001039",198,145,232,184
"ENSMUSG00000001052",1284,1138,1282,1188
"ENSMUSG00000001053",306,270,170,284
"ENSMUSG00000001054",780,741,738,826
"ENSMUSG00000001056",484,453,390,415
"ENSMUSG00000001062",1199,988,1049,996
"ENSMUSG00000001065",306,270,252,258
"ENSMUSG00000001076",0,1,0,0
"ENSMUSG00000001082",282,211,253,303
"ENSMUSG00000001089",2386,1950,1673,2129
"ENSMUSG00000001095",0,0,0,0
"ENSMUSG00000001098",578,485,608,512
"ENSMUSG00000001100",1726,1455,1357,1534
"ENSMUSG00000001103",40,40,11,49
"ENSMUSG00000001105",644,552,560,548
"ENSMUSG00000001119",699,718,588,996
"ENSMUSG00000001120",847,947,930,1491
"ENSMUSG00000001123",121,111,88,87
"ENSMUSG00000001127",2473,2399,2786,2255
"ENSMUSG00000001128",108,51,100,115
"ENSMUSG00000001131",10,2,3,11
"ENSMUSG00000001134",53,64,61,41
"ENSMUSG00000001138",620,557,687,538
"ENSMUSG00000001143",616,594,755,592
"ENSMUSG00000001150",975,961,1084,1034
"ENSMUSG00000001151",824,752,921,679
"ENSMUSG00000001155",4,0,2,0
"ENSMUSG00000001156",470,453,487,495
"ENSMUSG00000001157",647,594,620,611
"ENSMUSG00000001158",336,302,314,354
"ENSMUSG00000001166",30,23,14,33
"ENSMUSG00000001168",0,0,0,0
"ENSMUSG00000001173",1453,1405,1496,1343
"ENSMUSG00000001175",58987,51109,52593,50377
"ENSMUSG00000001211",6561,5467,5269,5631
"ENSMUSG00000001225",2,1,1,4
"ENSMUSG00000001227",2998,2873,2997,2709
"ENSMUSG00000001228",27,27,18,29
"ENSMUSG00000001229",1729,1517,1580,1555
"ENSMUSG00000001240",155,158,177,188
"ENSMUSG00000001247",104,94,50,84
"ENSMUSG00000001248",1784,1533,1747,1585
"ENSMUSG00000001249",14,7,6,11
"ENSMUSG00000001260",591,670,825,644
"ENSMUSG00000001270",30010,24442,19961,26236
"ENSMUSG00000001280",610,596,612,682
"ENSMUSG00000001281",13,14,8,12
"ENSMUSG00000001285",440,404,360,396
"ENSMUSG00000001288",175,152,178,149
"ENSMUSG00000001289",1352,1207,1228,1192
"ENSMUSG00000001300",991,1224,1534,1296
"ENSMUSG00000001305",145,101,153,125
"ENSMUSG00000001313",1538,1259,1263,1296
"ENSMUSG00000001323",1156,1127,1300,1089
"ENSMUSG00000001333",29,13,19,21
"ENSMUSG00000001334",1641,1345,962,1541
"ENSMUSG00000001348",7,2,3,3
