"Gene","GSM6506766","GSM6506768","GSM6506769"
"Rp1l1",0.007837004,0,0
"Rp2",2.566073569,2.471320967,2.331720986
"Rp9",21.1046332,22.01131492,17.67310951
"Rpa1",15.92493989,17.27981342,14.43746552
"Rpa2",5.469437186,5.022361966,5.41401229
"Rpa3",5.894815078,8.226282531,6.952596045
"Rpain",6.093929485,6.711297849,7.940110793
"Rpap1",5.371729917,5.109852303,5.047949516
"Rpap2",4.682882491,4.030020882,4.192003969
"Rpap3",11.91075924,11.96147077,12.22414169
"Rpe",5.412036796,5.415235109,5.966035541
"Rpe65",0.786956452,1.018880809,0.53969883
"Rpf1",3.195178799,2.653323303,3.027549488
"Rpf2",6.670335351,8.681511399,5.896739495
"Rpgr",2.895281357,2.937832529,2.891027643
"Rpgrip1",0.053913802,0.08434501,0.028217279
"Rpgrip1l",4.244554697,3.824605978,4.080315463
"Rph3a",141.1327701,134.1786779,142.6488392
"Rph3al",0.337774695,0.150979681,0.315685228
"Rpia",5.081801763,4.738932961,5.56972783
"Rpl10",167.0397076,181.3736001,158.3899765
"Rpl10a",91.73879677,98.27859949,88.09962783
"Rpl10l",0,0,0
"Rpl11",133.601649,144.6557045,117.0481671
"Rpl12",224.8332286,239.3415254,210.1422154
"Rpl13",263.8328909,283.9501799,256.0511876
"Rpl13a",268.3106255,286.6221834,239.1352525
"Rpl14",134.776864,149.2527803,126.8460251
"Rpl15",61.98709246,62.86800788,60.23492859
"Rpl17",119.9833536,121.340872,113.6578789
"Rpl18",72.19762847,74.15767884,62.67050085
"Rpl18a",114.9673191,122.2600848,110.2496743
"Rpl19",237.5934825,261.5048119,216.9335086
"Rpl21",20.59172283,20.55621635,20.09536488
"Rpl22",36.67001411,34.77926714,35.04777553
"Rpl22l1",53.73660758,56.34490712,45.52064533
"Rpl23",101.5513667,98.42316124,89.80109223
"Rpl23a",256.433055,270.8039635,232.9762169
"Rpl24",193.6263767,194.6220737,174.0985343
"Rpl26",367.4754297,367.6960914,324.6148527
"Rpl27",89.05362768,89.41720187,79.09122652
"Rpl27a",165.1035027,187.2997758,155.4210017
"Rpl28",235.213401,240.1508997,199.3449993
"Rpl29",35.88867918,43.72890402,34.97793698
"Rpl3",290.3914212,314.5543432,276.4791631
"Rpl30",165.9848669,167.4945739,149.0632723
"Rpl31",148.3929023,151.6841425,128.7129837
"Rpl31-ps12",0.218885579,0.11414459,0.572799106
"Rpl32",221.9708234,241.3723245,202.5353994
"Rpl32l",0.626338127,0.933209149,1.404905915
"Rpl34",35.82607333,62.8633521,34.20167666
"Rpl34-ps1",33.21866907,6.6883755,32.2209899
"Rpl35",194.8885526,224.0395671,171.3703407
"Rpl35a",89.90780066,95.61804513,78.25623531
"Rpl36",73.86875281,80.71092629,67.72036763
"Rpl36a",111.6817786,122.9194847,110.4403531
"Rpl36al",67.31430128,64.00840038,62.95427791
"Rpl37",153.4733784,170.7718925,145.0446256
"Rpl37a",165.8475187,176.9186793,146.0668893
"Rpl37rt",28.98242733,27.43957122,23.34221015
"Rpl38",143.2851803,149.2358984,123.4440522
"Rpl39",103.3775408,108.7098348,96.5850157
"Rpl39l",0.061593384,0,0.064473202
"Rpl3l",0.108249953,0.018816751,0.113311213
"Rpl4",313.2772913,326.269869,294.6253026
"Rpl41",528.7593097,569.9318194,454.6897163
"Rpl5",110.2433102,106.0591505,97.46470422
"Rpl6",133.5319323,147.1049424,127.5847944
"Rpl7",222.3732185,231.2760045,202.5535387
"Rpl7a",104.3977957,113.2713286,101.4488389
"Rpl7l1",13.39502471,13.92809284,13.10641724
"Rpl8",294.3477791,299.7511091,268.2937852
"Rpl9",216.9225528,238.9674461,198.0029828
"Rplp0",116.1841435,120.8099628,107.3877025
"Rplp1",572.2604446,606.8794691,524.8504355
"Rplp2",124.8764634,142.5955337,122.2452517
"Rpn1",35.70623597,37.05819141,34.23948334
"Rpn2",33.38762713,34.06674842,32.02956648
"Rpp14",10.55561443,10.18888279,10.79303944
"Rpp21",18.75148979,17.45773019,16.96676776
"Rpp25",14.04933189,13.74992856,13.09965171
"Rpp25l",6.474149017,7.059208764,5.506190517
"Rpp30",9.026947316,7.742083931,8.249892729
"Rpp38",1.361452062,1.522411788,1.336956217
"Rpp40",1.281843804,0.983024584,1.420704857
"Rprd1a",5.582406117,5.626528018,6.277168015
"Rprd1b",6.605493023,6.51785166,6.866235182
"Rprd2",6.987548475,6.583439686,7.170484365
"Rprm",40.41707226,44.04542645,38.05332011
"Rprml",38.24535452,39.8884233,35.43018948
"Rps10",86.71388164,93.93835609,83.13666225
"Rps11",191.3794428,220.8921558,181.2618013
"Rps12",120.6659575,135.5552947,114.5332822
"Rps13",133.5179467,135.9316936,116.3242786
"Rps14",275.8537592,294.7377747,262.6532402
"Rps15",419.061471,448.2716734,400.4306924
"Rps15a",25.7941483,27.20348278,24.57111878
"Rps16",159.4277139,163.4921733,142.4490837
"Rps17",217.9158329,233.6881712,190.2041062
"Rps18",204.7039657,228.8912712,201.7888173
"Rps19",91.42970113,99.51104209,84.68365806
"Rps19bp1",15.38053584,15.90818025,12.3586583
"Rps2",166.0690804,206.6608942,177.9408737
"Rps20",25.07097384,26.34043756,20.96557758
"Rps21",214.1460044,223.2147619,193.3399707
"Rps23",357.907501,378.9575713,313.5999764
"Rps24",69.33060407,73.35545987,61.10150873
"Rps25",195.3086582,208.6262727,177.689652
"Rps26",195.6827305,206.9257973,188.9899507
"Rps27",224.894178,222.5806312,202.7179079
"Rps27a",107.8116787,152.0105633,127.3726604
"Rps27l",5.447615508,4.75780611,4.404231253
"Rps27rt",8.214647027,9.158424762,8.746979289
"Rps28",149.8150186,158.6229321,132.456611
