"Gene_ID","GSM6614483","GSM6614484","GSM6614485"
"ENSMUSG00000000915",4251,4055,3545
"ENSMUSG00000000916",361,804,491
"ENSMUSG00000000934",678,1046,673
"ENSMUSG00000000938",0,0,0
"ENSMUSG00000000942",0,0,0
"ENSMUSG00000000948",785,676,740
"ENSMUSG00000000957",699,1052,501
"ENSMUSG00000000958",52,174,74
"ENSMUSG00000000959",1972,2112,1714
"ENSMUSG00000000976",480,568,548
"ENSMUSG00000000982",0,89,0
"ENSMUSG00000000983",31,5,46
"ENSMUSG00000001014",62,93,59
"ENSMUSG00000001016",3403,4076,3093
"ENSMUSG00000001017",4421,3820,2900
"ENSMUSG00000001018",1499,976,1389
"ENSMUSG00000001020",84,424,43
"ENSMUSG00000001021",17,56,21
"ENSMUSG00000001023",0,0,0
"ENSMUSG00000001025",343,1812,410
"ENSMUSG00000001027",0,4,0
"ENSMUSG00000001029",69,110,80
"ENSMUSG00000001034",626,794,599
"ENSMUSG00000001036",3836,2681,3393
"ENSMUSG00000001039",466,422,483
"ENSMUSG00000001052",1683,1726,1693
"ENSMUSG00000001053",671,1002,674
"ENSMUSG00000001054",1736,2174,1369
"ENSMUSG00000001056",2708,2840,1814
"ENSMUSG00000001062",1080,1362,1014
"ENSMUSG00000001065",298,386,430
"ENSMUSG00000001076",4,7,26
"ENSMUSG00000001082",323,426,324
"ENSMUSG00000001089",4451,4240,4938
"ENSMUSG00000001095",0,0,0
"ENSMUSG00000001098",2132,3360,2024
"ENSMUSG00000001100",4163,3631,3825
"ENSMUSG00000001103",268,32,227
"ENSMUSG00000001105",2198,1531,1941
"ENSMUSG00000001119",243,800,256
"ENSMUSG00000001120",1081,1830,1221
"ENSMUSG00000001123",238,391,265
"ENSMUSG00000001127",4375,3918,4160
"ENSMUSG00000001128",72,121,131
"ENSMUSG00000001131",0,3083,10
"ENSMUSG00000001134",227,246,213
"ENSMUSG00000001138",1111,793,1122
"ENSMUSG00000001143",1817,1294,1568
"ENSMUSG00000001150",1685,1975,1721
"ENSMUSG00000001151",1298,1208,1340
"ENSMUSG00000001155",2,0,3
"ENSMUSG00000001156",793,1036,882
"ENSMUSG00000001157",1233,1184,1056
"ENSMUSG00000001158",2114,2067,1922
"ENSMUSG00000001166",33,36,21
"ENSMUSG00000001168",0,0,0
"ENSMUSG00000001173",2107,2709,2355
"ENSMUSG00000001175",59181,54777,47406
"ENSMUSG00000001211",12403,12199,12591
"ENSMUSG00000001225",0,4,13
"ENSMUSG00000001227",7736,7285,7246
"ENSMUSG00000001228",53,93,49
"ENSMUSG00000001229",2386,2330,2236
"ENSMUSG00000001240",901,707,1001
"ENSMUSG00000001247",215,303,218
"ENSMUSG00000001248",2709,3054,2042
"ENSMUSG00000001249",3,22,13
"ENSMUSG00000001260",1376,690,1445
"ENSMUSG00000001270",45866,34153,42198
"ENSMUSG00000001280",126,1018,860
"ENSMUSG00000001281",36,64,12
"ENSMUSG00000001285",931,991,691
"ENSMUSG00000001288",269,347,261
"ENSMUSG00000001289",5795,4535,5233
"ENSMUSG00000001300",1230,2118,1459
"ENSMUSG00000001305",369,562,271
"ENSMUSG00000001313",2872,3513,3598
"ENSMUSG00000001323",4429,3644,3845
"ENSMUSG00000001333",134,117,139
"ENSMUSG00000001334",3943,2277,4638
"ENSMUSG00000001348",34,12,8
"ENSMUSG00000001349",28,83,45
"ENSMUSG00000001366",4145,3572,3980
"ENSMUSG00000001376",3395,3493,2998
"ENSMUSG00000001380",3786,5970,3448
"ENSMUSG00000001383",12363,9088,9737
"ENSMUSG00000001403",28,18,32
"ENSMUSG00000001415",2647,3187,2830
"ENSMUSG00000001416",4279,5441,4374
"ENSMUSG00000001418",942,881,1041
"ENSMUSG00000001419",7602,11535,6885
"ENSMUSG00000001420",85,70,49
"ENSMUSG00000001424",4042,3372,2851
"ENSMUSG00000001435",144,508,275
"ENSMUSG00000001436",487,489,514
"ENSMUSG00000001440",8059,10950,7844
"ENSMUSG00000001441",4212,4815,4165
"ENSMUSG00000001444",5,16,0
"ENSMUSG00000001445",1890,1911,1680
"ENSMUSG00000001467",3971,4702,4447
"ENSMUSG00000001472",14147,16029,13786
"ENSMUSG00000001473",162,3496,232
"ENSMUSG00000001482",2213,1988,2318
"ENSMUSG00000001493",54,128,36
"ENSMUSG00000001494",21,0,17
"ENSMUSG00000001496",16,8,16
"ENSMUSG00000001497",0,0,0
"ENSMUSG00000001504",33,5,152
"ENSMUSG00000001506",334,788,482
"ENSMUSG00000001507",628,628,931
"ENSMUSG00000001508",0,0,0
"ENSMUSG00000001510",9,0,0
"ENSMUSG00000001517",52,63,58
"ENSMUSG00000001518",699,712,878
"ENSMUSG00000001520",614,865,551
"ENSMUSG00000001521",658,894,774
"ENSMUSG00000001524",413,570,379
"ENSMUSG00000001525",16538,17533,16091
"ENSMUSG00000001542",1041,1204,1142
"ENSMUSG00000001552",1296,2028,1146
"ENSMUSG00000001555",417,506,262
"ENSMUSG00000001558",12,12,8
