"Gene_ID","GSM7300216","GSM7300217","GSM7300218","GSM7300219"
"ENSMUST00000000001",1497,1533,1039,1591
"ENSMUST00000000003",0,0,0,0
"ENSMUST00000000010",0,0,0,0
"ENSMUST00000000028",45.3957,20.4271,49.481,60.3644
"ENSMUST00000000033",4158.91,3900.39,2639.03,4963.8
"ENSMUST00000000049",14,8.85243,9,12
"ENSMUST00000000058",1034.3,1259.61,680.044,1200.61
"ENSMUST00000000080",1436.88,1674.02,1031,1714.16
"ENSMUST00000000087",690.173,936.308,581.203,1043.25
"ENSMUST00000000090",3471.94,3557.29,2245.41,3785.5
"ENSMUST00000000094",316.482,298.818,168.102,333.249
"ENSMUST00000000095",167,156,104.026,175
"ENSMUST00000000096",0,0,1.39011e-08,0
"ENSMUST00000000109",1051.8,455.86,432.298,395.06
"ENSMUST00000000122",145.441,163.97,89.5591,197.87
"ENSMUST00000000127",320,327,186,283
"ENSMUST00000000128",0,0,0,0
"ENSMUST00000000129",314.562,437.516,249.156,406.383
"ENSMUST00000000137",7831.04,7983.56,5201.23,8370.02
"ENSMUST00000000145",76.9585,119.08,154.645,222.93
"ENSMUST00000000153",4623.81,4971.23,3290.91,5244.78
"ENSMUST00000000161",0,0,0,0
"ENSMUST00000000163",8.70157,11.5654,0,22.6749
"ENSMUST00000000171",26.9008,38.0337,26.2829,41.6576
"ENSMUST00000000175",2262,2323,1609,2530
"ENSMUST00000000186",39,40,14,28
"ENSMUST00000000187",10.0436,13.4467,11.2675,8.19771
"ENSMUST00000000188",1170.39,1462.19,891.804,1578.2
"ENSMUST00000000193",11,1,6,5
"ENSMUST00000000194",5,0,3,12
"ENSMUST00000000199",9567.56,10418,7016.27,11687.6
"ENSMUST00000000201",7902.43,8976.69,5755.93,8889.3
"ENSMUST00000000206",270.742,192.879,159.042,340.092
"ENSMUST00000000208",0,0,0,0
"ENSMUST00000000219",2276.05,1313.55,702.512,2656.27
"ENSMUST00000000220",0,0,0,0
"ENSMUST00000000221",1,2,1,1
"ENSMUST00000000228",324.042,430.431,297.287,474.314
"ENSMUST00000000253",196.215,170.276,154.982,208.604
"ENSMUST00000000254",0,0,0,0
"ENSMUST00000000260",919.804,930.094,654.817,968.122
"ENSMUST00000000266",0,0,1,1
"ENSMUST00000000275",2518.14,2671.93,2031.37,2707.6
"ENSMUST00000000284",0,0,0,0
"ENSMUST00000000285",1616.09,1905.82,1299.28,1799.25
"ENSMUST00000000287",955,985,687,1092
"ENSMUST00000000291",1763.53,1898.66,1415.23,2007.42
"ENSMUST00000000299",101,129,64.0622,126.613
"ENSMUST00000000304",334.582,377.182,305.797,429.725
"ENSMUST00000000305",130.636,135.6,131.928,225.849
"ENSMUST00000000310",16.444,19.8136,0,41.2712
"ENSMUST00000000312",234.75,167.707,122.303,308.343
"ENSMUST00000000314",2308.74,2403.08,2050.31,2399.32
"ENSMUST00000000317",6297.6,6849.67,4359.04,6583.89
"ENSMUST00000000326",38,53,61,75.8469
"ENSMUST00000000327",13.4838,7.86543,1.507,6.85849
"ENSMUST00000000329",27.4211,42.325,35.1722,33.4772
"ENSMUST00000000335",302.766,365.6,192.352,357.525
"ENSMUST00000000342",1,3,5,4
"ENSMUST00000000348",1222.69,1224.61,863.658,1312.24
"ENSMUST00000000349",1074.11,985.456,710.106,1045.92
"ENSMUST00000000356",3563.1,3609.96,2527.37,3931.25
"ENSMUST00000000365",718.146,749.51,513.51,762.658
"ENSMUST00000000369",10.6511,18.7183,15.5105,6.77341
"ENSMUST00000000384",4427.88,4506.3,3091.27,4685.96
"ENSMUST00000000388",739.427,827.122,573.928,855.338
"ENSMUST00000000394",539.98,549.812,426.07,623.086
"ENSMUST00000000395",7.68014,10.9735,3.45662,17.0446
"ENSMUST00000000402",0,3.65968,2.95663e-08,0
"ENSMUST00000000412",271.008,215.576,184.303,327.599
"ENSMUST00000000421",10,19,9,7
"ENSMUST00000000430",147.742,253.658,104.791,232.527
"ENSMUST00000000445",3,5,0,3
"ENSMUST00000000449",1864.88,2130.79,1317.51,2133.94
"ENSMUST00000000450",12,0,0,14
"ENSMUST00000000451",1428.33,1269.96,873.604,1541.58
"ENSMUST00000000466",175.673,216.227,157.808,208.913
"ENSMUST00000000476",4210.3,3677.7,2909.92,4136.79
"ENSMUST00000000500",478.693,573.022,376.497,580.32
"ENSMUST00000000505",288.908,378.129,254.611,349.575
"ENSMUST00000000514",15.4421,8.53459,7.3672,10.7512
"ENSMUST00000000542",0,137.145,29.2679,74.7169
"ENSMUST00000000543",306.371,290.176,234.938,386.989
"ENSMUST00000000544",4117.02,4503.72,3246.06,4583
"ENSMUST00000000572",67.8996,224.695,271.394,167.238
"ENSMUST00000000573",341.523,393.655,275.397,426.005
"ENSMUST00000000574",45.7029,56.9937,19.1351,31.724
"ENSMUST00000000579",1467.97,1623.28,1220.69,1667.68
"ENSMUST00000000590",914.596,791.274,513.766,978.437
"ENSMUST00000000594",1484.27,1514.92,1048.18,1518.24
"ENSMUST00000000608",3887,3287,2662,3991
"ENSMUST00000000619",5671.5,6106.91,3914.57,6142.07
"ENSMUST00000000631",4.19286,0,0,0
"ENSMUST00000000632",0.654287,66.996,36.2429,26.7156
"ENSMUST00000000641",2253.65,2382.76,1715.23,2566.7
"ENSMUST00000000642",303.026,357.546,263.279,305.235
"ENSMUST00000000645",6.82964e-07,2.5386e-05,1.49748e-06,0.000153727
"ENSMUST00000000646",1178.95,1271.55,693.38,1033.13
"ENSMUST00000000674",0,34.0738,8.94805e-05,3.49778e-07
"ENSMUST00000000687",13,0,6.91825,8.01926
"ENSMUST00000000696",24,22,13,31
"ENSMUST00000000704",0,0,0,0
"ENSMUST00000000707",202.17,210.537,179.358,208.877
"ENSMUST00000000717",1,0,0,0
"ENSMUST00000000718",0,0,0,0
"ENSMUST00000000724",1274.42,1304.05,840.464,1387
"ENSMUST00000000727",6778.78,7490.45,4900.54,7458.47
"ENSMUST00000000746",0,0,0,0
"ENSMUST00000000755",112.635,134.811,101.041,134.877
"ENSMUST00000000756",6014.59,5857.62,3635.76,6163.23
"ENSMUST00000000759",2217.05,2371.14,1698.98,2527.7
"ENSMUST00000000767",1559.63,1752.12,1162.78,1704.9
"ENSMUST00000000769",152.455,197.469,144.002,208.623
"ENSMUST00000000776",897.159,1130.6,759.894,1096.75
"ENSMUST00000000783",9.99246,4.38582,7.56329,6.49315
"ENSMUST00000000793",424.904,464.863,301.499,431.579
"ENSMUST00000000804",12445.5,13493.7,8743.35,12842.1
"ENSMUST00000000808",59.2507,34.6831,21.2286,59.6139
"ENSMUST00000000809",650,739,504,784
"ENSMUST00000000811",391.026,466.755,327.493,543.674
"ENSMUST00000000821",633.977,580.112,397.439,668.368
"ENSMUST00000000828",331,401,245,400
"ENSMUST00000000834",27,23,14.8976,24
"ENSMUST00000000844",216.73,196.735,170.672,297.961
"ENSMUST00000000881",357.551,356.397,260.526,347.312
"ENSMUST00000000889",3,0,1.00292,1.14507
"ENSMUST00000000894",12.4347,43.8572,3.12409,42.1647
"ENSMUST00000000895",442.795,450.879,278.354,533.137
"ENSMUST00000000896",395.059,443.797,302.711,457.787
"ENSMUST00000000901",1669.77,1996.94,1216.82,1870.29
"ENSMUST00000000904",0,0.183193,0,10.4928
"ENSMUST00000000910",4,2,4,1
"ENSMUST00000000924",55.3562,71.7683,55.1922,93.7424
"ENSMUST00000000925",1376.51,1549.09,1075.78,1619.57
"ENSMUST00000000926",1.57442,1,3,4
"ENSMUST00000000939",4466.17,4327.65,3157.37,4801.59
"ENSMUST00000000940",146.23,238.925,120.01,229.134
"ENSMUST00000000958",567.478,617.132,479.507,523.558
"ENSMUST00000000964",0,10.0962,0,5
"ENSMUST00000000984",0,26.4134,32.0709,41.2698
"ENSMUST00000000985",1408.57,1477.72,1081.2,1590.92
"ENSMUST00000001002",978.594,996.428,751.781,1059.43
"ENSMUST00000001008",5,6,4,4
"ENSMUST00000001009",10,11,10,10
"ENSMUST00000001027",203.448,222.537,134.524,222.837
"ENSMUST00000001036",0.000502944,4.89534e-06,0,2.90675e-05
"ENSMUST00000001040",3.20155,7.8761,14.3535,13.3597
"ENSMUST00000001042",1255.49,1406.68,991.348,1414.11
"ENSMUST00000001043",2056.4,2098.01,1475.66,2312.41
"ENSMUST00000001046",41.3179,57,41.1888,34.4579
"ENSMUST00000001047",6.40264,6.02963,4.4173,10.0126
"ENSMUST00000001049",1,0,0,1
"ENSMUST00000001051",150.016,143.247,96.4813,221.73
"ENSMUST00000001055",47.9169,40.7366,31.0321,47.9302
"ENSMUST00000001059",902.062,1017.85,734.699,1045.31
"ENSMUST00000001063",411.911,462.977,363.064,168.695
"ENSMUST00000001079",2970.19,3049.63,2305.88,3312.74
"ENSMUST00000001080",222.851,192.779,144.713,220.822
"ENSMUST00000001081",702.334,746.876,549.384,757.157
"ENSMUST00000001083",135.587,162.412,101.884,201.272
"ENSMUST00000001092",673.051,648.952,533.252,601.813
"ENSMUST00000001108",4763.15,4462.92,3137.56,5213.72
"ENSMUST00000001109",37.3162,252.403,187.193,75.6528
"ENSMUST00000001112",15.2863,38.1884,16.9587,41.0441
"ENSMUST00000001115",1146.5,1565.17,1008.96,1516.33
