"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Adamtsl1",90,84,76,54
"Adamtsl2",10,13,5,4
"Adamtsl3",37,71,113,25
"Adamtsl4",112,135,132,111
"Adamtsl5",30,48,36,29
"Adap1",443,392,339,473
"Adap2",15,15,19,23
"Adar",1213,1142,975,1134
"Adarb1",3253,2965,2890,3450
"Adarb2",330,473,436,320
"Adat1",109,87,87,146
"Adat2",44,36,22,48
"Adck1",90,73,95,87
"Adck2",138,119,122,164
"Adck5",115,87,76,147
"Adcy1",18264,13114,13578,20033
"Adcy10",36,28,30,45
"Adcy2",127,172,140,106
"Adcy3",179,156,148,183
"Adcy4",19,19,20,25
"Adcy5",545,673,578,451
"Adcy6",440,433,389,409
"Adcy7",125,153,92,126
"Adcy8",499,445,488,490
"Adcy9",644,575,593,718
"Adcyap1",84,127,94,53
"Adcyap1r1",1100,1229,940,1020
"Add1",1154,1109,1056,1261
"Add2",1365,1235,1062,1451
"Add3",1163,1202,1241,1225
"Adgb",9,12,25,12
"Adgra1",212,250,189,154
"Adgra2",287,227,225,225
"Adgra3",94,103,75,79
"Adgrb1",924,972,957,904
"Adgrb2",584,522,442,556
"Adgrb3",1272,1387,1408,1719
"Adgrd1",2,6,4,4
"Adgre1",3,10,9,1
"Adgre4",0,0,0,3
"Adgre5",40,56,37,40
"Adgrf2",8,21,17,28
"Adgrf3",0,1,3,4
"Adgrf4",15,21,9,16
"Adgrf5",231,245,181,243
"Adgrg1",214,299,207,204
"Adgrg2",10,7,7,5
"Adgrg3",1,1,1,1
"Adgrg5",0,0,0,1
"Adgrg6",27,44,43,20
"Adgrl1",2666,2218,2252,2638
"Adgrl2",303,293,255,311
"Adgrl3",1151,1397,1398,1286
"Adgrl4",97,97,69,115
"Adgrv1",37,45,40,32
"Adh1",1,1,0,0
"Adh5",225,244,257,277
"Adh7",1,1,1,0
"Adhfe1",45,50,47,39
"Adi1",153,171,178,208
"Adig",4,1,1,0
"Adipoq",0,0,0,0
"Adipor1",382,386,331,365
"Adipor2",790,918,762,898
"Adk",144,170,182,196
"Adm",5,23,3,7
"Adm2",6,5,10,12
"Adnp",48,39,29,49
"Adnp2",378,414,384,456
"Ado",720,786,769,846
"Adora1",2303,1793,1869,2481
