"Gene_ID","GSM4913330","GSM4913331","GSM4913332","GSM4913333","GSM4913334","GSM4913335","GSM4913336","GSM4913337","GSM4913338","GSM4913339","GSM4913340","GSM4913341","GSM4913342","GSM4913343","GSM4913344"
"ENSMUSG00000000355",5923,7383,5261,7470,2935,5965,8677,3652,5056,2900,3531,6497,8333,3863,6884
"ENSMUSG00000000359",0,0,23,90,24,13,9,16,23,0,21,36,0,45,0
"ENSMUSG00000000365",160,0,75,44,128,63,113,32,59,49,33,27,0,24,0
"ENSMUSG00000000374",1283,429,399,649,856,419,343,529,386,1025,570,1024,334,534,798
"ENSMUSG00000000378",2177,3532,3522,4210,2591,2682,2017,2563,3119,2232,2419,3796,4630,2934,3075
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",54,116,39,48,90,54,92,79,85,105,85,170,119,87,133
"ENSMUSG00000000385",0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
"ENSMUSG00000000386",0,0,0,0,0,0,42,0,103,0,0,0,0,0,0
"ENSMUSG00000000392",101,20,78,8,55,27,154,243,348,291,206,90,350,124,105
"ENSMUSG00000000394",55,0,33,0,23,0,0,0,0,3,0,0,39,0,0
"ENSMUSG00000000399",13371,10836,7933,12819,6608,12100,14479,7808,8951,6076,8405,10901,11567,8271,11296
"ENSMUSG00000000402",125,0,154,23,321,99,44,102,88,67,142,0,0,74,0
"ENSMUSG00000000409",292,0,99,205,112,30,25,55,89,74,158,26,215,121,0
"ENSMUSG00000000411",19,0,0,0,28,7,0,12,0,0,0,0,0,2,0
"ENSMUSG00000000416",3174,451,1840,930,2105,2460,2613,1472,2205,1660,2523,2853,1907,2004,2119
"ENSMUSG00000000420",532,1564,2019,691,1373,2541,1155,3076,2226,2146,2971,483,815,1263,283
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",1740,2435,2155,2363,2068,2394,2393,2396,1969,2045,2450,2046,2763,2276,1340
"ENSMUSG00000000440",2,51,29,0,0,63,34,72,208,10,14,296,190,237,361
"ENSMUSG00000000441",1725,2366,3336,2147,2645,2469,2714,2620,2767,2904,3485,2173,2370,2936,1587
"ENSMUSG00000000486",89,310,217,521,70,62,118,100,137,81,169,83,147,66,143
"ENSMUSG00000000489",691,442,471,64,572,300,210,255,187,358,250,463,450,585,493
"ENSMUSG00000000530",160,0,113,22,222,181,32,178,51,274,80,137,261,205,92
"ENSMUSG00000000531",929,518,275,291,1224,259,162,197,273,486,206,926,401,992,307
"ENSMUSG00000000532",277,113,115,119,201,58,90,78,64,90,61,377,124,225,384
"ENSMUSG00000000538",2190,719,2661,1567,4309,2479,749,2301,2011,5205,2699,2908,1611,3575,1808
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",218,250,177,350,352,152,75,244,140,438,247,160,344,350,384
"ENSMUSG00000000555",0,0,28,57,25,0,14,37,9,83,6,14,16,31,0
"ENSMUSG00000000560",2809,628,2738,1588,2587,3687,2696,1733,3091,1846,1703,2056,861,1238,962
"ENSMUSG00000000561",1102,1510,2591,1624,3122,1794,1479,1678,2089,2646,2105,1022,1303,1881,871
"ENSMUSG00000000562",29,0,17,0,44,35,32,34,24,50,23,16,24,18,0
"ENSMUSG00000000563",20944,21340,18066,27530,12600,20584,25895,14932,18410,11838,15964,20018,23895,15998,16536
"ENSMUSG00000000567",848,428,1228,532,909,700,559,1162,1056,1223,803,1136,672,1323,787
"ENSMUSG00000000568",1564,1350,1516,2332,2425,941,1255,1298,1268,1945,1396,1318,1096,1529,1587
"ENSMUSG00000000579",39,32,69,98,19,19,34,36,43,22,42,54,36,28,36
"ENSMUSG00000000581",6547,7259,7368,7023,3443,6510,7828,4728,5895,2991,6018,5104,8994,4079,4042
"ENSMUSG00000000594",2821,1553,2259,4157,2610,3782,3406,4009,3671,3200,4579,3211,1522,3788,4011
"ENSMUSG00000000600",1838,1416,2914,2749,2067,2443,2894,2693,3299,1709,3203,1850,2894,1998,1122
"ENSMUSG00000000605",4851,3306,4846,3108,10931,6726,4831,5903,6429,9168,6127,3795,5241,5814,3936
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",234,334,340,344,761,245,152,314,292,833,458,217,326,408,182
"ENSMUSG00000000628",14,8,24,9,26,45,90,60,58,169,18,110,25,27,8
"ENSMUSG00000000631",510,341,450,1062,862,293,275,639,416,1403,804,1285,315,595,513
"ENSMUSG00000000632",1523,2629,1586,1802,6133,1663,1440,1080,1316,3896,1747,384,891,1457,947
"ENSMUSG00000000673",0,0,0,65,8,0,40,52,36,56,32,21,60,7,0
"ENSMUSG00000000682",66,107,61,105,45,81,99,256,29,94,170,335,62,135,283
"ENSMUSG00000000686",43,0,38,140,64,14,28,46,80,40,27,30,67,26,0
"ENSMUSG00000000690",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000000693",521,489,574,583,562,392,541,553,533,598,586,567,547,673,664
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,19,0,0,0,0,21,5,0,4,0,7,0
"ENSMUSG00000000708",273,481,184,541,190,231,196,1049,398,625,713,263,88,289,175
"ENSMUSG00000000711",595,680,888,964,935,893,759,1197,922,1273,1325,468,431,623,637
"ENSMUSG00000000724",3,0,0,0,20,2,10,4,7,0,11,13,35,0,1
"ENSMUSG00000000730",33,0,6,0,4,8,40,6,1,4,6,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,9,8,11,3,0,0,0,0,0,0
"ENSMUSG00000000732",0,0,76,83,71,179,317,231,330,282,147,0,52,64,2
"ENSMUSG00000000738",905,2097,1070,997,1244,1329,826,1175,1372,1543,1102,734,965,1357,983
"ENSMUSG00000000739",0,0,0,0,27,74,62,12,80,12,3,0,0,8,0
"ENSMUSG00000000740",7447,6133,4696,7406,2978,4667,5423,4273,4278,2524,5238,6956,4395,3999,7898
"ENSMUSG00000000743",3783,3816,3864,4490,4159,4602,3350,4012,4521,3392,4284,3272,4714,4771,4194
"ENSMUSG00000000751",952,314,1492,1106,1345,2110,1482,2216,2931,2249,2356,668,1246,1028,1128
"ENSMUSG00000000753",62,0,195,390,137,521,208,737,155,732,687,675,96,1986,1518
"ENSMUSG00000000759",1117,690,990,1126,1214,699,668,842,1152,1090,630,426,312,675,541
"ENSMUSG00000000766",18,0,122,26,12,23,23,10,19,27,31,4,20,9,3
"ENSMUSG00000000776",327,442,584,615,634,320,357,361,641,593,468,504,382,639,598
"ENSMUSG00000000782",0,114,75,87,62,64,10,104,55,88,94,84,196,171,138
"ENSMUSG00000000787",2951,1832,2575,1894,3053,4038,2655,3013,2644,3010,2743,2314,1238,1922,1531
"ENSMUSG00000000791",35,1,18,56,0,9,0,42,0,65,33,28,0,0,0
"ENSMUSG00000000792",1953,620,865,985,1267,1070,1546,531,1237,1387,421,141,855,282,112
"ENSMUSG00000000794",278,79,118,105,163,15,125,48,151,19,154,319,69,65,52
"ENSMUSG00000000804",1475,870,746,885,1383,950,1187,811,770,913,968,1340,801,819,1263
"ENSMUSG00000000805",2073,1870,925,1609,1270,4538,6397,2581,2974,2504,1421,4534,4242,3738,4323
"ENSMUSG00000000811",140,0,67,50,331,200,227,190,143,333,186,0,63,156,0
"ENSMUSG00000000817",3,0,0,159,12,0,4,0,0,7,0,0,0,0,0
"ENSMUSG00000000823",357,388,319,517,920,118,247,185,254,564,340,633,508,466,936
"ENSMUSG00000000826",5780,3723,8286,3796,10306,7061,4592,5743,6597,8388,5885,3922,2644,6031,3825
"ENSMUSG00000000827",3064,3958,2918,3850,2295,3027,4253,3300,2988,1955,3494,2897,2985,2752,2685
"ENSMUSG00000000838",1574,635,1452,1183,1591,1908,1415,1838,1694,1825,1878,1417,1597,1383,1258
"ENSMUSG00000000861",756,603,912,1032,919,1205,1461,601,1034,1164,912,1077,1146,1175,942
"ENSMUSG00000000869",126,67,102,107,71,78,81,42,74,35,40,136,54,40,77
"ENSMUSG00000000876",925,998,582,1056,598,617,580,716,551,605,830,1119,461,659,630
"ENSMUSG00000000881",808,606,1090,451,3193,980,741,950,1192,2595,1232,775,550,920,817
"ENSMUSG00000000884",278,292,155,480,114,192,241,82,192,183,176,236,83,205,184
"ENSMUSG00000000889",0,0,0,0,11,0,0,7,6,0,0,0,1,2,0
"ENSMUSG00000000901",3755,2851,1906,4505,2153,2109,2106,2120,2042,2719,1918,3974,2460,2696,4275
"ENSMUSG00000000902",1789,1788,1567,1594,2251,899,1375,1089,1100,1740,1558,1434,1139,1677,2506
"ENSMUSG00000000903",0,0,0,0,0,5,32,11,1,4,13,0,0,3,0
"ENSMUSG00000000915",353,549,568,370,1096,583,293,715,552,1075,832,1031,626,917,734
"ENSMUSG00000000916",827,870,600,1068,513,404,324,419,537,552,472,390,599,445,309
