Gene_ID,GSM4751074,GSM4751075,GSM4751076,GSM4751077,GSM4751078,GSM4751079,GSM4751080,GSM4751081,GSM4751082,GSM4751083,GSM4751084,GSM4751085,GSM4751086,GSM4751087,GSM4751088,GSM4751089,GSM4751090,GSM4751091,GSM4751092,GSM4751093,GSM4913330,GSM4913331,GSM4913332,GSM4913333,GSM4913334,GSM4913335,GSM4913336,GSM4913337,GSM4913338,GSM4913339,GSM4913340,GSM4913341,GSM4913342,GSM4913343,GSM4913344,GSM4960153,GSM4960154,GSM4960155,GSM6435238,GSM6435239,GSM6435240,GSM6435241,GSM6506766,GSM6506768,GSM6506769,GSM6614483,GSM6614484,GSM6614485,GSM6753921,GSM6753922,GSM6753923,GSM6845651,GSM6845652,GSM6845653,GSM6845654,GSM6964918,GSM6964919,GSM6964920,GSM7012039,GSM7012040,GSM7083658,GSM7083659,GSM7083660,GSM7102172,GSM7102173,GSM7102174,GSM7300216,GSM7300217,GSM7300218,GSM7300219,GSM7329492,GSM7329493,GSM7329494,GSM7329495,GSM7329500,GSM7329501,GSM7329502,GSM7329506,GSM7329507,GSM7329508,GSM7427996,GSM7427997,GSM7427998,GSM7427999,GSM7428004,GSM7428005,GSM7428006,GSM7428007,GSM7509810,GSM7509811,GSM7509812,GSM7994873,GSM7994882
11754,0.930397838,1.082339738,1.21213309,1.017041282,0.853597512,1.037643849,0.528712932,0.578862714,0.574211803,0.980616553,0.159774897,0.991573784,1.191144621,1.571083516,0.018434905,-0.337428348,1.308978086,-1.317945292,0.452135687,0.612664561,-2.802069124,-2.802069124,0.202755355,-2.802069124,-2.43442457,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-0.132458757,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.284143176,-1.177056645,-1.837893502,0.977011965,1.38119564,-0.16434702,0.590582294,-0.053128872,-0.171939503,0.199378955,-1.304149775,-0.725863721,0.226438246,-0.827904576,-0.734588167,-0.828113601,0.841905612,0.416432787,0.947431253,0.463941624,1.215457292,1.084724379,2.051731661,-1.539234897,-1.198124157,-1.640988398,0.460678823,-0.415110126,1.076743965,1.60528322,0.837985463,1.740189101,1.362759063,1.238983215,1.881401458,-0.208832849,0.269493314,0.52316169,0.704176931,-0.194366861,-0.81921247,0.334625518,-1.007798829,-0.894188075,-0.877701491,-0.010378459,-0.491423228,-0.225116904,-0.832605309,-0.427706621,-0.523803588,-0.164165111,-0.526340654,0.310219572,0.516783827,0.161416399,0.356565157,0.653587492
76507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237940,0.36254366,1.23248441,1.271495327,1.318380484,1.281466015,1.184723415,2.000201931,1.46444244,1.125645199,1.42240838,1.287701246,1.656032678,1.77953954,1.927142513,1.596233567,1.646946578,1.427534774,2.142165426,1.816319485,1.479648231,-1.718635236,-2.802069124,0.726526705,2.219375191,-0.305373362,0.387741797,0.632970606,0.262665736,0.649930981,-1.75068682,-0.948896452,-0.638198267,1.366249766,1.269766062,-2.802069124,1.408914289,1.424270681,1.555091697,1.586189547,1.901410543,2.091737372,1.614929494,2.656134137,2.177510529,2.398746254,1.122923474,1.883334337,1.485614468,1.704663238,1.368805321,1.675969594,2.653010306,2.250793089,2.277816436,1.309120218,2.688983171,2.1265456,2.354569694,2.900805751,3.156588279,0.042164687,-0.723361862,1.522555395,3.357329207,3.350911453,2.92093514,3.655092468,3.866929298,4.035906371,3.680600068,0.120811475,0.772678247,1.543811636,0.59924165,0.128463412,-0.014323312,0.939980351,0.745923533,0.176389833,0.195992925,2.306275069,2.441572955,2.181082619,2.796502762,2.619176578,3.123999003,2.457813266,2.876217831,2.644441428,2.181300168,2.606655505,1.829589259,1.48466748
13081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115,-1.705718433,-2.457283737,-2.263544735,-1.848429152,-2.301895347,-2.473110017,-1.91491727,-1.334385851,-2.15247836,-2.142034862,-1.136139145,-1.539847238,-2.27048071,-2.802069124,-1.706470634,-1.798883515,-2.002974641,-2.204119914,-1.888579764,-1.892423732,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.094185331,-2.802069124,-2.802069124,-0.428921663,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.177056645,-1.837893502,-0.812953125,-1.854996133,-1.596757552,-0.908714556,-1.170620939,-2.179803634,0.006669649,-1.110641164,-0.725863721,-1.072469572,-1.591317288,-1.261108149,-1.20654579,1.580972279,1.055993642,1.171841768,0.31264225,-0.147765967,-0.706888879,-1.316107399,0.630578882,0.768221358,-2.802069124,-2.802069124,-0.741017893,0.295577567,0.183602078,-0.733958646,-1.33010656,-0.898831271,-1.22888555,-1.439762435,-1.974624215,-1.446301088,-2.802069124,-2.53989512,-2.207967662,-2.802069124,-2.802069124,-1.935912845,-2.046631286,-2.802069124,-0.45114394,-0.421168745,-0.604481167,-0.565864417,-0.490333557,-0.115764284,-0.637654555,-0.969537994,-0.705296428,-0.416562411,-0.275989507,-0.149798375,-2.802069124
231691,-0.328924717,0.249124652,0.621300875,0.202548664,0.007050334,0.551232136,0.88648021,0.359170891,0.315253977,0.137417324,0.303296307,0.737676598,0.660532476,0.340531163,0.421063901,0.291010642,0.350670114,1.188281464,0.873890894,0.798287082,-0.678660621,-2.802069124,0.651399676,-0.738663705,-0.837690582,-0.954083279,-1.790999133,-0.863400915,-2.431954639,-1.030961934,0.503024527,1.13446686,-2.372822702,-1.247845442,-0.58896788,-1.998415383,2.596002591,-1.265072909,-1.159883573,-1.543890496,-0.949374581,-1.096098475,-1.759297767,-0.707879998,-1.120713279,-2.116696774,-0.796343745,-0.061011034,-0.687989702,0.082424253,-0.23746571,0.25431246,0.052155691,-0.335531313,-0.529737229,-0.3154281,-0.557079305,-2.057572696,-2.802069124,-2.802069124,3.331945058,2.972404005,3.135396473,-0.346611143,-0.807307501,-0.066335567,1.166354526,1.084532488,0.790415718,0.925565407,-2.802069124,-2.802069124,-2.286394204,-2.125933845,-2.207967662,-2.22470075,-2.802069124,-2.802069124,-2.375458785,-1.923374138,-0.108596886,-0.354177146,-0.293425895,0.025254478,-0.149835088,0.118082659,-0.164165111,-0.128650826,-0.902405473,0.173573971,-1.56327473,3.452174886,3.253763987
20887,3.204231596,2.757530082,2.541073465,2.573476626,2.487887792,3.451454899,3.201257501,2.8877571,2.771889989,2.915763368,2.654747926,3.821822312,3.121547383,3.19655948,2.754029003,2.727718976,2.801029699,2.87240401,2.777792072,3.058594283,4.031155734,4.441484805,4.20527761,5.037044831,3.404483968,4.542433498,5.086141365,3.980475301,4.546838565,3.668436393,3.97188693,5.018842081,4.15233853,4.263919047,1.548129817,2.960928276,4.565566709,2.841032127,3.164179451,2.35975381,2.631663198,2.876767204,2.817696582,2.915398868,2.781950031,3.234941935,2.232126322,3.823028506,3.578683047,4.200445263,3.96287688,3.753344671,3.95239152,4.12986766,3.751023544,2.581694883,2.830908316,2.93210156,1.407059614,1.570703762,3.499585757,2.79156901,2.736415339,3.514030821,3.696650375,3.799203028,5.132170568,5.026213283,4.878048598,4.957752347,3.554416408,3.924014998,3.882049482,3.578253741,3.082691481,3.129596131,3.322672712,3.224252915,2.896222831,3.719301913,3.762479974,3.363919032,3.183446409,3.114048099,3.275185227,3.471060722,2.89833729,3.407501139,3.523579872,3.405159566,3.601211519,2.760399179,2.648612581
217593,0.659401625,-0.12416832,0.027488779,0.89209798,0.780628232,0.135044753,0.607716503,0.359170891,0.406836014,-0.23378858,0.159774897,0.702551326,0.506873708,0.518605174,0.663076243,-0.041758498,0.26833507,0.402230647,0.579909283,1.269565406,2.073213166,-2.802069124,1.479283661,-2.802069124,-0.461955849,-0.247492981,1.248393205,1.390476022,1.136246224,0.192754094,1.525219475,-2.802069124,1.366249766,2.413329495,3.152497087,0.340004437,0.421012533,-0.162786894,0.078449898,-0.30642876,-1.134653338,-0.336103225,-0.869560109,-0.166701058,0.09553939,-0.716885668,-1.418858082,0.401529909,0.420476116,-0.206280262,0.386813353,0.715896786,0.245761214,-0.335531313,0.143596414,-0.981341471,-0.358024709,-0.402223737,0.318642547,0.161240842,0.938047654,-0.129913389,-1.761082608,-0.525817815,-0.31305076,-0.461708997,0.113847877,-0.585533263,0.269689212,0.049391397,0.2611107,-0.026491796,0.52316169,0.330852722,0.866871317,0.425383099,0.668823569,0.935833924,0.864510849,-0.081482286,-0.586145388,0.229926883,-0.293425895,0.316993287,-0.052120201,-0.167452448,0.236097376,-0.451972989,0.310219572,0.267328808,0.029819356,0.125486004,-0.857611726
106557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16833,-2.802069124,-2.802069124,-2.263544735,-2.802069124,-2.802069124,-2.205407235,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.347120809,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.998415383,-2.802069124,-1.837893502,-2.802069124,-2.802069124,-2.802069124,-2.263534218,-0.19648489,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.522457474,-1.635632242,-1.228461297,-1.173950734,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.452645253,-2.802069124,1.014666374,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.450517524,-2.802069124,-2.802069124,-1.563797864,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.524402725
