"Gene_ID","ubiquity_score_25","ubiquity_score_30","ubiquity_score_50","ubiquity_score_75","ubiquity_score_90"
11754,0.000338707492209728,0,0,0,0
76507,0,0,0,0,0
237940,0.474747474747475,0.202020202020202,0,0,0
13081,0,0,0,0,0
13115,0.0101010101010101,0,0,0,0
231691,0.0606060606060606,0.0606060606060606,0,0,0
20887,0.00650318385042677,0.00616447635821704,0.000745156482861401,0,0
217593,0.000203224495325837,6.77414984419455e-05,0,0,0
106557,0,0,0,0,0
16833,0,0,0,0,0
54122,1,0.95959595959596,0.232323232323232,0,0
16832,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00643544235198483
16828,1,1,1,0.929292929292929,0.808080808080808
80879,0.00413223140495868,0.00189676195637447,0,0,0
20503,0.00670640834575261,0.00643544235198483,0.00257417694079393,0.000474190489093619,0
20501,1,1,0.97979797979798,0.515151515151515,0.0606060606060606
232156,0.00203224495325837,0.00169353746104864,0.000203224495325837,0,0
54403,1,1,0.96969696969697,0.858585858585859,0.777777777777778
18293,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00629995935510093
13382,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00663866684731066,0.00528383687847175
27402,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00284514293456171,0.000474190489093619
78920,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00616447635821704,0.00325159192521339
100417514,0,0,0,0,0
26876,0,0,0,0,0
11522,0.101010101010101,0.0505050505050505,0.0101010101010101,0.0101010101010101,0
11529,0,0,0,0,0
11532,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00304836742988755,0.000541931987535564
76187,0.00670640834575261,0.00670640834575261,0.00338707492209728,0.000812897981303346,6.77414984419455e-05
12846,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00501287088470397,0.00128708847039697
72472,0.0029806259314456,0.0014903129657228,0,0,0
11670,0.000406448990651673,0.000135482996883891,0,0,0
73458,0,0,0,0,0
621603,0.484848484848485,0.373737373737374,0.0606060606060606,0,0
56847,0.00121934697195502,0.000270965993767782,0,0,0
67689,0.00575802736756537,0.00467416339249424,0.000270965993767782,0,0
15445,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0
268860,1,1,1,0.98989898989899,0.919191919191919
70750,1,0.98989898989899,0.97979797979798,0.242424242424242,0
107766,0.000203224495325837,6.77414984419455e-05,0,0,0
52430,0.00643544235198483,0.00582576886600732,0.000948380978187237,0.000135482996883891,0
23923,0.000270965993767782,6.77414984419455e-05,0,0,0
70266,0,0,0,0,0
13195,0.00643544235198483,0.00555480287223953,0.00291288443300366,0.000948380978187237,0
17161,1,1,1,0.505050505050505,0.0404040404040404
109731,0.00670640834575261,0.00663866684731066,0.00589351036444926,0.00176127895949058,0
50799,0.808080808080808,0.434343434343434,0,0,0
78830,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.0053515783769137
246277,1,1,0.676767676767677,0.0202020202020202,0
14415,1,1,1,1,0.97979797979798
14417,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00663866684731066,0.0053515783769137
14718,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00663866684731066,0.00643544235198483
14719,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.0053515783769137
212647,0.00670640834575261,0.00663866684731066,0.00352255791898117,6.77414984419455e-05,0
17250,0.98989898989899,0.97979797979798,0.494949494949495,0.0101010101010101,0
20859,0,0,0,0,0
629219,0,0,0,0,0
434264,0,0,0,0,0
629203,0,0,0,0,0
434121,0,0,0,0,0
20509,0.00670640834575261,0.00670640834575261,0.00155805446416475,0,0
11761,0.828282828282828,0.666666666666667,0.0202020202020202,0,0
110877,6.77414984419455e-05,0,0,0,0
214084,0.828282828282828,0.737373737373737,0.373737373737374,0.101010101010101,0.0404040404040404
14275,0.383838383838384,0.282828282828283,0.0707070707070707,0.0505050505050505,0.0202020202020202
14276,6.77414984419455e-05,0,0,0,0
17159,0.00670640834575261,0.00670640834575261,0.00602899336133315,0.000541931987535564,0
239559,0.0022354694485842,0.000135482996883891,0,0,0
333424,0,0,0,0,0
80908,0,0,0,0,0
215335,0.94949494949495,0.909090909090909,0.818181818181818,0.737373737373737,0
232333,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00636770085354288
243616,0.98989898989899,0.98989898989899,0.919191919191919,0.787878787878788,0.686868686868687
14412,0.94949494949495,0.818181818181818,0.131313131313131,0,0
14411,0.00203224495325837,0.000203224495325837,0,0,0
110446,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.00264191843923588
231086,1,1,0.96969696969697,0.656565656565657,0.0909090909090909
52538,0.98989898989899,0.95959595959596,0.787878787878788,0.181818181818182,0.0101010101010101
97212,0.00670640834575261,0.00670640834575261,0.00663866684731066,0.00508061238314592,0.000203224495325837
224530,0.00494512938626202,0.00264191843923588,0.00155805446416475,0.00101612247662918,0.000135482996883891
110460,1,1,0.97979797979798,0.303030303030303,0.0303030303030303
235674,0.000541931987535564,0.000338707492209728,6.77414984419455e-05,0,0
100705,0.787878787878788,0.737373737373737,0,0,0
11416,0.00670640834575261,0.00670640834575261,0.00623221785665899,0.000745156482861401,0
68738,0.00670640834575261,0.00670640834575261,0.00589351036444926,0.000541931987535564,0
380660,0.00237095244546809,0.000948380978187237,0,0,0
54342,0.00541931987535564,0.00501287088470397,0.00135482996883891,6.77414984419455e-05,0
56174,0.00670640834575261,0.00670640834575261,0.00541931987535564,0.00115160547351307,0.000203224495325837
109785,0.00670640834575261,0.00670640834575261,0.00128708847039697,0.000135482996883891,0
327942,0.00629995935510093,0.00555480287223953,0.000338707492209728,0,0
217214,0.0101010101010101,0.0101010101010101,0,0,0
11423,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.00365804091586506,0.00209998645170031
20508,0,0,0,0,0
104112,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00650318385042677,0.0053515783769137
94181,0.00670640834575261,0.00663866684731066,0.00257417694079393,0.000135482996883891,0
235504,1,1,0.767676767676768,0.0101010101010101,0
67311,0.323232323232323,0.222222222222222,0.0909090909090909,0,0
11433,0.0101010101010101,0,0,0,0
66659,0.00636770085354288,0.00636770085354288,0.00128708847039697,0,0
66885,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.0060967348597751,0.00060967348597751
11364,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.000812897981303346,0
11409,0.96969696969697,0.808080808080808,0,0,0
102632,1,1,0.808080808080808,0.0202020202020202,0
66948,1,1,0.848484848484849,0.0808080808080808,0
229211,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00108386397507113,0
56357,1,1,0.96969696969697,0.737373737373737,0
74156,0.0202020202020202,0.0202020202020202,0,0,0
11430,1,1,1,0.98989898989899,0.818181818181818
109652,0.00670640834575261,0.00636770085354288,0.000812897981303346,0,0
11429,1,1,1,1,1
11428,0.00670640834575261,0.00670640834575261,0.00575802736756537,0.000474190489093619,0
93732,0.000474190489093619,0.000203224495325837,0,0,0
11431,1,1,0.96969696969697,0.575757575757576,0.0707070707070707
56318,0,0,0,0,0
57279,1,1,0.292929292929293,0.0101010101010101,0
60525,1,1,0.98989898989899,0.404040404040404,0
78894,0.00670640834575261,0.00670640834575261,0.00602899336133315,0.00142257146728086,6.77414984419455e-05
107626,0,0,0,0,0
13106,0.0404040404040404,0.0101010101010101,0.0101010101010101,0.0101010101010101,0
11486,0.00060967348597751,0.000203224495325837,0,0,0
13340,0.00663866684731066,0.00636770085354288,0.000677414984419455,0,0
11639,0.00670640834575261,0.00670640834575261,0.00623221785665899,0.00264191843923588,0.000541931987535564
11637,0.00670640834575261,0.00670640834575261,0.00413223140495868,0.000541931987535564,0
229949,1,1,0.868686868686869,0.585858585858586,0.383838383838384
56248,1,1,1,0.94949494949495,0.252525252525253
11702,0.96969696969697,0.96969696969697,0.96969696969697,0.656565656565657,0.323232323232323
100041585,0.00264191843923588,0.00182902045793253,0.000541931987535564,0.000541931987535564,0.000541931987535564
11512,0.00643544235198483,0.00616447635821704,0.00548706137379759,0.00250643544235198,0
271639,0.0606060606060606,0.0303030303030303,0,0,0
104111,1,1,0.94949494949495,0.191919191919192,0.0101010101010101
11514,0.00657092534886872,0.00650318385042677,0.00487738788782008,0.000745156482861401,0
210044,0.00670640834575261,0.00670640834575261,0.00657092534886872,0.00562254437068148,0.00216772795014226
11513,0.898989898989899,0.696969696969697,0.282828282828283,0,0
432530,0.00670640834575261,0.00670640834575261,0.00650318385042677,0.0060967348597751,0.00562254437068148
104110,0.00426771440184257,0.00060967348597751,0,0,0
11515,0.98989898989899,0.98989898989899,0.858585858585859,0.484848484848485,0.0505050505050505
224129,1,1,0.96969696969697,0.767676767676768,0.595959595959596
63959,1,0.97979797979798,0.646464646464647,0.0606060606060606,0
434203,0.000135482996883891,0.000135482996883891,0,0,0
114304,0.000203224495325837,6.77414984419455e-05,0,0,0
269346,0,0,0,0,0
71279,0.94949494949495,0.93939393939394,0.575757575757576,0,0
53893,0.00670640834575261,0.00670640834575261,0.0029806259314456,0.00101612247662918,6.77414984419455e-05
12494,0.93939393939394,0.777777777777778,0.252525252525253,0.0404040404040404,0
12895,0.0909090909090909,0.0101010101010101,0,0,0
78070,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00487738788782008,0.000338707492209728
12894,0.00663866684731066,0.00657092534886872,0.00555480287223953,0.000135482996883891,6.77414984419455e-05
12896,0.97979797979798,0.898989898989899,0.0606060606060606,0,0
23972,0.98989898989899,0.98989898989899,0.282828282828283,0,0
23971,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00623221785665899,0.000270965993767782
11564,1,1,0.848484848484849,0.0505050505050505,0
231727,0.232323232323232,0.121212121212121,0,0,0
53625,0.757575757575758,0.676767676767677,0.555555555555556,0.0707070707070707,0.0101010101010101
108902,0,0,0,0,0
210004,0.00657092534886872,0.00447093889716841,0.000541931987535564,0,0
232984,0.252525252525253,0.242424242424242,0.151515151515152,0,0
227327,0.00101612247662918,0.000203224495325837,0,0,0
72297,0.000338707492209728,0.000135482996883891,0,0,0
75986,0.00060967348597751,0.000338707492209728,0,0,0
67512,0.202020202020202,0.0505050505050505,0,0,0
102247,0,0,0,0,0
68262,1,1,1,0.464646464646465,0
28169,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.00514835388158786
52123,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00575802736756537,0.0014903129657228
55979,0.00663866684731066,0.00657092534886872,0.00596125186289121,0.00508061238314592,0.000948380978187237
67216,1,1,0.98989898989899,0.424242424242424,0.0303030303030303
268782,0,0,0,0,0
71760,0,0,0,0,0
11611,6.77414984419455e-05,6.77414984419455e-05,0,0,0
15211,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.00318385042677144,0.000270965993767782
15212,1,1,0.93939393939394,0.878787878787879,0.303030303030303
67054,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.00257417694079393
67863,1,1,1,0.97979797979798,0.353535353535354
27376,0.00670640834575261,0.00663866684731066,0.00209998645170031,0,0
114644,0.95959595959596,0.919191919191919,0.434343434343434,0,0
77337,0,0,0,0,0
83702,6.77414984419455e-05,6.77414984419455e-05,6.77414984419455e-05,0,0
