mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
gdp[c],390928,NACHEX2ly,,
Tyr_ggn[c],3938,NACHEX3ly,,
udpg[c],3939,NACHEX8ly,,
udp[c],3945,NACHEX9ly,,
ggn[c],3948,NACHEXA1ly,,
leuktrC4[r],3988,NAGA2ly,,
glu_L[r],3990,NAGAlby,,
leuktrD4[r],3992,NAGLCAly,,
leuktrE4[c],3995,NAHCO3_HCLt,,
leuktrF4[c],4023,NaKt,,
ser_L[m],4025,NAt,,
glygn1[c],4047,NAt3_1g,,
glygn2[c],4048,NAtx,,
hs_deg9[l],4056,NBAHH_ir,,
glcur[l],410,NCKt,,
hs_deg10[l],411,NDP7er,,
cs_a_deg2[l],412,NDP7g,,
cs_a_deg3[l],4125,NDPK1m,,
cs_e_deg3[l],4126,NDPK3m,,
cs_e_deg4[l],4128,NDPK4m,,
ha[l],4129,NDPK6m,,
ha_deg1[l],4143,NH4tn,,
ha_pre1[l],4144,NH4tp,,
hs_pre10[g],4166,NICRNS,,
hs_pre11[g],4190,NKCCt,,
cs_a_b_e_pre1[g],4191,NMNS,,
udpglcur[g],4199,NORANMT,,
cs_d_pre2[g],4200,NOS1,,
hs_pre1[g],4258,NOS2,,
hs_pre2[g],4259,NOt,,
hs_pre3[g],427,NP1,,
hs_pre4[g],43,NRPPHRt4_2_r,,
hs_pre5[g],4329,NRPPHRtu,,
hs_pre6[g],435,NS26Tg,,
hs_pre7[g],4351,NTD7e,,
hs_pre8[g],4357,NTD7l,,
glc_D[e],4363,O2St,,
hs_deg3[l],440,O2Stm,,
hs_deg4[l],441282,O2ter,,
hs_deg8[l],443,O2tm,,
hs_deg14[l],445,O2tp,,
hs_deg15[l],4507,OAGD3te,,
hs_deg20[l],4512,OAGD3tg,,
hs_deg21[l],4513,OCCOAtm,,
hs_deg24[l],4514,OCCOAtx,,
hs_deg25[l],4519,OCOAT1m,,
hs_pre9[g],4522,OIVD1m,,
glc_D[g],4524,OIVD2m,,
glc_D[l],4535,OIVD3m,,
glcur[c],4536,OPAHir,,
dxtrn[c],4537,ORNt3m,,
glygn3[c],4538,ORNTArm,,
gln_L[m],4539,ORNtiDF,,
g1p[c],4540,ORPT,,
glucys[c],4541,OXAHCOtex,,
forglu[c],4548,P45019A2r,,
5forthf[c],4594,P45039A1r,,
glu_L[e],4597,P45046A1r,,
orn[c],4598,P4507B12r,,
glx[c],4668,P5CRm,,
glyclt[c],4669,PA_HStg,,
lgt_S[m],4694,PAFH,,
gthrd[m],4695,PAFHe,,
6pgc[r],4696,PAFS,,
ru5p_D[r],4697,PAN4PP,,
gq1balpha_hs[c],4698,PAPStg,,
gq1balpha_hs[e],47,PAPtg,,
gsn[e],4700,PCHOL_HStg,,
gsn[c],4701,PCHOLPg_hs,,
gthox[c],4702,PCm,,
gthrd[e],4704,PCREATtmdiffir,,
h2o2[e],4705,PDE1,,
gthox[e],4706,PDE4,,
gthox[m],4707,PDHm,,
gthrd[r],4708,PE_HStm,,
gtp[c],4709,PEPCK,,
35cgmp[c],4710,PEt,,
gua[c],4711,PETHCT,,
xan[c],4712,PFK26,,
aacoa[m],4713,PGCD,,
uacgam[c],4714,PGDI,,
udpglcur[c],4715,PGDIr,,
ha_pre1[e],4716,PGESr,,
ha[e],4717,PGISr,,
4mlacac[c],4718,PGLer,,
his_L[c],4719,PGLYCt,,
hista[c],4720,PGPP_hs,,
his_L[e],4722,PGPPT,,
im4act[c],4723,PGS,,
hista[e],4724,PGSr,,
hLkynr[c],4725,PHEMEtm,,
aacoa[c],4726,PHEt4,,
hmgcoa[c],4728,PHETA1m,,
hmgcoa[m],4729,PHETHPTOX2,,
hmgcoa[x],4731,PI345P3P,,
hom_L[e],4758,PI34P5K,,
hom_L[c],476,PI3P4K,,
pheme[c],477,PI45P5P,,
hs_deg1[l],478,PI45PLC,,
hs_deg2[l],48,PI4P5K,,
hs_deg6[l],480,PIK3,,
hs_deg7[l],481,PItg,,
hs_deg12[l],482,PLA2_2,,
hs_deg13[l],483,PLA2_2e,,
hs_deg18[l],4830,PNTEH,,
hs_deg19[l],4831,PNTOt5,,
nadph[x],4832,PPA2,,
nadp[x],4833,PPAer,,
andrstandn[r],4842,PPAm,,
hspg[l],4843,PPDOy,,
hs[l],4846,PPItr,,
hspg[g],4860,PPItx,,
hspg[e],4881,PPOR,,
taur[c],4882,PPPG9tm,,
icit[c],4891,PPPGOm,,
icit[x],490,PRAGSr,,
akg[x],4905,PRASCS,,
hs_deg5[l],4907,PROD2m,,
idour[l],491,PROSTGE2t,,
hs_deg16[l],492,PROSTGI2tr,,
hs_deg17[l],493,PROt4,,
hs_deg22[l],4942,PROtm,,
hs_deg23[l],495,PSDm_hs,,
cs_b_deg3[l],4952,PSFLIPm,,
idour[c],496,PSSA1_hs,,
ile_L[c],4967,PSSA2_hs,,
ile_L[m],498,PSt3,,
ins[e],50,PTE3x,,
inost[e],501,PTE4x,,
f1p[c],5019,PTHPS,,
ksii_core2[g],5033,PTRCAT1,,
ksii_core2[e],5048,PVD3,,
ksii_core2[l],50484,PYDXK,,
anth[c],50487,PYDXPP,,
4aphdob[c],5049,PYNP2r,,
kynate[c],5050,PYRt2m,,
lcts[e],50506,PYRt2p,,
pi[l],5051,QUILSYN,,
lcts[g],50515,RADH,,
Lcyst[c],5052,RAI3,,
lac_L[m],5053,RAtn3,,
pyr[m],506,RDH1,,
leuktrA4[r],50614,RDH3,,
leuktrB4[e],50617,RDH3a,,
leuktrB4[c],50808,RETH,,
leuktrD4[e],50814,RIBFLVt3,,
leuktrD4[c],509,RIBt,,
leuktrE4[e],5091,RTOTAL2t,,
leu_L[e],5092,RTOTALt,,
leu_L[c],50940,Rtotaltl,,
leu_L[m],51,S23T2g,,
lgnc[e],51004,S2T1g,,
lgnc[c],51005,S2T2g,,
xyl_D[l],51022,S2T4g,,
cs_a_deg5[l],5105,S2TASE1ly,,
cs_e_deg7[l],51056,S2TASE2ly,,
lac_L[c],51071,S2TASE3ly,,
lneldc[e],51079,S3T1g,,
lneldc[c],51102,S3T2g,,
lnlnca[e],51109,S3T3g,,
Ssq23epx[r],51146,S3TASE1ly,,
lanost[r],51166,S3TASE2ly,,
lpchol_hs[c],51170,S3TASE3ly,,
Rtotal[c],51171,S4T1g,,
g3pc[c],51179,S4T2g,,
mag_hs[e],51181,S4TASE1ly,,
Rtotal[e],51196,S4TASE2ly,,
mag_hs[c],51205,S4TASE3ly,,
glyc[c],51228,S4TASE4ly,,
retinol[c],51251,S4TASE5ly,,
retfa[c],51268,S6T19g,,
lthstrl[r],51292,S6T1g,,
leuktrC4[c],513,S6T21g,,
3mldz[c],5130,S6T25g,,
malt[e],51301,S6T2g,,
malt[c],51302,S6T3g,,
man[e],51312,S6TASE1ly,,
man[c],5136,S6TASE22ly,,
normete_L[c],5137,S6TASE23ly,,
3mgcoa[m],5138,S6TASE24ly,,
5mdru1p[c],51380,S6TASE2ly,,
met_L[e],51382,S6TASE3ly,,
mthgxl[c],5139,S6TASE8ly,,
mhista[c],514,S6TASE9ly,,
mi1345p[c],5140,SADT,,
mi134p[c],5141,SALMCOM,,
mi34p[c],5142,SALMCOM2,,
mi145p[c],5143,SAMHISTA,,
g6p[c],5144,SARCOXp,,
mi1p_D[c],5145,SARCStm,,
mi3p_D[c],5146,SARCStp,,
malttr[c],5147,SARDHm,,
mmcoa_S[m],51477,SBTD_D2,,
mmcoa_R[m],51478,SCP2x,,
5mta[c],5148,Ser_Thrtg,,
5mdr1p[c],5149,SERALANaEx,,
methf[m],515,SERASNNaEx,,
4aabutn[c],5150,SERCYSNaEx,,
Nacasp[c],5151,SERDGLNexR,,
cs_a_deg1[l],5152,SERDGLYexR,,
ksii_core2_deg4[l],51521,SERGLNexR,,
ksii_core2_deg7[l],51522,SERGLNNaEx,,
cs_a_deg4[l],51523,SERGLYexR,,
cs_b_deg1[l],51524,SERPT,,
cs_b_deg2[l],51525,SERt4,,
cs_e_deg2[l],51526,SERTHRNaEx,,
cs_e_deg6[l],51527,SERtN1,,
udp[l],51528,SFGTH,,
Tn_antigen[l],51529,SGALSIDEtg,,
Ser_Thr[l],5153,SGALSIDEtl,,
udpacgal[l],5158,SIAASE3ly,,
na1[g],516,SIAT9g,,
na1[x],5160,SMS,,
carn[c],51606,SO4CLtex2,,
udp[r],5161,SO4OXAtex2,,
ump[r],5162,SO4t4_2,,
pi[g],51660,SO4tl,,
ump[g],5167,SPHGNtr,,
dtdp[m],5168,SPHINGStl,,
dudp[m],5169,SPHK21c,,
nicrns[c],517,SPHMYLNtl,,
nicrnt[c],51700,SPODMe,,
ncam[c],51703,SPODMm,,
prpp[c],51706,SPR,,
nmn[c],5172,SPRMS,,
nwharg[c],51727,SQLEr,,
no[c],51733,SQLSr,,
no[e],51741,SR5ARr,,
nac[c],518,SRTNt6_2_r,,
r1p[c],51805,ST3GAL31g,,
nrpphr[e],51809,ST3GAL61g,,
amp[l],5184,ST8SIA12,,
o2s[c],5198,ST8SIA56g,,
o2s[e],52,STRDNCt,,
o2s[m],5205,STS2,,
oagd3_hs[c],5207,SUCD1m,,
oagd3_hs[e],5208,SUCOAS1m,,
occoa[x],5209,SUCOASm,,
succ[m],521,SULFOX,,
ibcoa[m],5210,T4HCINNMFM,,
5oxpro[c],5211,TAURt4_2_r,,
orn[m],522,TAURtcx,,
orn[e],5223,TCHOLAt,,
orot5p[c],5224,TCHOLAt2,,
oxa[e],5226,THBPT4ACAMDASE,,
oxa[c],523,THD1m,,
tststerone[r],5230,THFtm,,
xol24oh[r],5232,THMDt4,,
xoltri24[r],5236,THMTP,,
xol27oh[r],5238,THRALANaEx,,
xoltri27[r],5243,THRASNNaEx,,
pro_L[m],5244,THRCYSNaEx,,
pa_hs[g],525,THRGLNexR,,
paf_hs[c],526,THRGLNNaEx,,
ak2lgchol_hs[c],5264,THRGLYexR,,
paf_hs[e],527,THRSERNaEx,,
ak2lgchol_hs[e],528,THRt4,,
pan4p[c],5286,THYMDt1,,
ptth[c],5287,THYMDtm,,
pchol_hs[g],5288,THYMt,,
pe_hs[m],5289,THYOXt,,
pe_hs[e],529,THYOXt2,,
3pg[c],5290,TMDK1m,,
3php[c],5291,TMDPP,,
prostgh2[c],5293,TMDPPK,,
prostgd2[c],5294,TRDR,,
prostgh2[r],5295,TREH,,
prostgd2[r],5296,TRIODTHYt,,
prostge2[r],5297,TRPHYDRO2,,
prostgi2[r],5298,TRPO2,,
pglyc_hs[e],53,TSTSTERONEt,,
pgp_hs[c],5305,TSTSTERONEtr,,
phe_L[e],5313,TXA2te,,
phe_L[c],5315,TXA2tr,,
phe_L[m],5319,TXASr,,
phpyr[m],5320,TYR3MO2,,
thbpt[c],5321,TYRDOPO,,
tyr_L[c],5322,TYRDOPO3,,
thbpt4acam[c],533,TYRTAm,,
pail345p_hs[c],5330,UAGALDP,,
pail45p_hs[c],5331,UDPACGALtl,,
pail34p_hs[c],5332,UDPDOLPT_L,,
pail3p_hs[c],5333,UDPGALtg,,
pail4p_hs[c],5334,UDPGLCAtg,,
pchol_hs[e],5335,UDPGLDCg,,
lpchol_hs[e],53354,UDPGP,,
Rtotal2[e],5336,UDPtl,,
pnto_R[c],5337,UDPXYLter,,
cysam[c],5338,UDPXYLtg,,
pnto_R[e],534,UGALGTg,,
pppi[c],535,UGALNACtg,,
ppi[r],53630,UGLCNACtg,,
ppi[x],5372,UGT1A10r,,
phpyr[c],5373,UGT1A2r,,
2hyoxplac[c],539,UMPK3,,
pppg9[c],53905,UMPK6,,
pppg9[m],53919,UPPN,,
pram[c],53947,URAt,,
prostge2[e],54,URATEt,,
prostgi2[c],54020,UREAt5,,
pro_L[e],5409,UREAtm,,
pro_L[c],54187,URIDK2m,,
ps_hs[m],54363,URIt,,
ps_hs[c],54407,URIt4,,
ps_hs[e],54480,VALt5m,,
pristcoa[x],54511,VALTAm,,
prist[x],54539,VD3,,
phytcoa[x],54575,XOLEST2te,,
phyt[x],54576,XOLTRI24tc,,
ahdt[c],54577,XOLTRI24te,,
6pthp[c],54578,XOLTRI27tc,,
ptrc[c],54579,XOLTRI27te,,
7dhchsterol[c],54600,XSERtg,,
pd3[c],54657,XYLK,,
pydx[c],54658,XYLTD_Dr,,
pydx5p[c],54659,XYLTer,,
uri[c],54675,XYLtly,,
quln[c],5471,XYLTt,,
retinal[c],54716,XYLUR,,
retn[c],5476,r0016,,
13_cis_retn[c],548596,r0021,,
retinol_cis_11[c],54898,r0022,,
retinal_11_cis[c],549,r0023,,
ribflv[e],54963,r0024,,
ribflv[c],5498,r0027,,
rib_D[e],54988,r0028,,
rib_D[c],54995,r0033,,
cs_c_d_e_pre1[g],55,r0047,,
cs_d_pre5[g],55065,r0062,,
hs_pre12[g],55066,r0074,,
hs_pre13[g],55089,r0084,,
hs_pre14[g],55163,r0085,,
hs_pre15[g],55191,r0122,,
hs_deg11[l],55217,r0129,,
cs_e_deg1[l],55224,r0130,,
cs_e_deg5[l],55229,r0145,,
ksii_core2_deg1[l],55244,r0153,,
so4[c],55276,r0156,,
mepi[c],55293,r0165,,
sarcs[x],55304,r0173,,
fald[x],55312,r0178,,
sarcs[c],55315,r0179,,
sarcs[m],55326,r0186,,
sbt_D[c],55331,r0191,,
ser_D[e],55343,r0193,,
ser_D[c],55349,r0196,,
sgalside_hs[c],55350,r0208,,
gm3_hs[g],55361,r0210,,
sphmyln_hs[c],5538,r0221,,
so4[e],55454,r0249,,
sphgn[r],55500,r0276,,
sphings[c],55501,r0280,,
sphs1p[c],55512,r0283,,
sphmyln_hs[l],55568,r0308,,
o2[e],55577,r0309,,
spmd[c],55624,r0317,,
sql[r],55627,r0319,,
frdp[r],55650,r0354,,
srtn[e],55748,r0355,,
acngal14acglcgalgluside_hs[g],55757,r0361,,
strdnc[e],55790,r0364,,
ficytC[m],55808,r0365,,
focytC[m],55811,r0377,,
taur[e],55825,r0381,,
taur[x],55830,r0383,,
tchola[e],55856,r0389,,
tchola[c],55867,r0391,,
dhbpt[c],55902,r0394,,
thymd[e],55907,r0395,,
thymd[c],55967,r0407,,
thmtp[c],5625,r0408,,
thmpp[c],56261,r0409,,
thymd[m],56301,r0413,,
thym[e],5631,r0423,,
thym[c],5634,r0424,,
thyox_L[e],56474,r0425,,
thyox_L[c],56548,r0426,,
dtmp[m],5660,r0456,,
2dr1p[c],56606,r0472,,
trdox[c],56623,r0474,,
trdrd[c],56848,r0475,,
tre[c],56886,r0480,,
triodthy[e],56894,r0502,,
triodthy[c],56895,r0504,,
trp_L[c],56898,r0509,,
tststerone[e],56913,r0510,,
tststerone[c],56922,r0511,,
txa2[e],56953,r0512,,
txa2[c],56954,r0517,,
txa2[r],56983,r0527,,
dopaqn[c],56994,r0531,,
tyr_L[m],570,r0537,,
utp[c],57016,r0539,,
udpacgal[c],57026,r0553,,
udpgal[c],57030,r0555,,
ump[c],57084,r0560,,
udpxyl[g],57094,r0568,,
udpxyl[c],57194,r0578,,
udpxyl[r],57198,r0579,,
udpglcur[r],5723,r0584,,
dctp[c],5728,r0590,,
ura[e],57282,r0591,,
urate[c],5730,r0595,,
urate[e],57379,r0596,,
urea[e],57393,r0630,,
urea[c],5740,r0633,,
uri[e],57419,r0641,,
val_L[c],5742,r0666,,
val_L[m],5743,r0669,,
vitd3[c],57468,r0672,,
xolest2_hs[e],57571,r0698,,
xolest2_hs[c],57665,r0707,,
xoltri24[c],57678,r0750,,
xoltri24[e],57704,r0754,,
xoltri27[c],57818,r0755,,
xoltri27[e],57834,r0756,,
xser[r],57835,r0757,,
xylu_D[c],5805,r0758,,
xu5p_D[c],5825,r0774,,
xylt[c],5831,r0779,,
Ser_Gly_Ala_X_Gly[r],5832,r0781,,
xyl_D[c],5833,r0782,,
xylt[e],5834,r0783,,
xylu_L[c],5836,r0784,,
HC00617[c],5837,r0786,,
HC00619[c],587,r0787,,
Lcystin[c],59272,r0788,,
dpcoa[m],593,r0789,,
HC01434[x],594,r0795,,
HC00591[c],5947,r0797,,
lac_L[x],5948,r0812,,
fdp[c],5950,r0813,,
HC00250[c],5959,r0817,,
HC01496[m],5973,r0838,,
man1p[c],60481,r0840,,
gdpmann[c],60490,r0841,,
HC01668[m],6120,r0853,,
r5p[r],622,r0859,,
arachd[x],6240,r0899,,
pmtcoa[m],6241,r0907,,
hdd2coa[m],6296,r0927,,
HC00342[m],6303,r0934,,
ppa[m],6307,r0940,,
itp[c],6309,r0942,,
idp[c],6319,r0954,,
man6p[c],6342,r0970,,
3hpp[m],635,r0973,,
HC00682[m],6389,r0974,,
pydxn[c],6390,r0994,,
hxan[c],6391,r1015,,
HC00361[c],63917,r1019,,
e4p[c],6392,r1043,,
s7p[c],64064,r1044,,
HC01434[m],64078,r1045,,
dgmp[c],64080,r1050,,
dutp[c],64087,r1051,,
HC00718[c],64131,r1078,,
dhf[c],64132,r1088,,
fol[c],641371,r1106,,
dudp[c],641372,r1116,,
hxdcal[c],64220,r1117,,
sph1p[c],644,r1135,,
betald[c],644378,r1146,,
ptth[m],6448,r1147,,
pan4p[m],644974,r1148,,
dnad[c],645,r1150,,
HC01501[c],645740,r1154,,
3hpcoa[m],64579,r1155,,
cholcoa[c],64600,r1156,,
HC01415[m],646480,r1163,,
fpram[c],646486,r1253,,
HC01223[m],6470,r1291,,
xol7aone[r],64711,r1292,,
dcholcoa[x],6472,r1382,,
ahdt[e],64802,r1383,,
HC01361[e],64816,r1391,,
3mox4hpac[m],6482,r1392,,
homoval[m],6483,r1418,,
3m4hpga[m],6484,r1435,,
3mox4hoxm[m],64841,r1454,,
HC01609[e],64849,r1455,,
cpppg1[e],64850,r1457,,
co2[e],6487,r1495,,
gdpddman[c],64871,r1497,,
HC02228[c],6489,r1498,,
HC01842[c],65010,r1499,,
dcholcoa[c],6505,r1500,,
amp[x],6506,r1501,,
atp[x],6507,r1502,,
citr_L[e],6508,r1503,,
r5p[c],6509,r1540,,
ru5p_D[c],6510,r1544,,
adp[l],6511,r1546,,
atp[l],6512,r1547,,
ala_B[e],6513,r1548,,
HC00250[e],6514,r1549,,
mev_R[c],6515,r1551,,
mev_R[x],6517,r1552,,
cholate[r],6518,r1553,,
C02528[c],6519,r1554,,
C02528[r],6520,r1556,,
chsterol[e],6521,r1557,,
cit[e],6522,r1559,,
dtmp[c],65220,r1560,,
HC02110[r],6523,r1561,,
2obut[m],6524,r1562,,
2obut[c],6526,r1563,,
coa[r],6528,r1564,,
strdnc[r],6529,r1565,,
stcoa[r],6530,r1566,,
ppcoa[c],6531,r1567,,
7thf[c],6532,r1568,,
HC02136[c],6533,r1569,,
C02528[e],6534,r1570,,
tdchola[e],6535,r1571,,
tdchola[c],6536,r1573,,
dgchol[e],6538,r1574,,
HC02192[e],6539,r1575,,
HC02192[c],6540,r1576,,
HC02193[e],6541,r1578,,
HC02193[c],6542,r1579,,
HC02195[e],6543,r1580,,
HC02195[c],6546,r1581,,
HC02196[e],6547,r1583,,
HC02196[c],6554,r1584,,
HC02220[e],6555,r1585,,
HC02220[c],6556,r1586,,
trp_L[e],6557,r1587,,
tyr_L[e],6558,r1588,,
val_L[e],6560,r1589,,
ile_L[e],6564,r1590,,
zn2[e],6565,r1591,,
zn2[c],6566,r1592,,
pyr[e],6567,r1593,,
acac[e],6570,r1594,,
ppa[e],6571,r1595,,
ppa[c],6572,r1596,,
lac_L[e],6573,r1597,,
retn[e],6574,r1598,,
but[e],6575,r1599,,
bhb[e],6576,r1600,,
HC02191[e],6578,r1602,,
HC02191[c],6579,r1603,,
HC02194[e],6580,r1604,,
HC02194[c],6581,r1605,,
HC02197[e],6582,r1606,,
HC02197[c],6583,r1607,,
HC02198[e],6584,r1608,,
HC02198[c],65985,r1609,,
HC02199[c],66002,r1610,,
HC02199[e],66035,r1611,,
HC02200[c],6609,r1612,,
HC02200[e],6610,r1613,,
HC02201[c],6611,r1614,,
HC02201[e],6646,r1615,,
bilirub[e],6648,r1616,,
HC02187[e],6649,r1617,,
HC02187[c],6652,r1618,,
bilglcur[e],6675,r1619,,
HC02213[e],669,r1620,,
HC02213[c],6697,r1621,,
prostgi2[e],6713,r1622,,
HC00342[c],6715,r1623,,
glyc3p[m],6716,r1624,,
crn[r],6723,r1625,,
thcholstoic[c],6785,r1626,,
thcholstoic[x],6799,r1627,,
glcn[c],6817,r1628,,
6pgc[c],6818,r1629,,
dtdp[c],682,r1630,,
dttp[c],6820,r1631,,
CE2251[c],6821,r1632,,
CE2247[c],6822,r1633,,
CE2243[c],6833,r1634,,
arachcoa[c],686,r1635,,
docoscoa[c],6888,r1636,,
docosac[c],6898,r1637,,
ttccoa[c],6916,r1638,,
CE2705[c],6999,r1639,,
thbpt4acam[n],7001,r1640,,
CE2705[n],7054,r1641,,
CE2870[c],7084,r1642,,
CE2866[c],7086,r1643,,
maltttr[c],7108,r1644,,
CE2839[e],7166,r1645,,
CE2838[e],7167,r1646,,
CE0737[c],7173,r1647,,
CE1243[c],7263,r1648,,
N1aspmd[c],7264,r1649,,
n8aspmd[c],728441,r1650,,
pail45p_hs[m],7296,r1651,,
CE5101[m],7298,r1652,,
dump[c],7299,r1653,,
CE5236[n],7350,r1654,,
CE1918[c],7351,r1655,,
23cump[e],7352,r1656,,
3ump[e],7355,r1657,,
CE1261[c],7357,r1658,,
C09642[c],7360,r1659,,
CE5626[c],7363,r1660,,
CE5629[c],7364,r1661,,
CE4890[c],7368,r1662,,
HC02205[c],7371,r1664,,
CE2026[m],7372,r1665,,
dchac[c],7378,r1666,,
dchac[r],7381,r1668,,
C05300[r],7384,r1669,,
CE5786[e],7385,r1670,,
CE5789[e],7386,r1671,,
CE5276[c],7388,r1672,,
CE5025[c],7389,r1673,,
CE4968[m],7390,r1674,,
CE4970[m],7498,r1675,,
CE6205[c],759,r1676,,
CE4872[m],760,r1677,,
thcholstoic[m],762,r1678,,
C02712[c],763,r1679,,
udpgal[r],765,r1680,,
galside_hs[r],766,r1681,,
CE0074[c],767,r1682,,
CE4990[c],768,r1683,,
leuktrB4[x],771,r1684,,
CE4990[x],7779,r1685,,
CE2567[c],7837,r1686,,
CE7172[c],788,r1687,,
C06315[c],790,r1690,,
C06314[c],79017,r1691,,
cpppg3[c],79071,r1692,,
C05770[c],7915,r1693,,
CE4793[c],79178,r1695,,
CE5114[c],7923,r1696,,
CE4812[c],79369,r1698,,
CE2209[c],7941,r1700,,
CE4811[c],79581,r1701,,
CE4810[c],79586,r1702,,
CE4821[c],79611,r1705,,
CE4819[c],79623,r1706,,
CE4817[c],79646,r1707,,
CE4841[c],79695,r1708,,
CE4840[c],79717,r1710,,
CE4842[c],79751,r1711,,
CE4843[c],79799,r1713,,
CE5144[c],79814,r1715,,
CE5151[c],79837,r1716,,
CE5152[c],79901,r1717,,
CE5155[c],7991,r1720,,
CE5156[c],79966,r1721,,
CE5148[c],80025,r1722,,
CE5150[c],80142,r1723,,
CE5153[c],80146,r1725,,
CE5154[c],80150,r1726,,
CE5157[c],80162,r1728,,
CE5158[c],80168,r1730,,
nrvnccoa[c],80201,r1731,,
nrvnc[c],80235,r1732,,
CE2510[c],80270,r1733,,
doco13ac[c],80271,r1734,,
CE5160[c],80308,r1735,,
CE5161[c],80339,r1736,,
CE5162[c],8034,r1737,,
C14771[c],80347,r1738,,
CE5944[c],8050,r1739,,
CE5944[x],80704,r1740,,
CE4987[c],80724,r1741,,
CE4988[c],81031,r1742,,
CE4988[x],8140,r1743,,
CE7088[c],81490,r1744,,
HC02203[c],81537,r1745,,
HC02207[c],81539,r1746,,
uppg3[c],81579,r1747,,
C05767[c],81616,r1748,,
doco13ac[e],81894,r1749,,
doco13ecoa[c],8228,r1750,,
hxcoa[m],8277,r1751,,
hxcoa[x],8288,r1752,,
hxcoa[c],8309,r1753,,
4hpro_LT[e],83468,r1754,,
4hpro_LT[c],83549,r1755,,
fol[e],83594,r1756,,
leuleu[c],83697,r1757,,
lnlc[e],8372,r1758,,
progly[e],83733,r1759,,
progly[c],83884,r1760,,
avite1[c],8394,r1761,,
avite1[e],8395,r1762,,
oh1[c],8396,r1763,,
oh1[e],8398,r1764,,
q10[e],8399,r1765,,
q10[c],84002,r1766,,
dhap[m],8402,r1767,,
5dpmev[c],84076,r1768,,
fmn[e],84105,r1769,,
6pgl[c],84129,r1770,,
dmpp[c],8424,r1771,,
mal_L[x],8435,r1772,,
oaa[x],84532,r1773,,
5pmev[c],84569,r1774,,
1pyr5c[c],84618,r1775,,
pheme[e],84649,r1776,,
ptrc[e],84679,r1777,,
34hpp[e],84693,r1778,,
aicar[e],847,r1779,,
anth[e],84701,r1780,,
4hpro_LT[m],84706,r1781,,
idour[e],8473,r1782,,
kynate[e],84735,r1783,,
3hanthrn[e],84750,r1784,,
hLkynr[e],84752,r1785,,
quln[e],84812,r1786,,
ethamp[e],84869,r1787,,
glcur[e],84889,r1788,,
udpglcur[e],84890,r1789,,
imp[e],84912,r1790,,
orot5p[e],84920,r1791,,
glyc[e],8501,r1792,,
retinol[e],8503,r1796,,
acrn[e],8509,r1797,,
pcrn[e],8525,r1798,,
lneldccrn[c],8526,r1799,,
lneldccrn[e],8527,r1800,,
odecrn[c],8528,r1801,,
odecrn[e],85320,r1803,,
stcrn[c],8534,r1805,,
stcrn[e],8560,r1806,,
pmtcrn[c],8564,r1807,,
pmtcrn[e],8566,r1808,,
hdcecrn[c],8574,r1809,,
hdcecrn[e],8604,r1810,,
HC00342[e],8608,r1811,,
lipid_membrane[c],8611,r1812,,
proteome[c],8612,r1813,,
transcriptome[c],8613,r1814,,
eidi1114ac[c],8622,r1815,,
glyc2p[c],8639,r1816,,
ttdcrn[c],8644,r1817,,
ttdcrn[e],8647,r1818,,
12HPET[e],8654,r1819,,
2oxoadp[e],8659,r1820,,
4aabutn[e],8671,r1821,,
5aop[c],8693,r1822,,
5aop[e],8694,r1823,,
5HPET[e],8702,r1824,,
7dhchsterol[e],8703,r1825,,
C02712[e],8704,r1826,,
tdechola[c],8705,r1827,,
tdechola[e],8706,r1828,,
C06314[e],8707,r1829,,
C14771[e],8708,r1830,,
CE1243[e],8714,r1831,,
CE2510[e],873,r1832,,
nrvnc[e],874,r1833,,
CE2537[c],875,r1834,,
CE2537[e],8760,r1835,,
eidi1114ac[e],8776,r1836,,
elaidcrn[c],8781,r1837,,
elaidcrn[e],8789,r1841,,
hxcoa[e],8801,r1842,,
Lcyst[e],8802,r1843,,
mev_R[e],8803,r1844,,
nwharg[e],8821,r1846,,
pac[c],8824,r1847,,
pac[e],883,r1848,,
estriol[e],8833,r1850,,
mepi[e],8836,r1851,,
tre[e],8854,r1852,,
retinal[e],8867,r1853,,
maltttr[e],8869,r1854,,
leuleu[e],8871,r1855,,
thbpt[e],8875,r1856,,
homoval[e],8876,r1857,,
mlthf[c],8877,r1858,,
pgp_hs[m],8879,r1859,,
pglyc_hs[m],8884,r1860,,
acnam[e],8898,r1861,,
ppp9[c],8908,r1862,,
f1a[e],8942,r1863,,
34hpl[c],8972,r1864,,
dxtrn[e],8974,r1865,,
grdp[c],89869,r1866,,
2pg[c],89872,r1867,,
glyald[c],89874,r1871,,
fe3[c],8992,r1872,,
fmn[c],9016,r1873,,
ttc_ggdp[c],90161,r1874,,
13dpg[c],9023,r1876,,
xmp[c],90423,r1877,,
ppbng[c],9045,r1879,,
hmbil[c],9056,r1880,,
methf[c],9057,r1881,,
4ppan[c],9060,r1882,,
4ppcys[c],9061,r1883,,
pser_L[c],9114,r1884,,
thm[c],91179,r1885,,
HC01434[c],91227,r1886,,
gua[e],9123,r1887,,
adprib[c],91373,r1888,,
glyc_R[c],9152,r1889,,
acmana[c],9153,r1890,,
gal1p[c],9154,r1891,,
lgt_S[c],9162,r1892,,
urcan[c],9167,r1893,,
