mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
adn[l],9153,AATAi,,
3sala[m],11164,ABO1g,,
3sala[c],53343,ABO2g,,
asp_L[c],952,ABO3g,,
asp_L[m],1375,ABO4g,,
hyptaur[c],126129,ABO5g,,
3snpyr[c],1374,ABO6g,,
3snpyr[m],1376,ABO7g,,
so3[c],9061,ABO8g,,
pyr[m],9060,ABO9g,,
so3[m],158,ABTArm,,
adrnl[c],79369,ABTD,,
mma[c],10678,ABTti,,
nrpphr[c],11041,ABUTt2rL,,
4abut[c],146712,ABUTt4_2_r,,
4abut[m],374907,ACACT10m,,
coucoa[m],93010,ACACT1rm,,
4hbzcoa[m],10331,ACACT1x,,
accoa[m],79814,ACACt2m,,
4hbz[m],10555,ACACT4p,,
4hdebrisoquine[e],137964,ACACT5p,,
4hdebrisoquine[c],56895,ACACT6p,,
4hglusa[m],56894,ACACT7p,,
e4hglu[m],55326,ACACT8p,,
4hoxpacd[c],10554,ACACT9p,,
4hphac[c],129642,ACACtx,,
4mop[c],5832,ACALDtm,,
4mop[m],8540,ACALDtr,,
4mptnl[c],64902,ACALDtx,,
4mptnl[e],64850,ACCOACm,,
4mptnl[m],189,ACCOAgt,,
4mptnl[r],3073,ACCOALm,,
4mtolbutamide[e],3074,ACCOAtn,,
4mtolbutamide[c],10606,ACCOAtr,,
4nphsf[e],8402,ACETONEt2,,
4nphsf[c],1468,ACETONEt2m,,
4nph[c],64849,ACGAGBSIDEtg,,
4nph[e],1645,ACGAGBSIDEtl,,
4pyrdx[c],1109,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,,
4pyrdx[e],6718,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,,
5adtststeroneglc[c],6510,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
5adtststeroneglc[e],6509,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
5adtststeroneglc[r],56301,ACGALK,,
5adtststerones[c],6520,ACGALK2,,
5adtststerones[e],212,ACGALtlg,,
5adtststerone[c],23464,ACGALtly,,
5adtststerone[e],211,ACGAM6PSi,,
5adtststerone[r],54407,ACGAMK,,
5aop[c],6542,ACGAMPM,,
5aop[m],11254,ACGAMtly,,
5dhf[c],6541,ACGBGBSIDEtg,,
5dhf[l],81539,ACGBGBSIDEtl,,
h2o[e],55089,ACGPID,,
5fthf[e],84889,ACGSm,,
5fthf[c],340024,ACHEe,,
5htrp[c],57393,ACHtn,,
srtn[c],59272,ACHVESSEC,,
5homeprazole[e],2875,ACITL,,
5homeprazole[c],84706,ACN13ACNGALGBSIDEte,,
5hoxindact[c],92745,ACN13ACNGALGBSIDEtg,,
5hoxindoa[c],10991,ACN23ACNGALGBSIDEte,,
