mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
34dhcinm[c],441061,PACCOAL,,
taur[e],140739,PAFH,,
tchola[c],7327,PAFHe,,
tcynt[m],5071,PAFS,,
tdchola[c],7332,PAIL_HStn,,
tdchola[x],84937,PAIL45P_HStn,,
thmmp[c],7328,PAIL4P_HStn,,
thmpp[c],378884,PAN4PP,,
dtdp4d6dm[c],168433,PAPStg,,
dtdprmn[c],6477,PAPtg,,
thmmp[m],51592,PCFLOPm,,
thmpp[m],142678,PCHOL_HSter,,
tetpent3crn[c],10210,PCHOL_HStg,,
tetpent3coa[m],54708,PCHOLP_hs,,
tetpent3crn[m],11060,PCHOLPg_hs,,
tetpent6crn[c],57154,PCHOLPm_hs,,
tetpent6coa[m],51465,PCHOLPr_hs,,
tetpent6crn[m],9666,PCLAD,,
tettet6crn[c],9867,PCLYSOX,,
tettet6coa[m],6015,PCm,,
tettet6crn[m],6048,PCREATtmdiffir,,
thcholstoic[x],54492,PCRNtc,,
thymd[e],134111,PCRNtm,,
thymd[c],7844,PCt,,
thm[c],2288,PDE1,,
thm[m],8468,PDE1g,,
thmtp[c],51661,PDE4,,
thp2c[c],10450,PDE4g,,
tmlys[c],2280,PDE4n,,
tmndnccrn[c],2289,PDHm,,
tmndnccrn[m],23759,PDX5PO,,
trdrd[c],2287,PDXPP,,
trdox[c],5303,PE_HSter,,
q10[c],23770,PE_HStg,,
q10h2[c],55033,PE_HStm,,
trdrd[m],10105,PEAMNO,,
trdox[m],23398,PECGONCOATr,,
tre[c],4820,PEFLIP,,
tre[e],2281,PEFLIPm,,
triodthysuf[c],11328,PEPCK,,
trp_L[e],5300,PEPCKm,,
ts3[c],85313,PEPLYStn,,
tststeroneglc[c],51303,PERILLYLte,,
tststeroneglc[r],51645,PEROXx,,
tststerones[c],9360,PEt,,
tststerone[c],60681,PETHCT,,
ttdcrn[m],10283,PETOHMm_hs,,
ttdcrn[c],5479,PETOHMr_hs,,
txa2[c],5480,PFK26,,
txa2[r],5481,PGCD,,
tymsf[c],10465,PGDI,,
tym[c],2286,PGDIr,,
tyr_L[e],285755,PGESr,,
tyr_L[m],5478,PGISr,,
udpacgal[c],653598,PGLer,,
udpglcur[r],730262,PGLYCt,,
udpg[r],644591,PGPP_hs,,
udpg[g],53938,PGPPT,,
udpxyl[g],653505,PGS,,
udpxyl[c],4638,PGSr,,
udpxyl[r],85366,PHACCOAGLNAC,,
udpacgal[r],23363,PHCDm,,
ahandrostan[r],91807,PHCHGSm,,
ump[n],340156,PHEACGLNt,,
ura[e],7994,PHEMEtm,,
urate[c],2033,PHEt4,,
urate[x],84148,PHETA1m,,
urea[e],2648,PHEtec,,
urea[c],8850,PHETHPTOX2,,
val_L[e],9329,PHYCBOXL,,
val_L[c],8520,PHYHx,,
val_L[m],203611,PHYQt,,
vitd3[c],55140,PHYTt,,
vitd2[m],9575,PI345P3P,,
vitd2[c],11143,PI345P3Pn,,
vitd3[m],23522,PI345P5P,,
dhcholestanate[r],9085,PI345P5Pn,,
thcholstoic[r],253175,PI34P3Pn,,
whtststerone[c],10524,PI34P4Pn,,
xan[x],9426,PI34P5K,,
xol7ah2[r],7051,PI34P5Kn,,
xoldiolone[m],9333,PI3P3Pn,,
xolest2_hs[c],2162,PI3P4K,,
xoltri24[c],7053,PI3P4Kn,,
xoltri25[c],2165,PI3P5K,,
xoltri27[c],116179,PI45P3K,,
xoltriol[r],7047,PI45P3Kn,,
xser[r],343641,PI45P4P,,
xu5p_D[c],7052,PI45P5P,,
xylt[c],2272,PI45P5Pn,,
Ser_Gly_Ala_X_Gly[r],4255,PI45PLC,,
xyl_D[c],5110,PI45PLCn,,
4abutn[e],5447,PI4P3K,,
acmana[e],5550,PI4P3Ker,,
ahdt[e],131890,PI4P3Kn,,
ctp[e],6011,PI4P5K,,
dgmp[e],7172,PI4P5Kn,,
dgtp[e],150465,PI4PLC,,
dha[e],7862,PI4PLCn,,
dhap[e],254173,PI4PP,,
dtmp[e],11284,PI5P3K,,
dttp[e],8732,PI5P3Ker,,
fad[e],8731,PI5P4K,,
fald[e],23070,PI5P4Kn,,
g1p[e],56339,PIACGT,,
isomal[e],4836,PIK3,,
HC00250[e],9397,PIK3er,,
HC01104[e],23576,PIK3n,,
HC01361[e],23564,PIK4,,
HC01440[e],388714,PIK4n,,
HC01441[e],54414,PIK5,,
HC01444[e],54704,PIK5n,,
HC01446[e],57546,PIPLC,,
HC01577[e],5164,PIPLCn,,
HC01609[e],5165,PIter,,
cpppg1[e],5163,PItg,,
HC01700[e],79691,PItn,,
HC02160[e],81890,PItx,,
HC02161[e],60487,PLA2,,
itp[e],55621,PLA2_2,,
orot[e],81627,PLA2_2e,,
prpp[e],4234,PLYSPSer,,
pydx5p[e],55687,PMEVKx,,
udpg[e],51651,PMI12346PH,,
HC02119[c],3396,PMI12346PHn,,
HC00822[l],138428,PMI1346PH,,
HC00617[c],54802,PMI1346PHn,,
HC00619[c],80324,PMTCOAtx,,
dpcoa[m],57412,PNTEH,,
ppi[e],10,PNTKm,,
HC01672[c],9,PNTOt5,,
HC01434[m],157,PPA2,,
HC01434[x],156,PPA2m,,
HC00591[c],8993,PPAer,,
HC00591[m],114771,PPAm,,
uacgam[r],114770,PPAn,,
acmana[r],57115,PPAP,,
HC01651[c],55768,PPAt,,
HC01651[n],55662,PPAtm,,
cdp[e],444,PPCOACm,,
HC01435[m],10295,PPCOAOm,,
HC01118[r],54857,PPD2CSPp,,
lac_L[x],306,PPDOx,,
fdp[c],51573,PPDOy,,
HC00250[c],4835,PPItr,,
HC01496[m],79001,PPItx,,
glyc3p[x],11101,PPMI12346Ptn,,
HC01668[m],5066,PPMI1346Ptn,,
glyald[m],25797,PPOR,,
r5p[r],4482,PPPG9tm,,
HC01162[c],4015,PPPGOm,,
ptrc[e],10171,PPPItn,,
HC01408[m],8634,PRAGSr,,
arachd[x],79158,PRASCS,,
pmtcoa[r],51172,PRDX,,
HC00342[m],51611,PRDXl,,
56dthm[m],4552,PRGNLONESULT,,
thym[m],64146,PRGNLONEtm,,
3pg[m],11165,PRGNLONEtr,,
glyc_R[m],170685,PRGSTRNt,,
3hpp[m],11163,PRISTANALtx,,
HC01161[c],55190,PRISTCOAtx,,
HC00682[m],313,PRISTtx,,
HC00695[m],1208,PRO1xm,,
2mpdhl[m],84254,PROAKGOX1r,,
HC01377[m],5577,PROD2m,,
HC01115[c],9020,PRODt2r,,
HC01254[c],4293,PRODt2rL,,
e4p[c],51265,PROSTGD2t,,
HC00361[c],57787,PROSTGE1t,,
s7p[c],6792,PROSTGE1t3,,
malcoa[r],57172,PROSTGE2t,,
HC10859[r],728642,PROSTGE2t2,,
HC10859[c],8491,PROSTGE2t3,,
HC10859[m],11183,PROSTGF2t,,
HC10859[x],5583,PROSTGH2t,,
pmtcrn[r],7444,PROSTGI2t,,
pmtcrn[x],23604,PROSTGI2tr,,
lnlccoa[r],7204,PROt2rL,,
lnlccrn[r],5601,PROt4,,
lnlccoa[x],5610,PROtm,,
lnlccrn[x],5218,PRPNCOAHYDm,,
arachdcoa[r],816,PRPNCOAHYDx,,
arachdcrn[r],55781,PS_HSter,,
arachdcrn[x],5128,PS_HStg,,
hdcoa[r],65125,PSDm_hs,,
hdcecrn[r],28996,PSFLIP,,
HC01712[m],5586,PSFLIPm,,
dgmp[c],9748,PSSA1_hs,,
4abutn[m],5588,PSSA2_hs,,
HC00576[c],8621,PSt3,,
HC00718[c],5590,PTDCACRNCPT1,,
mev_R[c],6093,PTDCACRNCPT2,,
dtdp[e],375449,PTDCACRNt,,
fol[m],5597,PTDCAt,,
5fthf[m],1459,PTE2x,,
hxdcal[c],815,PTE3x,,
pac[m],9448,PTE4x,,
pacald[m],6196,PTE5x,,
betald[c],140469,PTHPS,,
HC01522[c],5566,PTHPSn,,
HC00460[c],27330,PTRCAT1,,
HC00900[m],10290,PTRCOX1,,
cholcoa[r],2011,PVD3,,
cholate[r],6793,PYAM5POr,,
pan4p[m],9175,PYAM5Ptm,,
ptth[m],9891,PYDX5Ptm,,
HC01231[c],4140,PYDXDH,,
L2aadp6sa[c],5063,PYDXK,,
HC01501[c],369,PYDXPP,,
HC00832[c],8569,PYLALDOX,,
HC01376[m],5891,PYLALDOXm,,
HC00664[c],9262,PYNP2r,,
HC01180[c],9706,PYRt2m,,
4ppcys[m],4216,PYRt2p,,
1p3h5c[c],23139,QUILSYN,,
4hpro_LT[c],27102,RADH,,
4hpro_LT[m],51701,RADH2,,
thcholst[c],6790,RADH3,,
thcholstoic[c],8550,RADH4,,
dhcholoylcoa[c],11213,RAHY,,
cholcoa[c],51776,RAI1,,
HC01415[m],54822,RAI2,,
3odcoa[m],4214,RAI3,,
c8crn[m],53904,RAI4,,
c8crn[x],6732,RAtn,,
ddcacoa[m],8317,RAtn3,,
3otdcoa[m],23031,RBK_D,,
2mop[c],2872,RBTt,,
HC00900[c],5594,RDH1,,
C02470[c],8814,RDH1a,,
HC00955[e],7443,RDH2,,
co2[e],9252,RDH2a,,
dcholcoa[r],10110,RDH3,,
C02528[r],6789,RDH3a,,
dcholcoa[c],1457,RDH4,,
C02528[c],57144,RETFA,,
HC01412[m],8780,RETFAt,,
3ohdcoa[m],11040,RETFAt1,,
3hddcoa[m],5127,RETFAt2,,
dd2coa[x],8428,RETH,,
3hddcoa[x],5595,RETH1,,
fpram[c],23678,RETH1e,,
HC01223[m],8767,RETH2,,
acACP[c],3551,RETH2e,,
malACP[c],6788,RETHe,,
HC01587[c],11184,RETI1,,
4ppcys[c],1760,RETI2,,
HC01231[m],51231,RETI3,,
HC01321[c],6795,RETNCOA,,
HC01255[c],208,RETNGLCt,,
HC01588[c],25865,RETNGLCt2,,
dhcholestanate[c],22983,RETNGLCt2r,,
xol7ah2al[c],1021,RETNGLCtr,,
HC01322[c],51422,RETNt,,
HC01596[c],3984,RETNtr,,
HC01597[c],7046,RETNtr2,,
HC01323[c],5599,RIBFLVt3,,
HC01593[c],657,RIBt,,
HC01594[c],1326,RIBt2,,
HC01326[c],6198,RNMK,,
HC01605[c],5573,RTOT_2,,
HC01606[c],5602,RTOT_3,,
HC01602[c],10114,RTOT1,,
HC01335[c],10645,RTOT2,,
HC01603[c],4117,RTOT3,,
HC01710[c],1432,RTOT4,,
HC01710[n],11329,RTOT5,,
HC01601[c],22858,RTOT6,,
HC01397[m],8899,RTOTAL2CRNCPT1,,
HC01397[x],1452,RTOTAL2CRNCPT2,,
3htdcoa[m],5576,RTOTAL2CRNt,,
3htdcoa[x],79858,RTOTAL2t,,
HC01412[x],7867,RTOTAL3CRNCPT1,,
3oddcoa[m],93,RTOTAL3CRNCPT2,,
dcacoa[m],6787,RTOTAL3CRNt,,
3hdcoa[m],90,RTOTAL3t,,
3hdcoa[x],8576,RTOTALCRNCPT1,,
dc2coa[m],23178,RTOTALCRNCPT2,,
dc2coa[x],10494,RTOTALCRNt,,
HC01405[m],23683,RTOTALt,,
HC01406[m],22848,Rtotaltl,,
hxcoa[m],4139,Rtotaltp,,
HC01407[m],10000,S23T2g,,
hx2coa[m],5129,S23T3g,,
xol7ah3[c],4751,S23T4g,,
xoltetrol[c],6195,S23Tg,,
HC01459[x],6794,S26Tg,,
34dhmald[m],6446,S2L2FN2M2MASNt,,
34dhoxmand[m],140803,S2L2FN2M2MASNtly,,
homoval[m],10783,S2L2N2M2MASNtly,,
3mox4hpac[m],91754,S2T1g,,
3m4hpga[m],84930,S2T2g,,
3mox4hoxm[m],92,S2T3g,,
HC01589[c],11113,S2T4g,,
HC01590[c],5585,S2TASE1ly,,
HC01591[c],1017,S2TASE2ly,,
HC01592[c],130399,S2TASE3ly,,
HC01595[c],83732,S2TASE4ly,,
HC01598[c],2962,S2TASE5ly,,
HC01599[c],140901,S3T1g,,
HC01600[c],65266,S3T2g,,
HC01652[c],5582,S3T3g,,
HC01652[n],9088,S3TASE1ly,,
HC02228[c],440275,S3TASE2ly,,
HC01842[c],11035,S3TASE3ly,,
HC01797[c],5589,S4T1g,,
HC00001[c],65975,S4T2g,,
HC00001[e],10298,S4T3g,,
HC00001[l],4294,S4T4g,,
HC00002[c],9113,S4T5g,,
HC00002[e],5565,S4T6g,,
HC00002[l],5894,S4TASE1ly,,
HC00003[c],5562,S4TASE2ly,,
HC00003[e],1024,S4TASE3ly,,
HC00003[l],25778,S4TASE4ly,,
HC00004[c],9201,S4TASE5ly,,
HC00004[e],1455,S6T10g,,
citr_L[e],1022,S6T11g,,
ile_L[l],3656,S6T12g,,
inost[r],8536,S6T13g,,
HC00319[c],9475,S6T14g,,
HC00319[m],10595,S6T15g,,
r5p[c],51765,S6T16g,,
atp[l],51347,S6T17g,,
adp[l],6733,S6T18g,,
cmp[r],6885,S6T19g,,
acgam[r],269,S6T1g,,
thr_L[l],1019,S6T20g,,
arachd[l],91,S6T21g,,
hdca[l],4752,S6T22g,,
spmd[e],26750,S6T23g,,
na1[r],1025,S6T24g,,
strdnc[l],9128,S6T25g,,
strdnc[r],5292,S6T2g,,
lnlc[l],8737,S6T3g,,
lnlc[r],4750,S6T4g,,
lanost[x],56924,S6T5g,,
HC01787[e],65061,S6T6g,,
HC01787[c],5593,S6T7g,,
C02528[e],658,S6T8g,,
c8crn[c],55589,S6T9g,,
dhcholoylcoa[m],8999,S6TASE10ly,,
C02470[e],94,S6TASE11ly,,
HC01852[c],7786,S6TASE12ly,,
HC01852[e],283629,S6TASE13ly,,
HC01852[l],25989,S6TASE14ly,,
HC01939[c],5170,S6TASE15ly,,
HC01939[e],50488,S6TASE16ly,,
HC01939[l],1453,S6TASE17ly,,
HC01942[c],5596,S6TASE18ly,,
HC01942[e],30811,S6TASE19ly,,
HC01942[l],207,S6TASE1ly,,
HC01943[c],10733,S6TASE20ly,,
HC01943[e],9064,S6TASE21ly,,
HC01943[l],5567,S6TASE22ly,,
arg_L[l],9641,S6TASE23ly,,
asn_L[l],84451,S6TASE24ly,,
asp_L[l],8476,S6TASE25ly,,
cys_L[l],817,S6TASE26ly,,
gln_L[l],10769,S6TASE2ly,,
his_L[l],11011,S6TASE3ly,,
leu_L[l],8573,S6TASE4ly,,
lys_L[l],6872,S6TASE5ly,,
met_L[l],85481,S6TASE6ly,,
phe_L[l],818,S6TASE7ly,,
ser_L[l],5058,S6TASE8ly,,
trp_L[l],472,S6TASE9ly,,
tyr_L[l],1111,SACCD3m,,
HC01944[c],9344,SACCD4m,,
HC01944[e],26524,SADT,,
HC01944[l],1456,SALMCOM,,
HC00005[c],140609,SALMCOM2,,
thr_L[m],127933,SAMHISTA,,
met_L[m],814,SARCOXp,,
his_L[m],55351,SARCStex,,
HC02222[m],5578,SARCStm,,
HC00006[c],79705,SARCStp,,
HC00007[c],23043,SARDHm,,
HC00008[c],23097,SBPP1er,,
HC00009[c],7273,SBPP3er,,
dtmp[c],23552,SBTD_D2,,
HC00005[r],5603,SBTR,,
HC00009[r],701,SCP21x,,
HC00004[r],23049,SCP22x,,
HC00004[l],673,SCP2x,,
HC00006[r],65018,SCPx,,
HC00007[r],5681,SEAHCYSHYD,,
HC00008[r],8997,SEAHCYStn,,
HC02110[r],29941,SEASMETtn,,
val_L[l],84446,SELADT,,
2obut[m],57551,SELCYSLY,,
cdpchol[r],23387,SELCYSLY2,,
HC02020[r],284086,SELCYSTGL,,
hdd2coa[r],8986,SELCYSTS,,
HC02021[r],5563,SELMETAT,,
stcoa[r],81629,SELNPS,,
HC02022[r],9261,SELt4_3,,
odecoa[r],204851,Ser_Thrtg,,
HC02023[r],27148,SERALANaEx,,
HC02024[r],7048,SERASNNaEx,,
lnlncgcoa[r],81788,SERCYSNaEx,,
HC02025[r],5584,SERDGLNexR,,
HC02026[r],54861,SERDGLYexR,,
HC02027[r],5580,SERGLNexR,,
HC02020[l],9263,SERGLNNaEx,,
hdcea[r],1020,SERGLYexR,,
HC02022[l],10922,SERHL,,
ocdcea[r],5568,SERLYSNaex,,
ocdcea[l],65268,SERPT,,
HC02023[l],9833,SERt4,,
HC02024[l],282974,SERTHRNaEx,,
lnlnca[r],3611,SERtN1,,
lnlncg[r],7465,SERtp,,
HC02027[l],5598,SFGTH,,
HC02029[c],5579,SGALSIDEtg,,
HC02030[c],5347,SGALSIDEtl,,
HC02031[c],51755,SGPL11r,,
HC02032[c],1613,SGPL12r,,
HC02033[c],54986,SIAASE,,
HC02036[c],5871,SIAASE2ly,,
lnlncg[l],197259,SIAASE3ly,,
hdcea[l],53944,SIAASE4ly,,
HC02097[c],202374,SIAASEly,,
HC02098[c],699,SIAT4Bg,,
HC02099[c],10746,SIAT9g,,
HC01988[c],23235,sink_citr[c],,
HC02111[c],983,sink_pre_prot[r],,
HC02111[m],166614,SLCBK1,,
HC02112[r],5581,SLDt,,
HC02112[c],55561,SLDx,,
HC02112[m],9451,SLDxm,,
HC02112[x],112858,SMPD3g,,
HC02113[r],4342,SMPD3l,,
HC02113[c],9943,SMPD4,,
HC02113[m],4296,SMS,,
HC02113[x],1263,SO4CLtex2,,
HC02114[c],9024,SO4HCOtex,,
HC02115[m],545,SO4OXAtex2,,
HC02115[c],6199,SO4t4_2,,
HC02116[c],8408,SO4tl,,
HC00005[l],6197,SOAT11,,
HC00009[l],83983,SOAT11r,,
lnlnca[l],2081,SOAT12,,
dlnlcg[l],2580,SOAT12r,,
dlnlcg[r],9212,SPC_HSt,,
HC00822[e],122011,SPH1Pte,,
HC02121[c],5062,SPH1Ptr,,
xtsn[c],389840,SPHGNtr,,
HC02136[c],225689,SPHINGStl,,
btcoa[c],9625,SPHINGStr,,
HC02223[m],3985,SPHK21c,,
dlnlcgcoa[r],57118,SPHMDAc,,
HC10856[m],54101,SPHMYLNtg,,
HC10857[m],29110,SPHMYLNtl,,
HC10858[m],11200,SPHS1Pte,,
CE0692[m],5613,SPHS1Ptr,,
HC02192[e],3654,SPMDOX,,
HC02192[c],5587,SPODMe,,
HC02193[e],8558,SPODMm,,
HC02193[c],5600,SPODMn,,
HC02195[e],5592,SPODMx,,
HC02195[c],613,SPR,,
HC02196[e],6300,SPRMS,,
HC02196[c],5575,SPRn,,
HC02220[e],388228,SPTix,,
HC02220[c],120892,SQLEr,,
HC02154[c],56164,SQLSr,,
HC02154[e],30849,SR5AR2r,,
dca[c],65267,SR5ARr,,
dca[e],1612,SRTN23OX,,
HC02199[c],341676,SRTNACT,,
HC02199[e],4217,SRTNMTX,,
HC02200[c],51135,SRTNt6_2_r,,
HC02200[e],415116,SRTNtu,,
HC02201[c],9874,ST3GAL21g,,
HC02201[e],27347,ST3GAL22g,,
zn2[e],9578,ST3GAL23g,,
zn2[c],4215,ST3GAL31g,,
pyr[e],659,ST3GAL61g,,
acac[e],8859,ST3GAL62g,,
lac_L[e],1460,ST6GALNAC21,,
but[e],344387,ST6GALNAC22,,
HC02191[e],23617,ST6GALNAC23,,
HC02191[c],23012,ST6GALNAC24,,
HC02194[e],83942,ST6GALNAC25,,
HC02194[c],1147,ST6GALNAC26,,
HC02197[e],1454,ST6GALNAC27,,
HC02197[c],494551,ST6GALNAC28,,
HC02198[e],984,ST6GALNAC31,,
HC02198[c],1018,ST6GALNAC62,,
HC02187[e],5591,ST8SIA11,,
HC02187[c],5536,ST8SIA12,,
HC02180[e],23035,ST8SIA51g,,
HC02180[c],9150,ST8SIA52g,,
wharachd[e],5523,ST8SIA53g,,
wharachd[c],5522,ST8SIA54g,,
HC02202[e],23239,ST8SIA55g,,
HC02202[c],5475,ST8SIA56g,,
HC02203[e],9647,STCOAtx,,
HC02203[c],5494,STRDNCCPT1,,
HC02204[e],5516,STRDNCCPT2,,
HC02204[c],5518,STRDNCCRNt,,
HC02205[e],5532,STRDNCt,,
HC02205[c],5515,STS1,,
HC02206[e],5496,STS1r,,
HC02206[c],5537,STS2,,
HC02207[e],5507,STS2r,,
HC02207[c],5533,SUCCt2m,,
HC02208[e],79871,SUCCt4_2,,
HC02208[c],84152,SUCCtp,,
HC02210[e],80895,SUCD1m,,
HC02210[c],5502,SUCOAS1m,,
HC02213[e],5519,SUCOASm,,
HC02213[c],5495,SUCRe,,
HC02214[e],5530,SULFOX,,
HC02214[c],58190,T2M26DCOAHLm,,
HC02216[e],10217,T2M26DCOAHLx,,
HC02216[c],5531,T4HCINNMFM,,
HC02217[e],5506,T4HCINNOX,,
HC02217[c],5470,TAGAT_Dt,,
HC00342[c],5521,TAGt,,
oxa[m],29101,TAURt4_2_r,,
c4crn[c],152926,TAURtcx,,
c4crn[m],132160,TAXOLte,,
so3[e],134510,TCHOLAt,,
sprm[e],28227,TCHOLAt2,,
C01241[c],8493,TCHOLAte,,
C04308[c],5499,TCHOLAtx,,
C01241[m],22843,TCYNTt,,
C04308[m],10106,TCYNTtm,,
C01241[r],5504,TDCHOLAte,,
C04308[r],5501,TDCHOLAtx,,
6pgc[c],5535,TDP,,
glcn[c],5500,TDPDRR,,
ocdca[m],5534,TDPm,,
ocdca[x],5520,TETHEX3COAtx,,
dtmp[n],192111,TETHEX3t,,
trdrd[n],5616,TETPENT3COAtx,,
trdox[n],360132,TETPENT3CPT1,,
CE2421[c],80024,TETPENT3CPT2,,
CE0713[c],55244,TETPENT3CRNt,,
CE2421[m],146802,TETPENT3t,,
CE0713[m],5002,TETPENT6COAtx,,
CE2421[x],254428,TETPENT6CPT1,,
CE0713[x],84102,TETPENT6CPT2,,
C10164[c],1317,TETPENT6CRNt,,
CE2251[c],345274,TETPENT6t,,
CE2247[c],116085,TETTET6COAtx,,
CE2243[c],79660,TETTET6CPT1,,
CE2250[c],23729,TETTET6CPT2,,
coa[e],123688,TETTET6CRNt,,
malcoa[e],51171,TETTET6t,,
arachcoa[e],10202,THBPT4ACAMDASE,,
CE2250[e],10553,THCHOLSTOICtm,,
CE2246[c],84869,THD1m,,
CE2242[c],1487,THFt2,,
CE2242[n],56898,THFtl,,
docoscoa[n],374875,THFtm,,
malcoa[n],121214,THMDt4,,
CE2253[n],100288072,THMMPt4,,
CE2253[c],93517,THMMPtm,,
CE2249[c],51741,THMP,,
CE2245[c],340811,THMPPtm,,
arach[m],441282,THMt2m,,
arach[x],10954,THMTP,,
docoscoa[c],10130,THMTPt,,
docosac[c],9601,THP2Ctp,,
docoscoa[m],54495,THRALANaEx,,
docosac[m],2923,THRASNNaEx,,
docoscoa[x],85007,THRCYSNaEx,,
docosac[x],10226,THRGLNexR,,
lgnc[m],161247,THRGLNNaEx,,
lgnc[x],729359,THRGLYexR,,
co2[l],26580,THRSERNaEx,,
3ohodcoa[l],128486,THRt4,,
pmtcoa[l],649,THYMDt1,,
malcoa[l],123264,THYMDtl,,
3ohodcoa[r],200931,THYMDtm,,
3ohodcoa[c],0,THYMt,,
CE2248[c],5446,THYOXt,,
CE2248[r],5250,THYOXt2,,
od2coa[n],513,THYPX,,
CE2248[n],498,TMABADH,,
stcoa[n],506,TMDK1m,,
CE1935[c],509,TMDPP,,
CE1935[e],514,TMDPPK,,
sprm[x],10632,TMLYSOX,,
CE1935[x],4905,TMLYSter,,
CE1940[c],10476,TMNDNCCOAtx,,
CE1940[e],9551,TMNDNCCPT1,,
spmd[x],522,TMNDNCCPT2,,
CE1940[x],516,TMNDNCCRNt,,
CE1943[c],521,TMNDNCt,,
CE1943[e],515,TOLBUTAMIDEte,,
CE1943[x],518,TRDR,,
CE1944[c],517,TRDR2,,
CE2011[c],539,TRDR3,,
CE2011[e],267020,TRDRm,,
tcynt[l],27109,TREH,,
CE2011[l],7384,TREHe,,
CE2011[m],7388,TRIODTHYSUFt,,
tcynt[n],4519,TRIODTHYSULT,,
CE2011[n],29796,TRIODTHYt,,
CE1936[c],10975,TRIODTHYt2,,
CE1936[e],7385,TRIOK,,
CE1936[x],7386,TRPHYDRO2,,
CE1939[c],1537,TRPO2,,
CE1939[e],27089,TRPt4,,
CE1939[x],7381,TRYPTAOX,,
CE2705[c],9016,TS3,,
thbpt4acam[n],7352,TSTSTERONEGLCte,,
CE2705[n],7351,TSTSTERONEGLCtr,,
CE1787[c],9481,TSTSTERONESte,,
CE2846[c],4715,TSTSTERONESULT,,
CE2847[c],4720,TSTSTERONEt,,
CE2848[c],4719,TSTSTERONEtr,,
CE2870[c],4700,TSULt4_3,,
CE2866[c],55967,TTDCAtr,,
so4[g],4709,TTDCPT2,,
CE2870[g],4710,TTDCRNt,,
CE2866[g],4726,TXA2te,,
CE2870[r],4718,TXA2tr,,
CE2866[r],4696,TXASr,,
maltttr[c],4694,TYMSFt,,
maltttr[e],374291,TYMSULT,,
CE2873[c],4728,TYR3MO2,,
CE2872[c],4712,TYRASE,,
CE2873[g],4717,TYRCBOX,,
CE2872[g],4705,TYRDOPO,,
CE2873[r],4725,TYRDOPO3,,
CE2872[r],4716,TYROXDAc,,
CE2875[c],4537,TYRt,,
CE2874[c],7991,TYRt4,,
CE2875[g],4722,TYRTAm,,
CE2874[g],4541,UAG2EMAi,,
CE2875[r],4539,UAGALDP,,
CE2874[r],4707,UDPACGALtl,,
CE2876[c],4701,UDPDOLPT_L,,
CE2876[r],4723,UDPDOLPT_U,,
CE2877[c],4698,UDPG1P,,
thyox_L[r],4538,UDPGALt2g,,
CE2877[r],4697,UDPGALtg,,
CE2754[c],51079,UDPGD,,
CE2878[c],4714,UDPGLCAter,,
CE2754[r],4704,UDPGLCAtg,,
CE2878[r],126328,UDPGLCter,,
CE2879[c],4711,UDPGLCtg,,
triodthy[r],4724,UDPGLDCg,,
CE2879[r],4713,UDPGNP,,
CE2880[c],4536,UDPGP,,
CE2880[r],4695,UDPtl,,
CE2881[c],4702,UDPXYLter,,
CE2885[c],4708,UDPXYLtg,,
CE2881[r],4535,UGALGTg,,
CE2885[r],4731,UGALNACter,,
CE2882[c],4729,UGALNACtg,,
CE2886[c],4540,UGCG,,
CE2882[r],54539,UGLCNACtg,,
CE2886[r],1351,UGT1A10r,,
maltpt[c],1347,UGT1A1r,,
maltpt[e],1329,UGT1A2r,,
CE2883[c],1327,UGT1A3r,,
CE2887[c],341947,UGT1A4r,,
CE2883[r],9167,UGT1A5r,,
CE2887[r],1350,UGT1A5r2,,
CE2884[c],4512,UGT1A6r,,
CE2888[c],1349,UGT1A7r,,
CE2884[r],1339,UGT1A8r,,
CE2888[r],1345,UGT1A9r,,
malthx[c],4513,UMPK2,,
malthx[e],9377,UMPK2n,,
CE2915[c],125965,UMPK3,,
CE4722[c],4514,UMPK3n,,
CE2915[e],170712,UMPK4,,
CE4722[e],1346,UMPK4n,,
CE2916[c],1340,UMPK5,,
CE4723[c],84701,UMPK5n,,
CE2916[e],1337,UMPK6,,
CE4723[e],,UMPK6n,,
CE2917[c],,UMPK7,,
CE4724[c],,UMPK7n,,
CE2917[e],,UMPKm,,
CE4724[e],,UMPKn,,
malthp[c],,UMPtr,,
malthp[e],,UNK2,,
CE2839[c],,UPPN,,
CE2838[c],,URAt,,
CE2839[e],,URATEt,,
CE2838[e],,URATEtx,,
CE1950[c],,UREAt5,,
cynt[c],,UREAtm,,
CE1950[e],,URIDK2m,,
cynt[e],,URIK1,,
so3[l],,URIt,,
CE1950[l],,URIt4,,
cynt[l],,Uritl,,
so3[n],,Uritm,,
CE1950[n],,Uritn,,
cynt[n],,UROLACer,,
C01836[c],,UTPtn,,
CE2862[c],,VACCt,,
CE2863[c],,VALt4,,
C01836[m],,VALt5m,,
CE2862[m],,VALTAm,,
CE2863[m],,VALtec,,
CE2858[c],,VD3,,
CE2751[c],,VITD2Hm,,
CE2890[c],,VITD2t,,
CE2891[c],,VITD2tm,,
CE4753[c],,VITD3Hm,,
CE4754[c],,VITD3t,,
CE0737[c],,VITD3tm,,
CE1243[c],,VITD3tm3,,
andrstndn[c],,VLCS2p,,
andrstndn[m],,VLCS2r,,
17ahprgstrn[m],,VLCSp,,
