mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
ACOAO7p,ACGAGBSIDEtg,7THFtm,5HOXINOXDA
ACONTm,ACGAGBSIDEtl,A_MANASEly,5HTRPVESSEC_1
ACOX2x,ACGALtly,A4GALTc,5MTHFt
ACP1_FMN,ACGAM6PS,A4GALTg,5MTHFt2_1
ACRNtm,ACGAMK,A4GNT2g,6HTSTSTERONEte
ACS2,ACGAMPM,AATA,6HTSTSTERONEtr
ACSm,ACGAMtly,ABO9g,7DHFtl
ACtg,ACGPID,ABTArm,7DHFtm
ACTNMO,ACHEe,ABTD,7THFtl
ADAe,ACITL,ABUTt2rL,7THFtm
ADCim,ACNACNGAL14ACGLCGALGLUSIDEte,ABUTt4_2_r,A_MANASEly
ADK3,ACNACNGAL14ACGLCGALGLUSIDEtg,ACACT10m,A4GALTc
ADK3m,ACNACNGALGBSIDEte,ACACT1m,A4GALTg
ADKd,ACNACNGALGBSIDEtg,ACACT1x,A4GNT1g
ADMDC,ACNAM9PL,ACACt2m,A4GNT2g
ADNCYC,ACNAM9PL2,ACACT4p,AACTOOR
ADNK1m,ACNAMlt,ACACT5p,AACTtm
ADNt,ACNAMPH,ACACT6p,AATA
ADNtl,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,ACACT7p,ABO1g
ADNtm,ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,ACACT8p,ABO2g
ADRNCPT1,ACOAD10m,ACACT9p,ABO3g
ADRNCPT2,ACOAD1fm,ACACtx,ABO4g
ADRNCRNt,ACOAD8m,ACALDtm,ABO5g
ADSK,ACOAD9m,ACALDtx,ABO6g
ADSL1r,ACOAO7p,ACCOACrm,ABO7g
ADSL2r,ACODA,ACCOAgt,ABO8g
AG13T16g,ACONTm,ACCOALm,ABO9g
AG13T17g,ACOX2x,ACCOAtr,ABTArm
AG13T18g,ACP1_FMN,ACETONEt2,ABTD
AG13T1g,ACRNtm,ACETONEt2m,ABUTt2rL
AG13T2g,ACS2,ACGAGBSIDEtg,ABUTt4_2_r
AG13T3g,ACSm,ACGAGBSIDEtl,ACACT10m
AGPAT1_1,ACtg,ACGALK,ACACT1x
AHEXASE2ly,ADK1m,ACGALK2,ACACt2m
AHEXASEly,ADK3,ACGALtlg,ACACT4p
AIRCr,ADK3m,ACGALtly,ACACT5p
AKGDm,ADKd,ACGAM6PS,ACACT6p
AKGMALtm,ADMDC,ACGAMK,ACACT7p
AKGt4_3,ADNCYC,ACGAMPM,ACACT8p
AKR1D,ADNt,ACGAMtly,ACACT9p
AKR1D2,ADNtl,ACGBGBSIDEtg,ACALDtm
ALADGLYexR,ADNtm,ACGBGBSIDEtl,ACALDtr
ALASm,ADPMAN,ACGPID,ACCOACrm
ALAt4,ADPRIBt,ACHEe,ACCOAgt
ALATA_L,ADRNCPT1,ACITL,ACCOALm
ALCD21_D,ADRNCPT2,ACN13ACNGALGBSIDEte,ACCOAtn
LCARS,ADRNCRNt,ACN13ACNGALGBSIDEtg,ACCOAtr
ALCD22_L,ADSK,ACN23ACNGALGBSIDEte,ACETONEt2
ALDD20x,ADSL1r,ACN23ACNGALGBSIDEtg,ACETONEt2m
ALDD20xm,ADSL2r,ACNACNGAL14ACGLCGALGLUSIDEte,ACGAGBSIDEtg
ALDD21,AG13T16g,ACNACNGAL14ACGLCGALGLUSIDEtg,ACGAGBSIDEtl
ALDD2xm,AG13T17g,ACNACNGALGBSIDEte,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte
ALDD2y,AG13T18g,ACNACNGALGBSIDEtg,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg
ALOX5,AG13T1g,ACNAM9PL,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
ALR2,AG13T2g,ACNAM9PL2,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
ALR3,AG13T3g,ACNAMlt,ACGALtlg
AMACR2p,AGPAT1_1,ACNAMPH,ACGALtly
AMACRp,AGTim,ACNAMtn,ACGAM6PS
AMETt2m,AHEXASE2ly,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,ACGAMPM
AMPDA,AHEXASEly,ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,ACGAMtly
AMY1e,AIRCr,ACNML,ACGBGBSIDEtg
AMY2e,AKGDm,ACOAD10m,ACGBGBSIDEtl
ANDRSTRNGLCte,AKGMALtm,ACOAD1fm,ACGPID
ANDRSTRNGLCtr,AKGt4_3,ACOAD8m,ACGSm
APAT2rm,AKGtp,ACOAD9m,ACHtn
APOCF,AKR1D,ACOAO7p,ACHVESSEC_1
APOCFm,AKR1D2,ACODA,ACN13ACNGALGBSIDEte
APOC_LYS_BTNP,ALADGLNexR,ACONTm,ACN13ACNGALGBSIDEtg
APOC_LYS_BTNPm,ALADGLYexR,ACOX2x,ACN23ACNGALGBSIDEte
APRTO2,ALAGLNexR,ACP1_FMN,ACN23ACNGALGBSIDEtg
AQCOBALt,ALAGLYexR,ACRNtm,ACNACNGAL14ACGLCGALGLUSIDEte
ARAB_Lt,ALASm,ACS2,ACNACNGAL14ACGLCGALGLUSIDEtg
ARABR,ALATA_L,ACSm,ACNACNGALGBSIDEte
ARACHCRNt,ALAtN1,ACtg,ACNACNGALGBSIDEtg
ARGNm,ALCD21_D,ACTLMO,ACNAM9PL
ARGSS,LCARS,ACTNMO,ACNAM9PL2
ARGtm,ALCD22_D,ADAe,ACNAMlt
R_group_phosphotase_1,ALCD22_L,ADCim,ACNAMPH
R_group_phosphotase_2,ALCD2x,ADEt,ACNGALACGLCGAL14ACGLCGALGLUSIDEte
R_group_phosphotase_3,ALDD20x,ADK1m,ACNGALACGLCGAL14ACGLCGALGLUSIDEtg
ARTPLM3m,ALDD20xm,ADK3,ACOAD1fm
ASAH1,ALDD21,ADK3m,ACOAD8m
ASCBt4,ALDD2xm,ADKd,ACOAD9m
ASNS1,ALDD2y,ADMDC,ACODA
ASNt4,ALOX15,ADNCYC,ACONTm
ASPCT,ALR2,ADNK1m,ACOX22x
ASPDt6,ALR3,ADNt,ACOX2x
ASPDxt,AMACR2p,ADNtl,ACP1_FMN
ASPt6,AMACRp,ADNtm,ACRNtm
ATP1ter,AMETt2m,ADPMAN,ACS2
ATP2ter,AMPDA,ADPRIBt,ACSm
ATPH1e,AMY1e,ADRNCOAtx,ACSRTNMT
ATPH2e,AMY2e,ADRNCPT1,ACtg
B_MANNASEly,AOBUTDsm,ADRNCPT2,ACTLMO
B3GALT3g,APAT2rm,ADRNCRNt,ACTNMO
B3GALT41g,APOCF,ADRNLPVESSEC_1,ADA
B3GALT43g,APOCFm,ADSK,ADAe
B3GALT44g,APOC_LYS_BTNP,ADSL1r,ADCim
B3GALT5g,APOC_LYS_BTNPm,ADSL2r,ADEt
B3GALTg,APRTO2,AG13T16g,ADK1m
B3GNT11g,ARAB_Lt,AG13T17g,ADMDC
B3GNT12g,ARABR,AG13T18g,ADNCYC
B3GNT310g,ARACHCPT1,AG13T1g,ADNt
B3GNT312g,ARACHCPT2,AG13T2g,ADNt4
B3GNT315g,ARACHCRNt,AG13T3g,ADNtl
B3GNT39g,ARACHDtr,AGPAT1_1,ADNtm
B3GNT51g,ARACHt,AGTim,ADPMAN
BAAT3x,ARGLYSex,AHANDROSTANGLCte,ADPRIBt
BACCL,ARGSS,AHANDROSTANGLCtr,ADRNCOAtx
BACCLm,ARSA,AHEXASE2ly,ADRNCPT1
BALAtmr,R_group_phosphotase_1,AHEXASEly,ADRNCPT2
BALAVECSEC_1,R_group_phosphotase_2,AIRCr,ADRNCRNt
BAMPPALDOX,R_group_phosphotase_3,AKGDm,ADRNLPVESSEC_1
BBHOX,ARTFR208,AKGMALtm,ADSK
BDHm,ARTPLM3m,AKGt4_3,ADSL1r
BHBtm,ASAH1,AKGtp,ADSL2r
BILDGLCURt,ASCBt4,AKR1C1,AFLATOXINte
BILDGLCURte,ASNNm,AKR1C41,AG13T16g
BILGLCURt,ASNS1,AKR1C42,AG13T17g
BILGLCURte,ASNtm,AKR1D,AG13T18g
BILGLCURtr,ASNtN1,AKR1D2,AG13T1g
BILIRED,ASPCT,ALAASNNaEx,AG13T2g
BILIRUBt2,ASPDt6,ALACYSNaEx,AG13T3g
BIOCYTtn,ASPDxt,ALADGLNexR,AGMTm
BTND1,ASPGLUm,ALADGLYexR,AGPAT1_1
BTND1n,ASPTAm,ALAGLNexR,AGTim
BTNDe,ATP1ter,ALAGLNNaEx,AGTix
BTNDm,ATP2ter,ALAGLYexR,AHANDROSTANGLCte
BTNPL,ATPH1e,ALASERNaEx,AHANDROSTANGLCtr
BTNPLm,ATPH2e,ALASm,AHEXASE2ly
