mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
r1756,TETTET6CPT1,NAGLCAly,NACHEX26ly
r1757,TETTET6CPT2,NAHCO3_HCLt,NACHEX27ly
r1758,TETTET6CRNt,NAIt,NACHEX2ly
r1759,THBPT4ACAMDASE,NaKt_1,NACHEX3ly
r1760,THFt2_1,NAt,NACHEX4ly
r1761,THFtl,NAt3_1g,NACHEX5ly
r1762,THFtm,NAt5,NACHEX6ly
r1763,THMTP,NAtx,NACHEX7ly
r1764,THRGLNexR,NBAHH_ir,NACHEX8ly
r1765,THRGLYexR,NCAMUP,NACHEX9ly
r1766,THYMDt1,NCKt,NACHEXA10ly
r1767,THYMDtl,NCNt,NACHEXA17ly
r1768,THYMDtm,NDP10ex,NADNe
r1769,THYOXt,NDP3ex,NADPNe
r1770,THYOXt2,NDP6,NADtn
r1771,TMABADH,NDP7er,NAGA2ly
r1772,TMDK1m,NDP7ex,NAGAlby
r1773,TMDPPK,NDP7g,NAGAly
r1774,TMLYSOX,NDP8,NAGLCAly
r1775,TMNDNCCPT1,NDP8ex,NAIt
r1776,TMNDNCCPT2,NDPK10,NaKt_1
r1777,TMNDNCCRNt,NDPK10n,NAt
r1778,TRDR,NDPK1m,NAt3_1g
r1779,TRDR2,NDPK1n,NAt5
r1780,TRDR3,NDPK2n,NBAHH_ir
r1781,TRIODTHYSULT,NDPK3m,NCAMUP
r1782,TRIODTHYt,NDPK3n,NCCt
r1783,TRIODTHYt2,NDPK4m,NCKt
r1784,TRYPTAOX,NDPK4n,NCNt
r1785,TSTSTERONESte,NDPK5m,NDP10ex
r1786,TSTSTERONESULT,NDPK5n,NDP3ex
r1787,TSTSTERONEt,NDPK6m,NDP6
r1788,TSTSTERONEtr,NDPK6n,NDP7er
r1789,TSULt4_3,NDPK7m,NDP7ex
r1790,TTDCPT2,NDPK7n,NDP7g
r1791,TTDCRNt,NDPK8m,NDP8ex
r1792,TYMSFt,NDPK8n,NDPK10
r1796,TYMSULT,NDPK9n,NDPK10n
r1797,TYR3MO2,NH4tn,NDPK1m
r1798,TYRCBOX,NH4tp,NDPK3m
r1799,TYROXDAc,NICRNS,NDPK4m
r1800,TYRTAim,NICRNTtn,NDPK5m
r1801,UAG2EMA,NKCC2t,NDPK6m
r1803,UDPACGALtl,NKCCt,NDPK6n
r1805,UDPDOLPT_L,NMNATm,NDPK7m
r1806,UDPGALtg,NMNATn,NDPK8m
r1807,UDPGD,NMNAT,NH4t3r
r1808,UDPGLCAter,NMNS,NH4tp
r1809,UDPGLCAtg,NMNtn,NICRNS
r1810,UDPGLCter,NNATn,NICRNTtn
r1811,UDPGLDCg,NNMT,NIFEDIPINEte
r1812,UDPGP,NORANMT,NKCC2t
r1813,UDPtl,NOS1,NKCCt
r1814,UDPXYLter,NOS2_2,NMNATm
r1815,UDPXYLtg,NOt,NMNATn
r1816,UGALGTg,NP1,NMNAT
r1817,UGALNACtg,NRPPHRSFt,NMNtn
r1818,UGCG,NRPPHRSULT,NNATn
r1819,UGLCNACtg,NRPPHRtu,NNMT
r1820,UGT1A5r,NRPPHRVESSEC_1,NORANMT
r1821,UMPK2,NRVNCCOAtx,NOS1
r1822,UMPK2n,NS26T2g,NOS2_2
r1823,UMPK3,NS26Tg,NOt
r1824,UMPK3n,NTD12,NP1
r1825,UMPK4,NTD1m,NPTHLte
r1826,UMPK4n,NTD2e,NRPPHRSFt
r1827,UMPK5,NTD2l,NRPPHRSULT
r1828,UMPK5n,NTD4e,NRPPHRt4_2_r
r1829,UMPK6,NTD4l,NRPPHRtu
r1830,UMPK6n,NTD5l,NRPPHRVESSEC_1
r1831,UMPK7,NTD5m,NS26T2g
r1832,UMPK7n,NTD7e,NS26Tg
r1833,UMPKn,NTD7l,NTD12
r1834,URAt,NTD9e,NTD1m
r1835,URIDK2m,NTD9l,NTD2e
r1836,URIK1,NTP3e,NTD2l
r1837,URIt,NTPP10,NTD4e
r1841,Uritl,NTPP9,NTD4l
r1842,UROLACer,O16G2e,NTD5l
r1843,UTPtn,O2St,NTD5m
r1844,VALt5m,O2Stm,NTD7e
r1846,VALTAim,O2Stn,NTD7l
r1847,VALtec,O2Stx,NTD9e
r1848,VLCS2p,O2ter,NTD9l
r1850,VLCS2r,O2tm,NTP3e
r1851,VLCSp,O2tn,NTPP10
r1852,VLCSr,O2tp,O16G1e
r1853,WHTSTSTERONEte,OAGD3te,O16G2e
r1854,XOL27OHtm,OAGD3tg,O2St
r1855,XOLEST2te,OAGT3te,O2Stn
r1856,XOLESTte,OAGT3tg,O2Stx
r1857,XOLTRI25tc,OCBTm,O2ter
r1858,XOLTRI25te,OCCOAtx,O2tm
r1859,XOLTRI27tc,OCOAT1m,O2tp
r1860,XOLTRI27te,OCTAt,OAGD3te
r1861,XOLTRIOLtm,ODECOAtx,OAGD3tg
r1862,XSERtg,OIVD1m,OAGT3te
r1863,XYLTD_D,OIVD2m,OAGT3tg
r1864,XYLTer,OIVD3m,OCBTm
r1865,XYLtly,OPAH,OCDCAt
r1866,XYLUR,ORNt3m,OCDCEAt
r1867,EX_acmana_e,ORNt4m,OCTAt
r1871,EX_ahdt_e,ORNTArm,OMEPRAZOLEte
r1872,EX_ctp_e,ORNt,ONPTHLte
r1873,EX_dgmp_e,ORPT,OPAH
r1874,EX_dgtp_e,OXAHCOtex,ORNt3m
r1876,EX_dtmp_e,P45011A1m,ORNt4m
r1877,EX_dttp_e,P4501B1r,ORNTArm
r1879,EX_HC01104_e,P45027A11m,ORNt
r1880,EX_HC01361_e,P45027A12m,ORPT
r1881,EX_HC01440_e,P45027A13m,OXAHCOtex
r1882,EX_HC01441_e,P45027A14m,OXAtp
r1883,EX_HC01444_e,P45027A15m,P45011A1m
r1884,EX_HC01446_e,P45027A16m,P45011B11m
r1885,EX_HC01577_e,P45027A1m,P45011B12m
r1886,EX_HC01609_e,P4502D6,P45011B21m
r1887,EX_cpppg1_e,P4502E1,P45017A1r
r1888,EX_HC01700_e,P45039A1r,P45017A2r
r1889,EX_HC02160_e,P45046A1r,P45017A3r
r1890,EX_HC02161_e,P4504F121r,P45017A4r
r1891,r0009,P4504F122r,P45019A1r
r1892,r0016,P4504F123r,P45019A2r
r1893,GDR,P4504F81r,P4501B1r
r1894,GDRm,P4507A1r,P45021A1r
r1895,r0023,P4507B11r,P45021A2r
r1896,NOS2,P4507B12r,P45027A11m
r1897,r0027,P5CDm,P45027A12m
r1898,NDP1,P5CRm,P45027A13m
r1899,DPCOAKm,P5CRxm,P45027A14m
r1900,r0047,PA_HStg,P45027A15m
r1901,r0068,PA_HStn,P45027A16m
r1902,r0074,PAFH,P45027A1m
r1903,ALATA_Lm,PAFHe,P4502A6
r1904,r0083,PAFS,P4502C18
r1905,r0084,PAIL_HStn,P4502C19
r1906,r0085,PAIL45P_HStn,P4502C8
r1907,r0086,PAN4PP,P4502C9
r1908,r0097,PAPStg,P4502C92
r1909,r0113,PAPtg,P4502C93
r1910,NTPP2,PCFLOPm,P4502C94
r1911,PYK3,PCHOL_HSter,P4502D6
r1912,GTHRDH_syn,PCHOL_HStg,P4502E1
r1913,GGTAe2,PCHOLP_hs,P4502F1
r1914,r0139,PCHOLPg_hs,P45039A1r
r1915,r0142,PCHOLPm_hs,P4503A4
r1916,r0145,PCHOLPr_hs,P4503A43r
r1917,r0149,PCm,P4503A5
r1918,r0156,PCREATtmdiffir,P4503A7r
r1919,r0157,PCRNtc,P45046A1r
r1920,SPTc,PCRNtm,P4504B1r
r1921,r0166,PCt,P4504F121r
r1922,r0170,PDE1,P4504F122r
r1923,r0173,PDE1g,P4504F123r
r1924,SSALxm,PDE4,P4504F81r
r1925,r0181,PDE4g,P4507A1r
r1926,r0191,GCPNn,P4507B11r
r1928,r0193,PDHm,P4507B12r
r1929,r0196,PDX5POi,P4508B11r
r1930,r0202,PDXPP,P4508B13r
r1931,r0205,PE_HStm,P450SCC1m
r1932,MAN1PT,PEAMNO,P5CDm
r1933,r0210,PEFLIP,P5CRm
r1934,r0221_1,PEFLIPm,P5CRxm
r1935,r0242,PEPCK_re,PA_HStg
r1936,r0246,PEPCKm,PA_HStn
r1937,r0249,PEROXx,PAFH
r1938,GMPR,PEt,PAFHe
r1939,r0283,PETHCT,PAIL_HStn
r1940,r0287,PETOHMm_hs,PAN4PP
r1941,GMPS,PETOHMr_hs,PAPStg
r1942,r0308,PFK26,PAPtg
r1943,ACOAR7m,PGCD,PCFLOPm
r1944,r0310,PGDI,PCHOL_HStg
r1945,r0311,PGDIr,PCHOLP_hs
r1946,r0317,PGESr,PCHOLPg_hs
r1947,r0319,PGISr,PCHOLPm_hs
r1948,r0321,PGLer,PCHOLPr_hs
r1949,r0330,PGLYCt,PCLAD
r1950,r0340,PGPP_hs,PCm
r1951,r0354,PGPPT,PCREATtmdiffir
r1952,r0355,PGS,PCRNtc
r1953,r0357,PGSr,PCRNtm
r1954,r0358,PHCDm,PCt
r1955,r0360,PHCHGSm,PDE1
r1956,r0361,PHEMEtm,PDE4
r1957,r0363,PHEt4,GCPNn
r1958,r0364,PHETA1m,PDX5POi
r1959,r0365,PHEtec,PDXPP
r1960,ADADir,PHETHPTOX2,PEAMNO
r1961,r0380,PHYCBOXL,PEFLIP
r1962,r0383,PHYHx,PEFLIPm
r1963,r0385,PHYTt,PEPCK_re
r1964,r0386,PI345P3P,PEPCKm
r1965,PYDXO_1,PI345P3Pn,PERILLYLte
r1966,PYDXNO,PI345P5P,PETHCT
r1967,r0393,PI34P5K,PETOHMm_hs
r1968,r0402,PI3P4K,PETOHMr_hs
r1969,r0403,PI3P5K,PFK26
r1970,r0407,PI45P3K,PGCD
r1971,r0408,PI45P3Kn,PGDI
r1972,r0409,PI45P4P,PGDIr
r1973,r0410,PI45P5P,PGESr
r1974,r0423,PI45PLC,PGISr
r1975,r0424,PI4P5K,PGLer
r1976,r0425,PI4PLC,PGPPT
r1977,r0426,PI4PLCn,PGS
r1978,r0431_1,PI4PP,PGSr
r1979,r0432_1,PI5P4K,PHCDm
r1980,r0433_1,PIK4,PHCHGSm
r1981,r0434,PIK5,PHEMEtm
r1982,r0437,PIPLC,PHEt4
r1983,r0438,PIPLCn,PHETA1m
r1984,r0440,PIter,PHEtec
r1985,r0441,PItg,PHETHPTOX2
r1986,r0443,PItn,PHYCBOXL
r1987,r0444,PItx,PHYHx
r1988,r0450,PLA2_2,PHYTt
r1989,r0451,PLA2_2e,PI345P5P
r1990,DGNSK,PMEVKx,PI34P5K
r1991,r0463,PMI12346PH,PI3P4K
r2079,r0465_1,PMI12346PHn,PI3P5K
r2080,r0466_1,PMTCOAtx,PI45P3K
r2081,r0480,PNTOt5_1,PI45P5P
r2082,r0483,PPA2,PI45PLC
r2083,HMGCOAR,PPAer,PI4P5K
r2084,r0494,PPAm,PI4PLC
r2085,r0497,PPDOy,PI5P4K
r2086,XAO,PPItr,PIK4
r2087,r0509,PPItx,PIK5
r2088,r0510,PPMI12346Ptn,PIPLC
r2089,r0511,PPOR,PIter
r2090,r0517,PPPG9tm,PItg
r2091,THFATm,PPPGOm,PItx
r2092,FTHFCLm,PRAGSr,PLA2_2
r2093,r0525,PRASCSi,PLA2_2e
r2094,NMNDA,PRDX,PMEVKx
r2095,DUTCP,PRGNLONESULT,PMI12346PH
r2096,SPHPL,PRGNLONEtm,PMI12346PHn
r2097,CYSAMO_cho,PRGSTRNt,PNTOt5_1
r2098,r0541,PRISTANALtx,PPA2
r2099,ALDD19xr,PRISTCOAtx,PPAer
r2100,r0546,PRISTtx,PPAm
r2101,ALDD19x_P,PROD2m,PPAP
r2102,r0548,PRODt2r,PPDOy
r2103,BETALDHx,PROSTGE1t3,PPMI12346Ptn
r2104,BETALDHy,PROSTGE2t,PPOR
r2105,r0555,PROSTGE2t3,PPPG9tm
r2106,r0557,PROSTGF2t,PPPGOm
r2107,r0560,PROt4,PRAGSr
r2108,DHRT_ibcoa,PSDm_hs,PRASCSi
r2109,r0568,PSFLIP,PRDX
r2110,r0571,PSFLIPm,PRDXl
r2111,r0575,PSSA1_hs,PRGNLONESULT
r2112,APNPT,PSSA2_hs,PRGNLONEtm
r2113,r0579,PSt3,PRGNLONEtr
r2114,r0587,PTDCACRNCPT1,PRISTCOAtx
r2115,PTPATim,PTDCACRNCPT2,PRISTtx
r2116,DPCOAPP,PTDCACRNt,PROD2m
r2117,AASAD3,PTDCAt,PRODt2r
r2118,r0595,PTE2x,PROSTGD2t
r2119,r0596,PTE3x,PROSTGE1t
r2120,r0603,PTE4x,PROSTGE1t3
r2121,r0604,PTHPS,PROSTGE2t
r2122,r0610,PTRCAT1,PROSTGE2t2
r2123,r0611,PYAM5PO,PROSTGE2t3
r2124,HPROx,PYDXDH,PROSTGF2t
r2125,HPROxm,PYDXK,PROSTGI2tr
r2126,HPROb,PYDXPP,PROt4
r2127,HPROym,PYNP2r,PSDm_hs
r2128,r0627,PYRt2m,PSFLIP
r2129,r0630,PYRt2p,PSFLIPm
r2130,r0633,RAI3,PTDCACRNCPT1
r2131,ACACT4m,RBK_Dr,PTDCACRNCPT2
r2132,r0636,RDH1,PTDCACRNt
r2133,r0637,RDH1a,PTDCAt
r2139,ACOAR5m,RDH2,PTE2x
r2140,ACACT6m,RDH2a,PTE3x
r2141,r0641,RDH3,PTE4x
r2150,r0642,RDH3a,PTHPS
r2193,r0643,RDH4,PTRCAT1
r2196,r0648,RETNGLCt,PTRCOX1
r2198,r0649_1,RETNGLCtr,PYAM5PO
r2199,r0650,RIBt,PYDXDH
r2200,r0652_1,RNMK,PYDXPP
r2201,ACACT7m,RTOTAL2t,PYNP2r
r2202,r0655,RTOTAL3CRNCPT1,PYRt2m
r2218,r0656,RTOTAL3CRNCPT2,PYRt2p
r2219,ECOAH5m,RTOTAL3CRNt,RADH2
r2220,PRAIS,RTOTALt,RAI3
r2221,r0669,Rtotaltl,RBK_Dr
r2222,r0670,S23T2g,RDH1
r2223,r0673,S23T4g,RDH1a
r2224,r0686,S23Tg,RDH2
r2225,r0688,S2L2FN2M2MASNtly,RDH2a
r2226,r0698,S2L2N2M2MASNtly,RDH3
r2227,r0706,S2T1g,RDH3a
r2228,r0707,S2T2g,RDH4
r2229,r0714_1,S2T3g,RETI3
r2230,r0716_1,S2T4g,RETNGLCt
r2231,HACD6m,S2TASE1ly,RETNGLCt2
r2232,HACD6p,S2TASE2ly,RETNGLCt2r
r2233,r0721,S2TASE3ly,RETNGLCtr
r2234,HACD5m,S2TASE4ly,RETNtr2
r2235,ACACT5m,S2TASE5ly,RIBFLVt3
r2236,HACD4m,S3T1g,RIBt2
r2237,r0730,S3T2g,RNMK
r2238,r0731,S3T3g,RTOTAL3CRNCPT1
r2239,r0732,S3TASE1ly,RTOTAL3CRNCPT2
r2240,r0733,S3TASE2ly,RTOTAL3CRNt
r2241,r0734,S3TASE3ly,Rtotaltl
r2242,ACOAR4m,S4T1g,S23T2g
r2243,r0737,S4T2g,S23T4g
r2244,r0739,S4T3g,S23Tg
r2245,r0741,S4T6g,S2L2N2M2MASNtly
r2246,r0743,S4TASE1ly,S2T1g
r2247,r0744,S4TASE2ly,S2T2g
r2248,r0747,S4TASE3ly,S2T3g
r2249,r0750,S4TASE4ly,S2T4g
r2250,r0752,S4TASE5ly,S2TASE1ly
r2251,r0753,S6T16g,S2TASE2ly
r2252,r0754,S6T17g,S2TASE3ly
r2253,r0755,S6T18g,S2TASE4ly
r2254,r0756,S6T19g,S2TASE5ly
r2255,r0757,S6T1g,S3T1g
r2256,5HOXINDACTOX,S6T20g,S3T2g
r2257,r0774,S6T21g,S3T3g
r2258,r0779,S6T22g,S3TASE1ly
r2259,LNS14DMr,S6T23g,S3TASE2ly
r2260,r0782,S6T25g,S3TASE3ly
r2261,r0783,S6T2g,S4T1g
r2262,r0786,S6T3g,S4T2g
r2263,SBPP1,S6TASE10ly,S4T3g
r2264,r0788,S6TASE11ly,S4T5g
r2265,r0789,S6TASE12ly,S4T6g
r2266,ACOAR2m,S6TASE13ly,S4TASE1ly
r2267,r0795,S6TASE14ly,S4TASE2ly
r2268,r0797,S6TASE15ly,S4TASE3ly
r2269,r0812,S6TASE16ly,S4TASE4ly
r2270,r0817,S6TASE17ly,S4TASE5ly
r2271,r0819,S6TASE18ly,S6T16g
r2272,SUCFUMtm,S6TASE19ly,S6T17g
r2273,r0822,S6TASE1ly,S6T18g
r2274,r0826,S6TASE20ly,S6T19g
r2275,r0829,S6TASE21ly,S6T1g
r2276,r0830,S6TASE22ly,S6T20g
r2277,r0834,S6TASE23ly,S6T21g
r2278,r0835,S6TASE24ly,S6T22g
r2279,r0836,S6TASE25ly,S6T23g
r2280,r0840,S6TASE26ly,S6T24g
r2281,r0845,S6TASE2ly,S6T25g
r2282,r0853,S6TASE3ly,S6T2g
r2283,r0860,S6TASE4ly,S6T3g
r2284,r0885,S6TASE5ly,S6TASE10ly
r2285,r0892,S6TASE6ly,S6TASE11ly
r2286,MALICITtm,S6TASE7ly,S6TASE13ly
r2287,r0915,S6TASE8ly,S6TASE14ly
r2288,CITtcm,S6TASE9ly,S6TASE15ly
r2289,r0926,SACCD3m,S6TASE16ly
r2290,r0942,SACCD4m,S6TASE17ly
r2291,r0950,SADT,S6TASE18ly
r2292,r0954,SALMCOM,S6TASE1ly
r2293,r0968,SALMCOM2,S6TASE20ly
r2294,r0973,SAMHISTA,S6TASE21ly
r2295,r0987,SARCOXp,S6TASE22ly
r2296,r0994,SARCStm,S6TASE23ly
r2297,r0995,SARCStp,S6TASE24ly
r2298,r0997,SARDHm,S6TASE25ly
r2299,r0998,SBPP1er,S6TASE26ly
r2300,r0999,SBPP3er,S6TASE2ly
r2301,r1000,SBTD_D2,S6TASE3ly
r2302,r1002,SBTR,S6TASE4ly
r2303,r1003,SCP21x,S6TASE5ly
r2304,r1005,SCP22x,S6TASE6ly
r2305,r1006,SCP2x_1,S6TASE7ly
r2306,r1007,SCPx,S6TASE8ly
r2307,r1008,Ser_Thrtg,S6TASE9ly
r2311,r1011,SERALANaEx,SACCD3m
r2315,r1012,SERASNNaEx,SACCD4m
r2316,r1013,SERCYSNaEx,SADT
r2317,r1018,SERDGLNexR,SALMCOM
r2318,r1019,SERDGLYexR,SALMCOM2
r2319,r1020,SERGLNexR,SAMHISTA
r2320,CHOLESTTDe,SERGLNNaEx,SARCOXp
r2321,r1078,SERGLYexR,SARCStp
r2322,CITt4_1,SERHL,SARDHm
r2323,r1116,SERLYSNaex,SBPP1er
r2324,r1134,SERPT,SBPP3er
r2325,r1135,SERt4,SBTD_D2
r2326,GLUt4,SERTHRNaEx,SBTR
r2327,r1146,SERtN1,SCP21x
r2329,AKGICITtm,SFGTHi,SCP22x
r2330,r1150,SGALSIDEtg,SCP2x_1
r2331,OBDHm,SGALSIDEtl,SCPx
r2332,DUTUP,SGPL12r,Ser_Thrtg
r2333,r1164,SIAASE2ly,SERALANaEx
r2334,r1165,SIAASE3ly,SERASNNaEx
r2335,r1166,SIAASE4ly,SERCYSNaEx
r2371,r1167,SIAASEly,SERDGLYexR
r2372,r1168,SIAT4Bg,SERGLNNaEx
AKGCITtm,r1169,SIAT9g,SERHL
r2374,r1170,SK_citr__L_c,SERLYSNaex
r2375,r1171,SK_pre_prot_r,SERPT
r2376,r1172,SLCBK1,SERt4
r2377,r1174,SLDt,SERTHRNaEx
r2378,r1175,SLDx,SERtN1
r2379,r1177,SMPD3g,SERtp
r2380,r1179,SMPD3l,SFGTHi
r2381,r1181,SMPD4,SGALSIDEtg
r2382,r1182,SMS,SGALSIDEtl
r2384,r1183,SO4CLtex2,SGPL12r
r2385,r1251,SO4HCOtex,SIAASE2ly
r2386,r1252,SO4OXAtex2,SIAASE3ly
r2387,r1253,SO4t4_2,SIAASE4ly
r2388,r1254,SO4tl,SIAASEly
r2389,r1255,SOAT12,SIAT4Bg
r2390,r1257,SPC_HSt,SIAT9g
r2391,r1259,SPH1Pte,SK_citr__L_c
r2392,r1260,SPH1Pter,SK_pre_prot_r
r2393,r1262,SPHGNtr,SLCBK1
r2394,r1292,SPHINGStl,SLDt
r2419,r1298,SPHINGStr,SLDx
r2425,r1318,SPHK21c,SMPD3g
CRNCARtm,r1377,SPHMYLNtg,SMPD3l
r2434,r1378,SPHMYLNtl,SMPD4
CARN160t_m,r1380,SPHS1Pte,SMS
CARN1819Zt_m,r1382_1,SPHS1Ptr,SO4CLtex2
r2437,r1383_1,SPODMe,SO4HCOtex
r2438,r1391,SPODMm,SO4OXAtex2
SERt2r,r1392,SPODMn,SO4t4_2
r2472,r1401,SPODMx,SO4tl
G6Pt6er,r1411,SPR,SOAT12
r2482,HCO3Ee,SPRMS,SPC_HSt
r2483,r1428,SQLEr,SPH1Pter
r2484,GLY3Pt,SQLSr,SPHGNtr
r2497,r1435,SR5AR2r,SPHINGStl
r2498,ACOAO5p,SR5ARr,SPHINGStr
r2499,r1444,ST3GAL21g,SPHK21c
r2501,ACOAO4p,ST3GAL22g,SPHMYLNtl
r2502,r1446,ST3GAL23g,SPHS1Ptr
r2503,r1447,ST3GAL31g,SPODMe
r2505,r1448,ST3GAL61g,SPODMm
r2509,r1449,ST3GAL62g,SPODMn
r2514,r1450,ST6GALNAC21,SPODMx
r2515,r1451,ST6GALNAC22,SPR
r2516,r1454,ST6GALNAC23,SPTix
r2517,PHEt2m,ST6GALNAC24,SQLEr
r2518,r1457,ST6GALNAC61,SQLSr
r2520,r1459,ST6GALNAC26,SR5AR2r
r2539,r1472,ST6GALNAC27,SR5ARr
FACOAE180,r1474,ST6GALNAC28,SRTNACT
RE0453M,r1477,ST6GALNAC31_1,SRTNt6_2_r
RE0453N,r1481,ST6GALNAC62,SRTNtu
RE0456N,r1487,ST8SIA11,ST3GAL21g
RE0512M,r1540,ST8SIA12,ST3GAL22g
RE0512X,r1544,ST8SIA51g,ST3GAL23g
RE0565C,r1546,ST8SIA52g,ST3GAL31g
RE0566C,r1547,ST8SIA53g,ST3GAL61g
RE0567C,r1548,ST8SIA54g,ST3GAL62g
RE0568C,r1549,ST8SIA55g,ST6GALNAC21
RE0569C,r1551,ST8SIA56g,ST6GALNAC22
RE0570C,r1552,STCOAtx,ST6GALNAC23
RE0571C,r1553,STRDNCCPT1,ST6GALNAC24
RE0574C,r1554,STRDNCCPT2,ST6GALNAC61
RE0575C,r1556,STRDNCCRNt,ST6GALNAC26
RE0576C_1,r1557,STRDNCt,ST6GALNAC27
RE0578C,r1559,STS1,ST6GALNAC28
RE0581C,r1560,STS2,ST6GALNAC31_1
RE0830C,r1561,SUCCtm,ST8SIA11
RE0915E,r1562,SUCCt4_2,ST8SIA12
RE0926E,r1563,SUCCtp,ST8SIA51g
RE0935E,r1564,SUCD1m,ST8SIA52g
RE0944E,r1565,SUCOAS1m,ST8SIA53g
RE0958C,r1566,SUCOASm,ST8SIA54g
RE0958E,r1567,SULFOX,ST8SIA55g
RE1441R_1,r1568,TAGAT_Dt,ST8SIA56g
RE1447M_1,r1569,TAURt4_2_r,STRDNCCPT1
RE1448R_1,r1570,TAURtcx,STRDNCCPT2
RE1516M,r1571,TCHOLAt,STRDNCCRNt
RE1516X,r1573,TCYNTt,STS1
RE1517M,r1574,TDP,STS1r
RE1517X,r1575,TETHEX3t,STS2
RE1518M,r1576,TETPENT3CPT1,STS2r
RE1518X,r1578,TETPENT3CPT2,SUCCtm
RE1519X,r1579,TETPENT3CRNt,SUCCt4_2
RE1520M,r1580,TETPENT3t,SUCCtp
RE1520X,r1581,TETPENT6COAtx,SUCD1m
RE1521M,r1583,TETPENT6CPT1,SUCOAS1m
RE1521X,r1584,TETPENT6CPT2,SUCOASm
RE1522M,r1585,TETPENT6CRNt,SUCRe
RE1522X,r1586,TETPENT6t,SULFOX
RE1523M,r1587,TETTET6CPT1,T4HCINNMFM
RE1523X,r1588,TETTET6CPT2,TAGAT_Dt
RE1525M,r1589,TETTET6CRNt,TAURt4_2_r
RE1525X,r1590,TETTET6t,TAURtcx
RE1526M,r1591,THBPT4ACAMDASE,TAXOLte
RE1526X,r1592,THD1m,TCHOLAt
RE1527M,r1593,THFt2_1,TCHOLAt2
RE1527X,r1594,THFtl,TCHOLAtx
RE1530M,r1595,THFtm,TCYNTt
RE1531M,r1596,THMMPt4_1,TCYNTtm
RE1531X,r1597,THMP,TDCHOLAtx
RE1532M,r1598,THMTP,TETPENT3CPT1
RE1532X,r1599,THMTPt_1,TETPENT3CPT2
RE1533M,r1600,THP2Ctp,TETPENT3CRNt
RE1533X,r1602,THRALANaEx,TETPENT3t
RE1534M,r1603,THRASNNaEx,TETPENT6COAtx
RE1534X,r1604,THRCYSNaEx,TETPENT6CPT1
RE1573M,r1605,THRGLNexR,TETPENT6CPT2
RE1573X,r1606,THRGLNNaEx,TETPENT6CRNt
CYANSTm,r1607,THRGLYexR,TETTET6CPT1
RE1711C,r1608,THRSERNaEx,TETTET6CPT2
RE1834C,r1609,THRt4,TETTET6CRNt
RE1834X,r1610,THYMDt1,TETTET6t
RE1835C,r1611,THYMDtl,THBPT4ACAMDASE
SCP3x,r1612,THYMDtm,THCHOLSTOICtm
RE1903R,r1613,THYMt,THD1m
RE1916C,r1614,THYOXt,THFt2_1
RE1957R_1,r1615,THYOXt2,THFtl
RE2069C,r1616,TMABADH,THMDt4
RE2080C,r1617,TMDK1m,THMMPt4_1
RE2122C,TYRPHELAT2tc,TMDPP,THMP
RE2296C,CYSPHELAT2tc,TMDPPK,THMTP
RE2346C,LEUPHELAT2tc,TMLYSOX,THMTPt_1
RE2562C,r1621,TMNDNCCPT1,THP2Ctp
RE2624M,ASNPHELAT2tc,TMNDNCCPT2,THRALANaEx
RE2624X,VALPHELAT2tc,TMNDNCCRNt,THRASNNaEx
RE2625C,THRPHELAT2tc,TMNDNCt,THRCYSNaEx
RE2626M,r1625,TRDR,THRGLNNaEx
RE2640C,ILEPHELAT2tc,TRDR2,THRSERNaEx
RE2649C,r1627,TRDR3,THRt4
RE2649M,r1628,TRIODTHYSULT,THYMDt1
B3GNT38g,r1629,TRIODTHYt,THYMDtl
RE2677G_1,r1630,TRIODTHYt2,THYMDtm
RE2677R_1,r1631,TRIOK,THYMt
RE2717L,r1632,TRPHYDRO2,THYOXt
RE2759X,r1633,TRPO2,THYOXt2
RE2912M,r1634,TRYPTAOX,THYPX
RE2972M_1,r1635,TSTSTERONEGLCte,TMABADH
RE2985M,r1636,TSTSTERONEGLCtr,TMDPP
RE2985X,r1637,TSTSTERONESte,TMLYSOX
RE2986X,r1638,TSTSTERONESULT,TMNDNCCPT1
RE2987X,r1639,TSTSTERONEt,TMNDNCCPT2
RE2988X,r1640,TSTSTERONEtr,TMNDNCCRNt
RE2989X,r1641,TSULt4_3,TOLBUTAMIDEte
RE2990X,r1642,TTDCAtr,TRDR
RE2991X,r1643,TTDCPT2,TREH
RE2992M,VALLAT1tc,TTDCRNt,TREHe
RE2992X,r1645,TXA2te,TRIODTHYSULT
RE2993X,r1646,TXA2tr,TRIODTHYt
RE2994X,ILELAT1tc,TXASr,TRIODTHYt2
RE2996X,r1648,TYMSFt,TRPHYDRO2
RE2997X,r1649,TYMSULT,TRPO2
RE2998M,r1650,TYR3MO2,TRPt4
RE2999M,r1651,TYRCBOX,TRYPTAOX
RE3000M,r1652,TYRDOPO,TSTSTERONEGLCte
RE3001M,r1653,TYRDOPO3,TSTSTERONEGLCtr
RE3002X,r1654,TYROXDAc,TSTSTERONESte
RE3003M,r1655,TYRt,TSTSTERONESULT
RE3004M,r1656,TYRTAim,TSULt4_3
RE3005M,r1657,UAG2EMA,TTDCAtr
RE3006M,r1658,UAGALDP,TTDCPT2
RE3010C,r1659,UDPACGALtl,TTDCRNt
RE3010M,r1660,UDPDOLPT_L,TXASr
