mets,mets_name,genes,rxns,subsystems
glygn4[e],"Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",107652,DATPtn,"Transport, nuclear"
gal[e],D-Galactose,107723,OMPDC,Pyrimidine synthesis
lcts[e],Lactose,107747,HMR_7758,"Transport, mitochondrial"
M00234[e],"1,2-Diacylglycerol-Chylomicron-Pool",107766,r0221_1,Miscellaneous
M01807[e],Fatty-Acid-Chylomicron-Pool,107823,HMR_3625,Cholesterol metabolism
M00503[e],Monoacylglycerol-Chylomicron-Pool,107869,HMR_1242,"Transport, peroxisomal"
nad[c],Nicotinamide Adenine Dinucleotide,107885,HMR_0271,Fatty acid synthesis
nadh[c],Nicotinamide Adenine Dinucleotide - Reduced,107895,C226CPT1,Fatty acid oxidation
xoltetrol[c],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha,26-Tetrol",108037,r1664,"Transport, extracellular"
CE4872[c],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-27-Al",108052,CPK1,Nucleotide interconversion
phyt[e],Phytanate,108083,SPTc,"Glycine, serine, alanine, and threonine metabolism"
phyt[c],Phytanate,108096,HMR_2700,"Transport, mitochondrial"
co2[c],Carbon Dioxide,108105,LYStn,"Transport, nuclear"
his__L[c],L-Histidine,108114,MI4PP,Inositol phosphate metabolism
hista[c],Histamine,108115,LDH_L,Glycolysis/gluconeogenesis
glu__L[e],L-Glutamate,108116,HMR_8580,Starch and sucrose metabolism
5dhf[e],Pentaglutamyl Folate (Dhf),108147,PCHOLSTE_HSABCt,"Transport, extracellular"
dhf[e],"7,8-Dihydrofolate",108148,HMR_0298,Fatty acid oxidation
zymstnl[r],Cholesta-8(9)-En-3Beta-Ol,108150,G5SDym,Urea cycle
lthstrl[r],5Alpha-Cholest-7-En-3Beta-Ol,108155,ACACT1r,Tryptophan metabolism
cdpdag_hs[m],Cytidine-5-Diphosphate-Diacylglycerol,108156,HEXA2l,Sphingolipid metabolism
cmp[m],Cytidine 5-Monophosphate,108645,PEDH14_HSPLA2,Glycerophospholipid metabolism
pglyc_hs[m],Phosphatidylglycerol,108664,MI14PP,Inositol phosphate metabolism
clpn_hs[m],Cardiolipin,108682,ADNtm,"Transport, mitochondrial"
ppa[c],Propionate,108841,r0358,Fructose and mannose metabolism
ppcoa[c],Propanoyl Coenzyme A,108902,LNLNCGCPT1,Fatty acid oxidation
Rtotal2[c],R Total 2 Position,109264,HMR_2757,"Transport, mitochondrial"
pchol_hs[c],Phosphatidylcholine,109342,SPHMYLN18115_hs_ATPt,"Transport, extracellular"
pcholpalme_hs[c],1-Palmitoleoylglycerophosphocholine (Delta 9),109652,CRVSM23hr,Drug metabolism
na1[e],Sodium,109674,ACONT,Citric acid cycle
na1[c],Sodium,109685,CVM23GLUChc,Drug metabolism
ser__L[c],L-Serine,109731,KHK,Fructose and mannose metabolism
ser__L[e],L-Serine,109754,r0441,Fatty acid oxidation
ile__L[e],L-Isoleucine,109778,ESTRONESt,"Transport, extracellular"
ile__L[c],L-Isoleucine,109785,RE3247X,Fatty acid oxidation
h2o[l],Water,109801,PCHOLN183_HSABCt,"Transport, extracellular"
gal[l],D-Galactose,109857,HMR_2985,Fatty acid synthesis
gln__L[c],L-Glutamine,109900,HMR_3716,Cholesterol metabolism
gln__L[e],L-Glutamine,109959,EX_cyan_e,Exchange/demand reaction
tyr__L[c],L-Tyrosine,110006,HMR_0188,Fatty acid synthesis
tyr__L[e],L-Tyrosine,110074,HPYRDCm,Glyoxylate and dicarboxylate metabolism
fvs[e],fluvastatin,110078,DEOXFVShc,Drug metabolism
pmtcrn[c],L-Palmitoylcarnitine,110095,IMPC,Purine synthesis
pmtcrn[m],L-Palmitoylcarnitine,110119,HPDECECOAm,Fatty acid oxidation
acgam[c],N-Acetyl-D-Glucosamine,110147,PCHOLOLE_HSPLA2,Glycerophospholipid metabolism
acgam[l],N-Acetyl-D-Glucosamine,110173,3HCO3_NAt,"Transport, extracellular"
nadph[m],Nicotinamide Adenine Dinucleotide Phosphate - Reduced,110175,PHPYRte,"Transport, extracellular"
h2o[m],Water,110196,RE1522M,Fatty acid oxidation
nadp[m],Nicotinamide Adenine Dinucleotide Phosphate,110197,EX_M00234_e,Exchange/demand reaction
akg[m],2-Oxoglutarate,110198,HMR_2705,Fatty acid oxidation
glu__L[m],L-Glutamate,110208,APNPT,CoA synthesis
nh4[m],Ammonium,110323,CERT1rt,"Transport, endoplasmic reticular"
c4dc[x],Succinyl Carnitine,110385,AKGDm,Citric acid cycle
c4dc[c],Succinyl Carnitine,110391,PGESc,Eicosanoid metabolism
focytb5[c],Ferrocytochrome b5,110446,PCHOL2STE_HSPLA2,Glycerophospholipid metabolism
ficytb5[c],Ferricytochrome b5,110460,SMPD3g,Sphingolipid metabolism
aracheth[e],O-Arachidonoyl Ethanolamine,110524,RE3228C,Fatty acid synthesis
atp[r],Adenosine Triphosphate,110611,TRYPTAOX,Tryptophan metabolism
amp[r],Adenosine Monophosphate,110639,RE2649M,Bile acid synthesis
ppi[r],Diphosphate,110695,EX_7thf_e,Exchange/demand reaction
coa[r],Coenzyme A,110826,GLNS,Glutamate metabolism
lneldc[r],Linoelaidic Acid (All Trans C18:2),110842,r1967,"Transport, extracellular"
lneldccoa[r],"(6Z,9Z)-Octadecadienoyl Coenzyme A",110855,PA_HStn,"Transport, nuclear"
glu__L[c],L-Glutamate,110877,HMR_2215,Fatty acid synthesis
4abut[c],4-Aminobutanoate,110891,GGH_6DHFe,Folate metabolism
chsterol[e],Cholesterol,110893,HPDECEm,Fatty acid oxidation
pchol_hs[e],Phosphatidylcholine,110895,r0750,Bile acid synthesis
xolest2_hs[e],Cholesterol Ester,110911,EX_biocyt_e,Exchange/demand reaction
pcholste_hs[e],1-Stearoylglycerophosphocholine,110935,ADMDC,Arginine and proline metabolism
dd2coa[m],Trans-Dodec-2-Enoyl Coenzyme A,110948,HMR_0290,Fatty acid oxidation
ddcacoa[m],Lauroyl Coenzyme A,111175,LCAT10e,Cholesterol metabolism
CE4854[c],"10Z,13Z,16Z,19Z-Docosatetraenoyl Coenzyme A",11303,HMR_2621,"Transport, mitochondrial"
M00260[c],"10Z,13Z,16Z,19Z-Docosatetraenoic Acid",11363,HMR_2989,Fatty acid synthesis
chsterol[l],Cholesterol,11364,GUACYC,Nucleotide interconversion
chsterol[m],Cholesterol,11370,PEAR_HSABCt,"Transport, extracellular"
c226coa[m],Cervonyl Coenzyme A,11409,MDRPD,Arginine and proline metabolism
mlthf[c],"5,10-Methylenetetrahydrofolate",114143,GK1,Nucleotide interconversion
methf[c],"5,10-Methenyltetrahydrofolate",11416,PROAKGOX1,Arginine and proline metabolism
octd11ecoa[c],11-Octadecenoyl Coenzyme A,11423,HMR_8476,"Transport, nuclear"
vacc[e],Vaccenic Acid,11428,RE3120C,Fatty acid oxidation
chsterol[c],Cholesterol,11429,PGL,Pentose phosphate pathway
lpchol_hs[c],1-Acyl-Sn-Glycero-3-Phosphocholine,11430,r2502,"Transport, peroxisomal"
xolest2_hs[c],Cholesterol Ester,114304,DM_pcreat_c,Exchange/demand reaction
CE4812[c],"Eicosa-2E,8Z,11Z,14Z,17Z-Pentaenoyl Coenzyme A",11431,GASNASE2ly,N-glycan degradation
CE4810[c],"3(S)-Hydroxy-All-Cis-8,11,14,17-Eicosatetraenoyl Coenzyme A",11432,EX_didecaeth_e,Exchange/demand reaction
crn[c],L-Carnitine,11433,HMR_3670,Cholesterol metabolism
crn[m],L-Carnitine,114479,RE3241C,Fatty acid synthesis
lneldccrn[c],"6Z,9Z-Octadecadienoylcarnitine",114644,RE2999M,Fatty acid oxidation
lneldccrn[m],"6Z,9Z-Octadecadienoylcarnitine",114663,PNTK,CoA synthesis
od2coa[c],(2E)-Octadecenoyl Coenzyme A,114664,XOLEST183CEH,Cholesterol metabolism
CE2248[c],3-Hydroxyoctadecanoyl Coenzyme A,11486,ACER31r,Sphingolipid metabolism
pyr[m],Pyruvate,114863,HMR_0814,Glycosphingolipid metabolism
lac__L[m],(S)-Lactate,114875,RE3178M,Fatty acid oxidation
ppmi12346p[c],5-Diphosphoinositol Pentakisphosphate,11512,r2225,"Transport, extracellular"
ppmi12346p[n],5-Diphosphoinositol Pentakisphosphate,11513,PHYHx,Fatty acid oxidation
n4abutn[c],4-Acetamidobutanal,11514,GARFT,Purine synthesis
4aabutn[c],4-Acetamidobutanoate,11515,r2093,"Transport, extracellular"
datp[n],Deoxyadenosine Triphosphate,11522,HMR_8579,Starch and sucrose metabolism
dadp[n],Deoxyadenosine Diphosphate,11529,THYOXt2,"Transport, extracellular"
udp[n],Uridine Diphosphate,11532,GGH_10FTHF5GLUl,Folate metabolism
ump[n],Uridine-5-Monophosphate,11534,GLYOXm,Pyruvate metabolism
crn[r],L-Carnitine,11564,ACNAMlt,"Transport, lysosomal"
lnlncgcrn[c],Gamma-Linolenoylcarnitine,11565,RE3168C,Fatty acid oxidation
lnlncgcrn[r],Gamma-Linolenoylcarnitine,11566,PPM,Pentose phosphate pathway
sphmyln1824_hs[e],"Sm (D18:0/24:0), Sphingomyelin",11593,PCHOLMYR_HsABCt,"Transport, extracellular"
dag_hs[n],Diglyceride,11605,PI3P4K,Inositol phosphate metabolism
crm_hs[n],N-Acylsphingosine,11611,HMR_3651,Cholesterol metabolism
pchol_hs[n],Phosphatidylcholine,11628,EX_hepdeceth_e,Exchange/demand reaction
sphmyln_hs[n],Sphingomyelin,11636,HMR_2263,Fatty acid synthesis
acnam[c],N-Acetylneuraminate,11637,LCAT16e,Cholesterol metabolism
ctp[c],Cytidine-5-Triphosphate,11639,r1150,"Transport, lysosomal"
cmpacna[c],Cytidine-5-Monophosphate-N-Acetyl-Beta-Neuraminate,11647,NDPK3m,Nucleotide interconversion
ac[c],Acetate,11648,FAOXC164C165x,Fatty acid oxidation
ac[e],Acetate,11655,HMR_2264,Fatty acid synthesis
but[c],Butyrate,11656,HMR_3627,Cholesterol metabolism
but[e],Butyrate,11666,PCHOLN1836_HSABCt,"Transport, extracellular"
o2[c],Oxygen,11668,RE3169C,Fatty acid oxidation
nadph[c],Nicotinamide Adenine Dinucleotide Phosphate - Reduced,11669,BUTt,"Transport, extracellular"
nadp[c],Nicotinamide Adenine Dinucleotide Phosphate,11670,HSD3A2r,Steroid metabolism
biliverd[c],Biliverdin,11671,NAt5,"Transport, extracellular"
co[c],Carbon Monoxide,11674,HMR_3205,Fatty acid oxidation
fe2[c],Iron (Fe2+),11676,PGDI,Eicosanoid metabolism
pheme[c],Protoheme,11677,GALASE18ly,Keratan sulfate degradation
chol[c],Choline,11684,EX_strch1_e,Exchange/demand reaction
HC02050[c],Phosphatidate-Ld-Pc-Pool,11687,R01115,Aminosugar metabolism
ksii_core4_deg2[l],"Keratan Sulfate Ii (Core 4-Linked), Degradation Product 2",11688,HMR_8570,Starch and sucrose metabolism
