mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
gam[c],fucacngal14acglcgalgluside_hs[g],paf_hs_e,estradiol[c]
gd3_hs[c],fucacngalacglcgalgluside_hs[c],pchol_hs_e,estradiol[r]
gt3_hs[c],fucacngalacglcgalgluside_hs[g],pe_hs_e,estriolglc[c]
oagt3_hs[c],ksi[l],peplys_e,estriolglc[e]
gar[c],fuc_[l][l],pglyc_hs_e,estriolglc[r]
fgam[c],ksi_deg1[l],phyt_e,estriol[r]
n2m2nmasn[l],s2l2fn2m2masn[l],prgstrn_e,estroneglc[c]
glc__D[c],s2l2n2m2masn[l],prostgd2_e,estroneglc[e]
gluside_hs[l],fucfuc12gal14acglcgalgluside_hs[c],prostge1_e,estroneglc[r]
glc__D[l],fucfuc12gal14acglcgalgluside_hs[g],prostge2_e,estrones[e]
gbside_hs[c],fucfuc132galacglcgal14acglcgalgluside_hs[c],prostgf2_e,estrones[c]
gbside_hs[l],fucfuc132galacglcgal14acglcgalgluside_hs[g],ps_hs_e,estrone[r]
gcald[m],fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[c],ptdca_e,estrone[c]
glyclt[m],fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[g],retinol_e,etfox[m]
lpam[m],fucfucfucgalacglcgal14acglcgalgluside_hs[c],retn_e,etfrd[m]
dhlam[m],fucfucfucgalacglcgal14acglcgalgluside_hs[g],retnglc_e,etha[c]
mlthf[m],fucgal14acglcgalgluside_hs[c],Rtotal_e,ethamp[c]
gchola[c],fucgal14acglcgalgluside_hs[g],Rtotal2_e,10fthf[e]
gd1c_hs[c],4fumacac[c],s2l2fn2m2masn_e,10fthf5glu[e]
gd1c_hs[g],fum[m],s2l2n2m2masn_e,10fthf6glu[e]
gmp[g],so4[m],sl__L_e,10fthf7glu[e]
gmp[c],so4[c],spc_hs_e,11_cis_retfa[e]
gdpddman[c],tsul[m],sph1p_e,13_cis_retnglc[e]
glu_[l][l],tsul[c],sphs1p_e,1glyc_hs[e]
thf[l],gdpfuc[g],srtn_e,35cgmp[e]
5oxpro[c],gdp[g],strdnc_e,3aib[e]
Tyr[g]gn[c],acngalacglcgalgluside_hs[g],tag__D_e,4hphac[e]
udpg[c],fucgalacglc13galacglcgal14acglcgalgluside_hs[g],tchola_e,5dhf[e]
ggn[c],fucfucgalacglc13galacglcgal14acglcgalgluside_hs[g],tcynt_e,5thf[e]
ttc[g]gdp[c],acngal14acglcgalgluside_hs[g],tethex3_e,6dhf[e]
leuktrE4[c],fucfucgalacglcgal14acglcgalgluside_hs[g],tetpent3_e,6thf[e]
leuktrF4[c],fuc132galacglcgal14acglcgalgluside_hs[g],tetpent6_e,7dhf[e]
ser_[l][m],ksii[c]ore4_pre1[g],tettet6_e,7thf[e]
3htmelys[c],ksii[c]ore4_pre6[g],thf_e,9_cis_retfa[e]
4tmeabut[c],ksii[c]ore4_pre9[g],thmmp_e,adprbp[e]
glac[c],ksii[c]ore4_pre10[g],thmtp_e,ak2lgchol_hs[e]
glcr[c],ksii[c]ore2_pre1[g],thym_e,aprgstrn[e]
glac[r],ksii[c]ore2_pre6[g],thyox__L_e,avite1[e]
glygn1[c],ksii[c]ore2_pre9[g],tmndnc_e,camp[e]
glygn2[c],ksii[c]ore2_pre10[g],triodthy_e,chsterol[e]
hs_deg9[l],glyc3p[c],tststerone_e,cmp[e]
glcur[l],glu5sa[m],tststeroneglc_e,dhf[e]
hs_deg10[l],1pyr5c[m],tststerones_e,digalsgalside_hs[e]
cs_a_deg2[l],glu5p[m],tsul_e,fuc13galacglcgal14acglcgalgluside_hs[e]
cs_a_deg3[l],6pgl[r],ttdca_e,fuc14galacglcgalgluside_hs[e]
cs[c]_deg2[l],g6p[c],txa2_e,fucacgalfucgalacglcgalgluside_hs[e]
cs[c]_deg3[l],gudac[c],tymsf_e,fucacngal14acglcgalgluside_hs[e]
cs_d_deg3[l],gacpail_hs[c],udp_e,fucacngalacglcgalgluside_hs[e]
cs_d_deg4[l],gacpail_hs[r],ump_e,fucfuc12gal14acglcgalgluside_hs[e]
cs[e]_deg3[l],galside_hs[g],urate_e,fucfuc132galacglcgal14acglcgalgluside_hs[e]
cs[e]_deg4[l],paps[g],utp_e,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e]
ha[l],pap[g],vacc_e,fucfucfucgalacglcgal14acglcgalgluside_hs[e]
ha_deg1[l],sgalside_hs[g],whhdca_e,fucfucgalacglcgalgluside_hs[e]
ha_pre1[l],ksi_deg26[l],whtststerone_e,fucgal14acglcgalgluside_hs[e]
cs_b_pre4[g],gal[l],xolest_hs_e,fucgalfucgalacglcgalgluside_hs[e]
hs_pre10[g],ksi_deg27[l],xolest2_hs_e,fucgalgbside_hs[e]
hs_pre11[g],ksi_deg29[l],xoltri24_e,fuc__L[e]
cs_a_b[e]_pre1[g],ksi_deg30[l],xoltri25_e,galacglcgalgbside_hs[e]
udpglcur[g],ksi_deg32[l],xoltri27_e,galfuc12gal14acglcgalgluside_hs[e]
cs[c]_d[e]_pre1[g],ksi_deg33[l],f1a_g,galfucgalacglcgal14acglcgalgluside_hs[e]
cs_d_pre2[g],ksi_deg35[l],f1a_l,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e]
cs[e]_pre2[g],ksi_deg36[l],fuc1p__L_c,galgalgalthcrm_hs[e]
hs_pre1[g],ksi_deg38[l],gdpfuc_c,gbside_hs[e]
hs_pre2[g],ksi_deg39[l],ttdca_c,gchola[e]
hs_pre3[g],ksi_deg40[l],tdcoa_c,gd1b2_hs[e]
hs_pre4[g],ksi_deg41[l],ptdca_c,gd1c_hs[e]
hs_pre5[g],ksii[c]ore2_deg2[l],ptdcacoa_c,gdp[e]
hs_pre6[g],ksii[c]ore2_deg3[l],hdca_c,gluala[e]
hs_pre7[g],ksii[c]ore2_deg5[l],hpdca_c,glyc__S[e]
hs_pre8[g],ksii[c]ore2_deg6[l],hpdcacoa_c,glygn5[e]
hs_deg3[l],ksii[c]ore2_deg8[l],ocdca_c,gmp[e]
hs_deg4[l],ksii[c]ore2_deg9[l],vacc_c,gp1c_hs[e]
hs_deg8[l],core6[l],ocdcea_c,gp1calpha_hs[e]
hs_deg14[l],l2n2m2mn[l],lnlc_c,gq1b_hs[e]
hs_deg15[l],ksii[c]ore4_deg2[l],lneldc_c,gq1balpha_hs[e]
hs_deg20[l],ksii[c]ore4_deg3[l],lnlncg_c,gsn[e]
hs_deg21[l],ksi_deg5[l],lnlnca_c,gt1a_hs[e]
hs_deg24[l],ksi_deg6[l],strdnc_c,gthox[e]
hs_deg25[l],ksi_deg8[l],pristcoa_c,gthrd[e]
hs_pre9[g],ksi_deg9[l],tmndnc_c,gtp[e]
glc__D[g],ksi_deg11[l],phyt_c,h2o2[e]
glcur[c],ksi_deg12[l],phytcoa_c,ha[e]
glcur[r],ksi_deg14[l],lgnc_c,ha_pre1[e]
dxtrn[c],ksi_deg15[l],ttccoa_c,hcoumarin[e]
glygn3[c],ksi_deg17[l],nrvnc_c,hdca[e]
gln_[l][m],ksi_deg18[l],nrvnccoa_c,hdcea[e]
g1p[c],ksi_deg20[l],tettet6_c,hestratriol[e]
glucys[c],ksi_deg21[l],tettet6coa_c,hexc[e]
glx[c],ksi_deg23[l],tetpent6_c,hista[e]
glyc3p[m],ksi_deg24[l],tetpent6coa_c,hom__L[e]
glyc__R[c],galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[c],tetpent3_c,hpdca[e]
2pg[c],galgluside_hs[l],tethex3_c,hspg[e]
glyclt[c],gm3_hs[g],hexc_c,htaxol[e]
glyc__S[c],gd3_hs[g],hexccoa_c,idp[e]
lgt__S[m],gt3_hs[g],octa_c,imp[e]
gthrd[m],cs_hs[l]inkage[g],occoa_c,inost[e]
gmp[n],cs_pre[g],malcoa_c,ksi[e]
6pgc[r],cs_a_b_pre2[g],ddca_c,ksi_deg1[e]
ru5p__D[r],cs_a_b_pre3[g],whhdca_c,ksii_core2[e]
sarcs[c],cs[c]_pre2[g],fald_c,ksii_core4[e]
gp1calpha_hs[c],cs[c]_pre3[g],Sfglutth_c,leuktrA4[e]
gp1calpha_hs[g],cs_d_pre3[g],tdcoa_m,leuktrB4[e]
em2emgacpail_prot_hs[r],cs_d_pre4[g],ptdcacoa_m,leuktrC4[e]
hdca[r],cs[e]_pre3[g],occoa_m,leuktrD4[e]
gpi_prot_hs[r],cs[e]_pre4[g],hpdcacoa_m,leuktrE4[e]
mgacpail_hs[r],Ser_Thr[g],stcoa_x,leuktrF4[e]
gq1b_hs[c],gal[c],octd11ecoa_m,lgnc[e]
gq1b_hs[g],galside_hs[c],lnlccoa_m,limnen[e]
gsn[c],gal[e],lneldccoa_m,lipoate[e]
gsn[l],lxser[g],lnlncacoa_m,lneldc[e]
gt1a_hs[c],l2xser[g],lnlncgcoa_m,lnlc[e]
gt1a_hs[g],xser[g],lnlncgcoa_x,lnlnca[e]
gthox[m],gam[e],strdnccoa_m,lnlncg[e]
gua[c],gam[c],strdnccoa_x,lpchol_hs[e]
xan[c],gd3_hs[c],tmndnccoa_m,mag_hs[e]
pe_hs[r],oagd3_hs[c],tmndnccoa_x,meoh[e]
m2gacpail_hs[r],oagd3_hs[g],nrvnccoa_x,mercplaccys[e]
m3gacpail_hs[r],gt3_hs[c],odecoa_x,mthgxl[e]
em3gacpail_hs[r],oagt3_hs[c],tetpent6coa_x,n2m2nmasn[e]
emem2gacpail_hs[r],oagt3_hs[g],hexccoa_x,nad[e]
em2emgacpail_hs[r],gar[c],dcacoa_c,nadp[e]
gpi_hs[r],fgam[c],ddcacoa_c,ncam[e]
pre_prot[r],n2m2nmasn[l],xu1p__D_c,nifedipine[e]
uacgam[c],glc__D[c],dhap_c,no[e]
udpglcur[c],gluside_hs[l],gcald_c,npthl[e]
hdcea[c],glc__D[l],tag1p__D_c,nrpphr[e]
man[c],gbside_hs[c],glyald_c,nrpphrsf[e]
4mlacac[c],gbside_hs[l],f26bp_c,nrvnc[e]
his_[l][c],gcald[m],f6p_c,o2s[e]
hista[c],glyclt[m],fe2_m,oagd3_hs[e]
his_[l][e],lpam[m],ppp9_m,oagt3_hs[e]
hmgcoa[c],alpam[m],pheme_m,ocdca[e]
aacoa[c],dhlam[m],forcoa_c,ocdcea[e]
hmgcoa[m],mlthf[m],fe2_e,octa[e]
hmgcoa[x],lpro[m],fe2_c,omeprazole[e]
hom_[l][c],alpro[m],fe3_e,onpthl[e]
pheme[c],dhlpro[m],fuc__L_c,paf_hs[e]
phyt2ohcoa[x],gd1c_hs[c],Lfmkynr_c,pchol_hs[e]
pristanal[x],gd1c_hs[g],Lkynr_c,pe_hs[e]
hpdcacrn[c],gmp[g],fol_c,peplys[e]
hpdcacrn[m],gmp[c],fol_e,perillyl[e]
hpyr[c],gdpddman[c],forcoa_x,pglyc_hs[e]
hpyr[m],glu_[l][l],for_m,pheacgln[e]
hs_deg1[l],thf[l],for_r,phllqne[e]
hs_deg2[l],5oxpro[c],5dhf_m,phyt[e]
hs_deg6[l],Tyr[g]gn[c],thf_m,prgstrn[e]
hs_deg7[l],udpg[c],frdp_x,prostgd2[e]
hs_deg12[l],ggn[c],frdp_r,prostge1[e]
hs_deg13[l],ttc[g]gdp[c],fru_e,prostge2[e]
hs_deg18[l],leuktrC4[r],fru_c,prostgf2[e]
hs_deg19[l],glu_[l][r],thf_c,ps_hs[e]
andrstndn[r],leuktrD4[r],fuc13galacglcgal14acglcgalgluside_hs_c,ptdca[e]
tststerone[r],ser_[l][m],fuc13galacglcgal14acglcgalgluside_hs_g,rbt[e]
nadph[x],3htmelys[c],fuc14galacglcgalgluside_hs_c,retfa[e]
nadp[x],4tmeabut[c],fuc14galacglcgalgluside_hs_g,retinol[e]
cholcoaone[x],glac[c],fucacngal14acglcgalgluside_hs_c,retinol_9_cis[e]
andrstandn[r],glcr[c],fucacngal14acglcgalgluside_hs_g,retinol_cis_11[e]
prgnlone[c],glac[r],fucacngalacglcgalgluside_hs_c,retn[e]
prgnlone[r],glygn1[c],fucacngalacglcgalgluside_hs_g,retnglc[e]
17ahprgnlone[r],glygn2[c],ksi_l,Rtotal[e]
xol7aone[r],hs_deg9[l],fuc__L_l,Rtotal2[e]
hspg[l],glcur[l],ksi_deg1_l,Rtotal3[e]
hs[l],hs_deg10[l],s2l2fn2m2masn_l,s2l2fn2m2masn[e]
hspg[g],cs_a_deg2[l],s2l2n2m2masn_l,s2l2n2m2masn[e]
hxan[c],cs_a_deg3[l],fucfuc12gal14acglcgalgluside_hs_c,sarcs[e]
taur[c],cs[c]_deg2[l],fucfuc12gal14acglcgalgluside_hs_g,sl__L[e]
icit[c],cs[c]_deg3[l],fucfuc132galacglcgal14acglcgalgluside_hs_c,spc_hs[e]
icit[x],cs_d_deg3[l],fucfuc132galacglcgal14acglcgalgluside_hs_g,sph1p[e]
triodthy[c],cs_d_deg4[l],fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_c,sphs1p[e]
thyox_[l][c],cs[e]_deg3[l],fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_g,srtn[e]
tyr_[l][c],cs[e]_deg4[l],fucfucfucgalacglcgal14acglcgalgluside_hs_c,strdnc[e]
hs_deg5[l],ha[l],fucfucfucgalacglcgal14acglcgalgluside_hs_g,tag_hs[e]
idour[l],ha_deg1[l],fucgal14acglcgalgluside_hs_c,tag__D[e]
hs_deg16[l],ha_pre1[l],fucgal14acglcgalgluside_hs_g,taxol[e]
hs_deg17[l],cs_b_pre4[g],fucgalfucgalacglcgalgluside_hs_c,tchola[e]
hs_deg22[l],hs_pre10[g],fucgalgbside_hs_c,tcynt[e]
hs_deg23[l],hs_pre11[g],fucgalgbside_hs_g,tdchola[e]
cs_b_deg3[l],cs_a_b[e]_pre1[g],4fumacac_c,tethex3[e]
idour[c],udpglcur[g],fum_m,tetpent3[e]
ile_[l][e],cs[c]_d[e]_pre1[g],so4_m,tetpent6[e]
ile_[l][c],cs_d_pre2[g],so4_c,tettet6[e]
f1p[c],cs[e]_pre2[g],tsul_m,thf[e]
xylu__D[c],hs_pre1[g],tsul_c,thmmp[e]
ksii[c]ore2[g],hs_pre2[g],gdpfuc_g,thmtp[e]
ksii[c]ore2[l],hs_pre3[g],gdp_g,thym[e]
ksii[c]ore4[g],hs_pre4[g],acngalacglcgalgluside_hs_g,thyox__L[e]
ksii[c]ore4[l],hs_pre5[g],fucgalacglc13galacglcgal14acglcgalgluside_hs_g,tmndnc[e]
lcts[e],hs_pre6[g],fucfucgalacglc13galacglcgal14acglcgalgluside_hs_g,tolbutamide[e]
lgt__S[c],hs_pre7[g],acngal14acglcgalgluside_hs_g,triodthy[e]
pi[l],hs_pre8[g],fucfucgalacglcgal14acglcgalgluside_hs_g,triodthysuf[e]
lald_[l][m],hs_deg3[l],fuc132galacglcgal14acglcgalgluside_hs_g,tststerone[e]
lac_[l][m],hs_deg4[l],ksii_core4_pre1_g,tststeroneglc[e]
lcts[g],hs_deg8[l],ksii_core4_pre6_g,tststerones[e]
leuktrB4[c],hs_deg14[l],ksii_core4_pre9_g,tsul[e]
leuktrC4[c],hs_deg15[l],ksii_core4_pre10_g,ttdca[e]
leuktrD4[c],hs_deg20[l],ksii_core2_pre1_g,txa2[e]
leu_[l][e],hs_deg21[l],ksii_core2_pre6_g,tymsf[e]
leu_[l][c],hs_deg24[l],ksii_core2_pre9_g,Tyr_ggn[e]
xyl__D[l],hs_deg25[l],ksii_core2_pre10_g,udp[e]
cs_a_deg5[l],hs_pre9[g],glyc3p_c,ump[e]
cs[c]_deg5[l],glc__D[g],glu5sa_m,urate[e]
cs[e]_deg7[l],glcur[c],1pyr5c_m,utp[e]
lipoate[c],glcur[r],glu5p_m,vacc[e]
ficytC[m],dxtrn[c],6pgl_r,vitd3[e]
lac_[l][c],glygn3[c],g6p_c,whddca[e]
focytC[m],gln_[l][m],gudac_c,whhdca[e]
lneldccrn[c],g1p[c],gacpail_hs_c,whtststerone[e]
lneldccrn[m],glucys[c],gacpail_hs_r,whttdca[e]
lnlccrn[c],glx[c],galside_hs_g,xolest_hs[e]
lnlccrn[m],glyc3p[m],paps_g,xolest2_hs[e]
lnlncacrn[c],glyc__R[c],pap_g,xoltri24[e]
lnlncacrn[m],2pg[c],sgalside_hs_g,xoltri25[e]
lnlncgcrn[c],glyclt[c],ksi_deg26_l,xoltri27[e]
lnlncgcrn[m],glyc__S[c],gal_l,xylt[e]
Ssq23epx[r],glyc[c],ksi_deg27_l,gtocophe[e]
lanost[r],glyc[m],ksi_deg29_l,f1a[g]
lpchol_hs[c],lgt__S[m],ksi_deg30_l,f1a[l]
g3pc[c],gthrd[m],ksi_deg32_l,fuc1p__L[c]
retinol[c],gmp[n],ksi_deg33_l,gdpfuc[c]
retinol[c]is_11[c],6pgc[r],ksi_deg35_l,ttdca[c]
retinol_9[c]is[c],ru5p__D[r],ksi_deg36_l,tdcoa[c]
trp_[l][c],sarcs[c],ksi_deg38_l,ptdca[c]
trypta[c],gp1calpha_hs[c],ksi_deg39_l,ptdcacoa[c]
malt[l],gp1calpha_hs[g],ksi_deg40_l,hdca[c]
malt[c],em2emgacpail_prot_hs[r],ksi_deg41_l,hpdca[c]
man[e],hdca[r],ksii_core2_deg2_l,hpdcacoa[c]
normete_[l][c],gpi_prot_hs[r],ksii_core2_deg3_l,ocdca[c]
3mgcoa[m],mgacpail_hs[r],ksii_core2_deg5_l,vacc[c]
mercplac[c],gq1balpha_hs[c],ksii_core2_deg6_l,ocdcea[c]
mercplaccys[c],gq1balpha_hs[g],ksii_core2_deg8_l,lnlc[c]
tcynt[c],gq1b_hs[c],ksii_core2_deg9_l,lneldc[c]
5mdru1p[c],gq1b_hs[g],core6_l,lnlncg[c]
mepi[c],gsn[c],l2n2m2mn_l,lnlnca[c]
met_[l][e],gsn[l],ksii_core4_deg2_l,strdnc[c]
mev__R[x],gt1a_hs[c],ksii_core4_deg3_l,pristcoa[c]
5pmev[x],gt1a_hs[g],ksi_deg5_l,tmndnc[c]
mhista[c],gthox[m],ksi_deg6_l,phyt[c]
mi1345p[c],gthrd[r],ksi_deg8_l,phytcoa[c]
mi134p[c],gua[c],ksi_deg9_l,lgnc[c]
mi34p[c],xan[c],ksi_deg11_l,ttccoa[c]
mi1p__D[c],pe_hs[r],ksi_deg12_l,nrvnc[c]
mi145p[c],emgacpail_hs[r],ksi_deg14_l,nrvnccoa[c]
mi14p[c],m2gacpail_hs[r],ksi_deg15_l,tettet6[c]
mi4p__D[c],h2o2[l],ksi_deg17_l,tettet6coa[c]
mi3p__D[c],h2o2[n],ksi_deg18_l,tetpent6[c]
minohp[c],m3gacpail_hs[r],ksi_deg20_l,tetpent6coa[c]
minohp[n],em3gacpail_hs[r],ksi_deg21_l,tetpent3[c]
malttr[c],emem2gacpail_hs[r],ksi_deg23_l,tethex3[c]
malttr[e],em2emgacpail_hs[r],ksi_deg24_l,hexc[c]
malttr[l],m3emgacpail_hs[r],galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_c,hexccoa[c]
5mta[c],gpi_hs[r],galgluside_hs_l,octa[c]
5mdr1p[c],mem2emgacpail_hs[r],gm3_hs_g,occoa[c]
methf[m],pre_prot[r],gd3_hs_g,malcoa[c]
4aabutn[c],uacgam[c],gt3_hs_g,ddca[c]
ksi_deg7[l],udpglcur[c],cs_hs_linkage_g,whddca[c]
ksi_deg10[l],hdcea[c],cs_pre_g,whttdca[c]
ksi_deg13[l],hestratriol[c],cs_a_b_pre2_g,whhdca[c]
ksi_deg16[l],man[c],cs_a_b_pre3_g,fald[c]
ksi_deg19[l],4mlacac[c],cs_c_pre2_g,Sfglutth[c]
ksi_deg22[l],his_[l][c],cs_c_pre3_g,fald[l]
ksi_deg25[l],hista[c],cs_d_pre3_g,tdcoa[m]
ksi_deg28[l],his_[l][e],cs_d_pre4_g,ptdcacoa[m]
ksi_deg31[l],im4act[c],cs_e_pre3_g,occoa[m]
ksi_deg34[l],hmgcoa[c],cs_e_pre4_g,hpdcacoa[m]
cs_a_deg1[l],aacoa[c],Ser_Thr_g,stcoa[x]
ksi_deg37[l],hmgcoa[m],gal_c,octd11ecoa[m]
ksii[c]ore2_deg4[l],hmgcoa[x],galside_hs_c,lnlccoa[m]
ksii[c]ore2_deg7[l],hom_[l][c],gal_e,lneldccoa[m]
ksii[c]ore4_deg4[l],pheme[c],lxser_g,lnlncacoa[m]
cs_a_deg4[l],phyt2ohcoa[x],l2xser_g,lnlncgcoa[m]
cs_b_deg1[l],pristanal[x],xser_g,lnlncgcoa[x]
cs_b_deg2[l],hpdcacrn[c],gam_e,strdnccoa[m]
cs_d_deg1[l],hpdcacrn[m],gam_c,strdnccoa[x]
cs_d_deg2[l],hpyr[c],malt_e,tmndnccoa[m]
cs_d_deg5[l],hpyr[m],gd3_hs_c,nrvnccoa[x]
cs_d_deg6[l],hs_deg1[l],oagd3_hs_c,odecoa[x]
cs[e]_deg2[l],hs_deg2[l],oagd3_hs_g,tetpent6coa[x]
cs[e]_deg6[l],hs_deg6[l],gt3_hs_c,hexccoa[x]
Tn_antigen[l],hs_deg7[l],oagt3_hs_c,dcacoa[c]
udp[l],hs_deg12[l],oagt3_hs_g,ddcacoa[c]
udpacgal[l],hs_deg13[l],gar_c,xu1p__D[c]
udp[r],hs_deg18[l],fgam_c,dhap[c]
ump[r],hs_deg19[l],n2m2nmasn_l,gcald[c]
pi[g],cortsn[r],glc__D_c,tag1p__D[c]
ump[g],andrstndn[r],gluside_hs_l,glyald[c]
nicrns[c],tststerone[r],glc__D_l,f26bp[c]
nicrnt[c],nadph[x],gbside_hs_c,f6p[c]
prpp[c],nadp[x],gbside_hs_l,fe2[m]
nwharg[c],cholcoaone[x],gcald_m,ppp9[m]
no[c],eandrstrn[r],glyclt_m,pheme[m]
r1p[c],andrstandn[r],lpam_m,forcoa[c]
dimp[c],prgnlone[c],alpam_m,fe2[e]
uri[e],17ahprgnlone[c],dhlam_m,fe2[c]
ump[l],hspg[l],mlthf_m,fe3[e]
uri[l],hs[l],lpro_m,fuc__L[c]
cmp[l],hspg[g],alpro_m,Lfmkynr[c]
dtmp[l],pyam5p[c],dhlpro_m,Lkynr[c]
thymd[l],pydam[c],gchola_c,fol[c]
dtmp[m],taur[c],gd1b2_hs_c,fol[e]
thymd[m],icit[c],gd1b2_hs_g,forcoa[x]
amp[l],icit[x],gd1c_hs_c,for[m]
gmp[l],triodthy[c],gd1c_hs_g,for[r]
o2s[m],thyox_[l][c],gmp_g,5dhf[m]
succ[m],tyr_[l][c],gmp_c,thf[m]
retn[c],hs_deg5[l],gdpddman_c,frdp[x]
orn[e],idour[l],glu__L_l,frdp[r]
orot5p[c],hs_deg16[l],thf_l,fru[e]
prgnlone[m],hs_deg17[l],5oxpro_c,fru[c]
thcholstoic[m],hs_deg22[l],Tyr_ggn_c,thf[c]
leuktrB4woh[r],hs_deg23[l],udpg_c,fuc13galacglcgal14acglcgalgluside_hs[c]
xoldiolone[r],cs_b_deg3[l],ggn_c,fucacgalfucgalacglcgalgluside_hs[c]
leuktrB4wcooh[r],idour[c],ttc_ggdp_c,fucacgalfucgalacglcgalgluside_hs[g]
pro_[l][m],idp[n],leuktrC4_r,fucacngal14acglcgalgluside_hs[c]
paf_hs[c],ile_[l][e],glu__L_r,fucacngalacglcgalgluside_hs[c]
ak2lgchol_hs[c],ile_[l][c],leuktrD4_r,fucacngalacglcgalgluside_hs[g]
pail45p_hs[c],ile_[l][m],leuktrE4_c,ksi[l]
pail4p_hs[c],itacon[m],leuktrF4_c,fuc__L[l]
pan4p[c],itp[n],ser__L_m,ksi_deg1[l]
ptth[c],f1p[c],3htmelys_c,s2l2n2m2masn[l]
pchol_hs[m],xylu__D[c],4tmeabut_c,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[c]
pe_hs[m],tag__D[c],glac_c,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[g]
peamn[c],ksii[c]ore2[g],glcr_c,fucgalfucgalacglcgalgluside_hs[c]
pacald[c],ksii[c]ore2[l],glac_r,fucgalfucgalacglcgalgluside_hs[g]
pristcoa[x],ksii[c]ore4[g],glygn1_c,fucgalgbside_hs[c]
3php[c],ksii[c]ore4[l],glygn2_c,fucgalgbside_hs[g]
prostgh2[c],lcts[e],hs_deg9_l,4fumacac[c]
prostgd2[c],lgt__S[c],glcur_l,fum[m]
prostgh2[r],pi[l],hs_deg10_l,so4[m]
prostgd2[r],lald_[l][m],cs_a_deg2_l,so4[c]
prostge2[r],lac_[l][m],cs_a_deg3_l,tsul[m]
pgp_hs[c],lcts[g],cs_c_deg2_l,tsul[c]
1p3h5c[m],3spyr[c],cs_c_deg3_l,gdpfuc[g]
phe_[l][e],leuktrA4[r],cs_d_deg3_l,gdp[g]
phe_[l][c],leuktrB4[c],cs_d_deg4_l,acngalacglcgalgluside_hs[g]
thbpt4acam[c],leuktrB4[r],cs_e_deg3_l,fucgalacglc13galacglcgal14acglcgalgluside_hs[g]
phytcoa[x],leuktrC4[c],cs_e_deg4_l,fucfucgalacglc13galacglcgal14acglcgalgluside_hs[g]
succ[x],leuktrD4[c],ha_l,acngal14acglcgalgluside_hs[g]
pail345p_hs[c],leu_[l][e],ha_deg1_l,ksii_core4_pre1[g]
pi[n],leu_[l][c],ha_pre1_l,ksii_core4_pre6[g]
pail34p_hs[c],leu_[l][m],cs_b_pre4_g,ksii_core4_pre9[g]
pail3p_hs[c],xyl__D[l],hs_pre10_g,ksii_core4_pre10[g]
pail35p_hs[c],cs_a_deg5[l],hs_pre11_g,ksii_core2_pre1[g]
pail5p_hs[c],cs[c]_deg5[l],cs_a_b_e_pre1_g,ksii_core2_pre6[g]
ppmi12346p[c],cs[e]_deg7[l],udpglcur_g,ksii_core2_pre9[g]
ppmi12346p[n],lipoate[c],cs_c_d_e_pre1_g,ksii_core2_pre10[g]
pnto__R[e],ficytC[m],cs_d_pre2_g,glyc3p[c]
pnto__R[c],lac_[l][c],cs_e_pre2_g,glu5sa[m]
pppi[c],focytC[m],hs_pre1_g,1pyr5c[m]
ppa[e],lneldccrn[c],hs_pre2_g,glu5p[m]
phpyr[c],lneldccrn[m],hs_pre3_g,6pgl[r]
2hyoxplac[c],lnlccrn[c],hs_pre4_g,g6p[c]
pppg9[c],lnlccrn[m],hs_pre5_g,gudac[c]
pppg9[m],lnlncacrn[c],hs_pre6_g,gacpail_hs[c]
pram[c],lnlncacrn[m],hs_pre7_g,gacpail_hs[r]
prist[x],lnlncgcrn[c],hs_pre8_g,galside_hs[g]
pro__D[e],lnlncgcrn[m],hs_deg3_l,paps[g]
pro__D[c],lanost[c],hs_deg4_l,pap[g]
prostge1[c],44mctr[c],hs_deg8_l,sgalside_hs[g]
prostgh2[e],Ssq23epx[r],hs_deg14_l,galacglcgalgbside_hs[c]
prostgi2[e],lanost[r],hs_deg15_l,ksi_deg26[l]
prostgi2[c],lpchol_hs[c],hs_deg20_l,gal[l]
pro_[l][e],g3pc[c],hs_deg21_l,ksi_deg27[l]
pro_[l][c],mag_hs[c],hs_deg24_l,ksi_deg29[l]
ps_hs[m],glyc[e],hs_deg25_l,ksi_deg30[l]
ps_hs[c],retinol[c],hs_pre9_g,ksi_deg32[l]
ptdcacrn[c],retinol[c]is_11[c],glc__D_g,ksi_deg33[l]
ptdcacrn[m],retinol_9[c]is[c],glcur_c,ksi_deg35[l]
hdca[x],trp_[l][c],glcur_r,ksi_deg36[l]
ahdt[c],trypta[c],dxtrn_c,ksi_deg38[l]
6pthp[c],3mldz[c],glygn3_c,ksi_deg39[l]
ptrc[c],malt[l],gln__L_m,ksi_deg40[l]
