mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
4mop[c],so3[c],3moxtyr_c,3aib[c]
4mop[m],pyr[m],3sala_m,3dphb[m]
4mptnl[c],so3[m],asp__L_c,3dpdhb[m]
4mptnl[e],adrnl[c],3sala_c,3dsphgn[c]
4mptnl[m],mma[c],asp__L_m,sphgn[c]
5adtststeroneglc[c],nrpphr[c],hyptaur_c,3hanthrn[c]
5adtststeroneglc[e],4abut[c],3snpyr_c,cmusa[c]
5adtststeroneglc[r],4abut[m],3snpyr_m,b2coa[m]
5adtststerone[c],accoa[m],so3_c,3hbcoa__R[m]
5adtststerone[r],4hbz[m],pyr_m,3hibutcoa[m]
5aop[c],4hdebrisoquine[e],so3_m,3hmp[m]
5aop[m],4hdebrisoquine[c],adrnl_c,hLkynr[c]
5dhf[c],4hglusa[m],mma_c,42A3HP24DB[c]
5dhf[l],e4hglu[m],nrpphr_c,glu__L[c]
h2o[e],4hoxpacd[c],4abut_c,dopa[c]
5htrp[c],4hphac[c],4abut_m,3mox4hpac[c]
srtn[c],4mop[c],accoa_m,3mlda[c]
5hoxindact[c],4mop[m],4hbz_m,3mlda[e]
5hoxindoa[c],4mptnl[c],4hdebrisoquine_e,3mob[c]
5mthf[e],4mptnl[e],4hdebrisoquine_c,3mob[m]
5mthf[c],4mptnl[m],4hglusa_m,3mop[c]
5thf[l],4nphsf[e],e4hglu_m,3mop[m]
6dhf[c],4nphsf[c],4hoxpacd_c,3m4hpga[c]
6dhf[l],4nph[c],4hphac_c,3mox4hoxm[c]
6thf[l],4nph[e],4mop_c,3moxtyr[c]
7dhchsterol[r],5adtststerones[c],4mop_m,3sala[m]
7dhchsterol[c],5adtststerones[e],4mptnl_c,asp__L[c]
7dhf[c],5adtststerone[c],4mptnl_e,3sala[c]
7dhf[l],5adtststerone[r],4mptnl_m,asp__L[m]
7thf[c],5aop[c],4nphsf_e,hyptaur[c]
7thf[l],5aop[m],4nphsf_c,3snpyr[c]
h2o[l],5dhf[c],4nph_c,3snpyr[m]
m2mn[l],5dhf[l],4nph_e,so3[c]
man[l],5fthf[e],4pyrdx_c,pyr[m]
mn[l],5fthf[c],4pyrdx_e,so3[m]
galgluside_hs[c],h2o[e],5adtststeroneglc_c,adrnl[c]
udpgal[c],5htrp[c],5adtststeroneglc_e,mma[c]
thcrm_hs[c],srtn[c],5adtststeroneglc_r,nrpphr[c]
udp[c],5hoxindact[c],5adtststerones_c,4abut[c]
galgluside_hs[g],5hoxindoa[c],5adtststerones_e,4abut[m]
udpgal[g],5mthf[c],5adtststerone_c,coucoa[m]
h[g],5thf[c],5adtststerone_e,4hbzcoa[m]
thcrm_hs[g],5thf[l],5adtststerone_r,accoa[m]
