"Gene","TPM.amygdala.878","TPM.amygdala.879","TPM.amygdala.880","TPM.amygdala.881","TPM.caudate.putamen.846","TPM.caudate.putamen.847","TPM.caudate.putamen.848","TPM.caudate.putamen.849","TPM.cerebellum.850","TPM.cerebellum.851","TPM.cerebellum.852","TPM.cerebellum.853","TPM.corpus.callosum.882","TPM.corpus.callosum.883","TPM.corpus.callosum.884","TPM.entorhinal.cortex.826","TPM.entorhinal.cortex.827","TPM.entorhinal.cortex.828","TPM.entorhinal.cortex.829","TPM.frontal.cortex.834","TPM.frontal.cortex.835","TPM.frontal.cortex.836","TPM.frontal.cortex.837","TPM.hippocampal.formation.814","TPM.hippocampal.formation.815","TPM.hippocampal.formation.816","TPM.hippocampal.formation.817","TPM.hypothalamus.823","TPM.hypothalamus.824","TPM.hypothalamus.825","TPM.hypothalamus.822","TPM.midbrain.866","TPM.midbrain.867","TPM.midbrain.868","TPM.midbrain.869","TPM.occipital.cortex.842","TPM.occipital.cortex.843","TPM.occipital.cortex.844","TPM.occipital.cortex.845","TPM.olfactory.bulb.854","TPM.olfactory.bulb.855","TPM.olfactory.bulb.856","TPM.olfactory.bulb.857","TPM.pituitary.gland.885","TPM.pituitary.gland.886","TPM.pituitary.gland.887","TPM.pituitary.gland.888","TPM.pons.and.medulla.870","TPM.pons.and.medulla.871","TPM.pons.and.medulla.872","TPM.pons.and.medulla.873","TPM.retina.818","TPM.retina.819","TPM.retina.820","TPM.retina.821","TPM.retrosplenial.and.cingulate.cortex.830","TPM.retrosplenial.and.cingulate.cortex.831","TPM.retrosplenial.and.cingulate.cortex.832","TPM.retrosplenial.and.cingulate.cortex.833","TPM.septum.874","TPM.septum.875","TPM.septum.876","TPM.septum.877","TPM.somatosensory.cortex.838","TPM.somatosensory.cortex.839","TPM.somatosensory.cortex.840","TPM.somatosensory.cortex.841","TPM.thalamus.862","TPM.thalamus.863","TPM.thalamus.864","TPM.thalamus.865","TPM.ventral.forebrain.858","TPM.ventral.forebrain.859","TPM.ventral.forebrain.860","TPM.ventral.forebrain.861"
"Pde6h",0.13467875,0.240656,0.21090925,0.1222645,0.00738075,0.009918,0.02305925,0.17350925,0.02347375,0.12106875,0.1197685,0.0210425,0.08997325,0.00248075,0.00237725,0.75218225,0.21745025,0.123318,0.27825825,0.13661025,0.21374525,0.1081495,0.012688,0.32481425,0.01753,0.1307975,0.03093475,0.0144375,0.14094775,0.2854595,0.12811775,0.0099105,0.02855225,0.55229025,0.02512475,0.0069175,0.0169175,0.0109675,0.10164875,0.01093475,0.0110125,0.129433,0.007851,0.095061,0,0.0034865,0,0.18961475,0.08704725,0.3364775,0.204466,29.147323,28.7294475,27.0798275,16.48300775,0.0116905,0.10093225,0.11867075,0.2658415,0.0071185,0,0.1080795,0.38877475,0.152199,0.11757025,0.01390175,0.01574075,0.1936475,0.139568,0.3226535,0.15922025,0.0205635,0.1163595,0,0.1604685
"Pde7a",1.2327423,1.399064,1.2008003,1.242848,0.5989523,0.6090276,1.0037028,0.8395223,1.095901,1.2328397,1.2859835,1.292987,0.8631706,0.745721,0.7872247,1.5271546,1.39215,1.264627,1.2038412,1.0160098,0.9849238,0.8915386,0.9196913,1.4252126,1.4416238,1.180561,1.191329,0.7967266,1.3689557,1.431835,1.0429278,1.1827819,1.433077,1.2790379,1.1390688,1.0801322,1.8892413,1.4051156,1.1951703,1.506132,1.2326408,1.7829304,1.1130015,0.6043877,0.3565244,0.320333,0.6497129,0.8560693,1.2302326,0.7071715,0.8275224,0.7019096,1.1251268,0.6877444,0.8580667,1.036499,1.1921276,0.6184073,0.8975499,1.1291423,0.91303,0.4984396,0.9368012,1.0096465,1.1419534,1.2468597,1.4256394,0.9776139,1.040041,1.0192545,1.164628,0.9767613,0.8186936,0.7118077,1.4855065
"Pde7b",1.928666375,1.921346625,2.73990575,2.415677,15.250019125,13.4666825,11.31931675,10.919725375,1.01198375,1.109315,1.349808,1.21819525,1.973120375,0.928740375,0.374829125,1.436986375,1.5600645,1.19642425,1.319849625,1.988728375,1.865369,1.85507125,1.81809025,0.923258,1.147771375,0.838332625,1.01913825,2.15391475,2.2481825,2.71800325,2.4137,1.649855875,2.053095625,2.20521625,1.966465625,1.854349125,1.827979375,2.2136565,1.63419025,1.398642375,1.405569875,1.495472625,1.400337375,1.1839815,0.4485575,0.571234625,2.047388625,0.84150525,0.915016875,0.890201125,0.8926555,0.614121,0.5953925,0.4514125,0.61400475,1.2575415,1.06729775,1.2029395,1.4344905,2.595542375,1.118694875,1.051452625,2.148164,1.906562875,1.73831375,2.05863625,1.617316875,3.386242,2.91538125,3.64891125,3.39843625,8.14982825,7.83424325,6.34272,8.397755125
"Pde8a",1.75057333333333,1.73626,2.24882666666667,1.58768,4.98057266666667,4.58751566666667,4.51848,3.4946,2.54011666666667,2.71911,2.450669,2.27000333333333,14.6505666666667,12.3461333333333,8.549,3.93070166666667,2.81668966666667,2.09295266666667,1.23652666666667,2.52293566666667,2.47317333333333,2.08967666666667,1.84346333333333,3.05281366666667,4.10394033333333,5.15555833333333,3.9035,4.288389,4.39386666666667,5.100075,3.74883333333333,9.83754066666667,9.22759366666667,8.51461666666667,8.98693233333333,2.90834533333333,2.63992,2.55879333333333,2.468137,1.84271333333333,1.81779333333333,1.71196,1.60217666666667,3.17307966666667,2.21229766666667,1.12127333333333,1.76519,9.32057733333333,9.75154033333333,7.818222,9.139193,4.36387666666667,7.839647,3.646665,5.00059466666667,2.57851666666667,2.65950433333333,1.86531333333333,3.88121666666667,3.08266533333333,2.79122,3.52876666666667,5.05293333333333,3.176142,3.00376033333333,2.31324333333333,3.502046,8.912362,9.95341733333333,8.29977666666667,8.44572866666667,3.10734566666667,2.73881066666667,1.94653,2.62576666666667
"Pde8b",3.436362,3.16547414285714,4.02002614285714,3.48113957142857,5.71866857142857,5.207454,5.52291185714286,4.98980642857143,0.660716357142857,0.667670357142857,0.618287,0.682919785714286,1.80341257142857,1.49340485714286,1.15323371428571,4.18092621428571,4.46664885714286,2.989532,4.09832692857143,4.62563535714286,4.06333385714286,3.7126825,3.255028,2.817462,3.40135271428571,3.108691,3.03333114285714,2.80968385714286,3.11669042857143,3.23388064285714,3.41833628571429,2.3276315,2.22477714285714,2.26344992857143,2.12072157142857,4.81681578571429,4.822743,4.78086028571429,4.07624871428571,0.655259357142857,0.877508785714286,1.13764571428571,0.970448214285714,0.790630642857143,0.536969214285714,0.345492642857143,0.633786428571429,1.33072614285714,1.47559414285714,1.2216895,1.26143692857143,3.14340607142857,3.69881364285714,2.83177171428571,2.95860442857143,3.677595,2.96685621428571,3.40873771428571,3.71743464285714,3.40939014285714,2.12245207142857,2.45711285714286,2.61406442857143,5.16267742857143,3.86692107142857,4.21915814285714,3.86495185714286,1.40564192857143,1.45480707142857,2.11269257142857,1.71488657142857,6.12471014285714,6.2396525,5.65717228571429,6.85771521428571
"Pde9a",0.644794071428571,0.772709678571429,0.456337964285714,0.687663571428571,0.38608125,0.344859214285714,0.403840535714286,0.335051214285714,2.32390189285714,2.07728260714286,2.39309228571428,2.26026089285714,0.2484185,0.265027607142857,0.238047285714286,0.444699642857143,0.525853178571429,0.602348892857143,0.541782892857143,0.353205678571429,0.37719225,0.329726642857143,0.317533928571429,0.486606392857143,0.423635464285714,0.291571607142857,0.532041535714286,0.527409535714286,0.6369785,0.524999321428571,0.567479821428571,0.553180535714286,0.520588535714286,0.615903535714286,0.522465285714286,0.358951071428571,0.397155892857143,0.313372035714286,0.4072045,0.44868825,0.395777928571429,0.462081928571428,0.335661285714286,0.285505071428572,0.288390857142857,0.128277821428571,0.173771178571429,0.616102571428571,0.494828178571429,0.51686025,0.554785428571429,0.237122285714286,0.407929392857143,0.263672035714286,0.250965714285714,0.300781964285714,0.263501785714286,0.226266035714286,0.299345964285714,0.638614714285714,0.596786035714286,0.577542071428572,0.816861964285715,0.331506857142857,0.370108857142857,0.306831142857143,0.485555642857143,0.550589428571429,0.6610945,0.505938464285714,0.624600857142857,0.612499142857143,0.616683857142857,0.448799785714286,0.522848642857143
"Pdf",11.45836,11.81114,10.15958,10.865695,8.135195,8.33868,9.23487,8.43158,14.87462,17.265605,14.572755,16.028925,5.755075,6.573805,5.740535,9.872075,11.120905,9.732975,9.93136,11.097055,10.5228,11.194085,8.813825,12.497352,11.3484,9.36176,11.36267,8.50377,10.34314,8.783735,8.939725,10.581175,13.223605,10.19825,10.361855,10.088105,9.61798,10.536625,10.175155,9.094135,9.023475,9.199265,8.83599,5.9863335,6.405875,5.157965,5.730495,10.763894,10.51246,12.93974,9.723234,6.727495,7.446805,7.667965,4.69664,10.804285,10.424825,7.981425,10.126995,8.44667,9.446415,8.8762155,9.862815,11.01909,12.469345,10.71783,11.415505,10.663955,8.59759,9.81725,10.694785,9.835995,8.648815,7.698325,10.57743
"Pdgfa",5.29363971428571,5.79963485714286,4.711417,5.71071385714286,3.19172428571429,3.64463142857143,3.203209,3.82007357142857,2.82546142857143,2.27829714285714,2.32837428571429,2.44643057142857,4.92954571428571,5.54636142857143,4.14350228571429,4.81064657142857,6.31566928571429,4.444956,5.26494571428571,3.97765,4.47354828571429,5.36157057142857,5.89705857142857,4.32349142857143,5.45581285714286,5.06618857142857,5.04638328571429,4.48191571428571,4.96368757142857,5.50579942857143,6.26240714285714,5.04676857142857,5.00471571428571,4.80052771428571,5.16345171428571,4.85356614285714,5.13459028571429,4.37582285714286,5.22488142857143,3.08058428571429,3.40563828571429,3.44754328571429,2.90867257142857,0.514200714285714,0.280148857142857,0.347043714285714,0.413330857142857,4.46341428571429,4.97628571428571,4.79514142857143,4.55523,0.738907714285714,0.787906571428571,0.921185571428571,0.844422285714286,5.87550571428571,5.32565757142857,6.02109514285714,6.29027142857143,4.79323857142857,3.86947085714286,4.08228714285714,3.981965,4.40830571428571,3.76964857142857,5.99593,4.00013857142857,5.41369042857143,4.26392371428571,4.59634328571429,4.86589428571429,3.962109,4.47674585714286,2.78139428571429,4.019936
"Pdgfb",4.74308075,5.35650475,4.64485525,4.193195,2.17004725,2.27946725,2.376529,2.147631,1.3648555,1.065394,0.91038675,0.65581975,2.16052675,2.6825825,2.25889575,3.83921725,4.675423,3.96812075,4.827575,3.62141675,3.83193125,4.53580575,4.99997775,3.8108115,4.20185025,4.11783675,3.6558525,1.74670525,1.93167875,2.0341175,2.44996825,1.75800675,1.51376825,2.00234075,1.451417,3.1978205,3.9112145,4.213993,3.54742175,4.125529,2.87077775,2.91883,3.7058955,0.606542,0.4011205,0.3608125,0.4972335,1.7679745,1.66661,1.894372,1.4783545,0.48962375,0.580373,0.710914,0.3374085,4.341982,5.83704325,4.2919925,4.050097,3.611762,2.98633725,3.05551025,2.850327,3.3198405,3.121902,3.818516,2.842852,2.325663,1.69654025,2.33644525,2.45835675,3.354886,3.00691125,2.57986275,2.97937075
"Pdgfc",1.71058166666667,2.06098333333333,1.64327433333333,1.870904,1.71942833333333,1.52774333333333,1.985647,1.90615233333333,0.571307666666667,0.832861333333333,0.931663333333333,0.851003,2.74132666666667,2.92921333333333,2.704025,1.77921433333333,2.0518,2.09732,2.13507666666667,2.13348666666667,2.123329,2.31389333333333,1.92528866666667,1.77654866666667,1.82624833333333,1.68969666666667,2.10098333333333,2.13799833333333,2.472244,1.92565666666667,2.286635,1.37732566666667,1.50032766666667,2.02093833333333,1.88639333333333,1.43166666666667,1.81493666666667,1.91255433333333,1.63823333333333,3.04971333333333,3.29884666666667,3.62257866666667,3.375136,0.476316666666667,0.353866333333333,0.289505,0.315859,1.65549,1.746473,1.54792766666667,1.66746933333333,0.948025666666667,1.03765033333333,0.88615,0.602471333333333,2.20508033333333,2.11362,2.03709633333333,2.279046,2.33856333333333,2.28229,2.40432333333333,2.68308,1.73553066666667,1.63732666666667,2.04132,1.901162,1.74373,1.516079,1.537093,1.62055133333333,2.08090833333333,1.47144766666667,1.56029966666667,2.28182
