mets,genes,rxns
e4hglu[m],75986,6HMSMVACIDhep
4hoxpacd[c],67512,6HMSMVhep
4hphac[c],102247,6HSMVACIDhep
4mop[c],68262,6HSMVhep
4mop[m],28169,6MELACAChep
4mptnl[c],52123,6MELVACtbc
4mptnl[e],55979,6MSMVhep
4mptnl[m],67216,6OHFVShc
4mtolbutamide[e],268782,7BHGLZhr
4mtolbutamide[c],71760,7DHCDCHOLabc
4nphsf[e],11611,7DHCDCHOLt
4nphsf[c],15211,7DHCDCHOLt2
4nph[c],15212,7DHCHOLabc
4nph[e],67054,7DHCHOLt
4pyrdx[c],67863,7DHCHOLt2
4pyrdx[e],27376,7HPVShc
5adtststeroneglc[c],114644,7HPVSteb
5adtststeroneglc[e],77337,7KILTCHOLATP
5adtststeroneglc[r],83702,7KILTCHOLt
5adtststerones[c],208665,A4GALTc
5adtststerones[e],20514,A4GALTg
5adtststerone[c],55963,A4GNT1g
5adtststerone[e],53896,A4GNT2g
5adtststerone[r],17254,AACOAT
5aop[c],11656,AACTOOR
5aop[m],26912,AASAD3
5dhf[c],11655,AATA
5dhf[l],67760,ABO1g
5fthf[e],11988,ABO2g
5fthf[c],56774,ABO3g
h2o[e],11987,ABO4g
5htrp[c],105727,ABO5g
srtn[c],69354,ABO6g
5homeprazole[e],11989,ABO7g
5homeprazole[c],74338,ABO8g
5hoxindact[c],57394,ABO9g
5hoxindoa[c],70008,ABTArm
5htrp[e],76282,ABUTD
5mthf[e],108682,ABUTt2r
5mthf[c],209837,ABUTt2rL
5thf[c],76257,ABUTt4_2_r
5thf[l],225791,ACACT10m
5thf[m],58810,ACACT1m
6dhf[c],11668,ACACT1r
6dhf[l],19378,ACACT1x
6dhf[m],110695,ACACt2
6htststerone[c],56752,ACACt2m
6htststerone[e],11671,ACACT4m
6htststerone[r],72535,ACACT4p
6thf[c],11669,ACACT5m
6thf[l],11684,ACACT5p
6thf[m],11688,ACACT6m
7dhchsterol[r],11687,ACACT6p
7dhchsterol[c],11689,ACACT7m
7dhf[c],110198,ACACT7p
7dhf[l],11677,ACACT8p
7dhf[m],17117,ACACT9p
7thf[c],67582,ACChex
7thf[l],109674,ACCOAC
7thf[m],229665,ACCOACrm
h2o[l],11717,ACCOAgt
m2mn[l],16790,ACCOAL
man[l],109959,ACCOALm
mn[l],100043688,ACCOAtr
galgluside_hs[c],100043684,ACER11r
udpgal[c],100043686,ACER12r
thcrm_hs[c],11722,ACER21g
udp[c],20532,ACER22g
galgluside_hs[g],30962,ACER23g
udpgal[g],26459,ACER31r
h[g],242669,ACETONEt2
thcrm_hs[g],330836,ACETONEt2m
udp[g],11847,ACGAM2E
T_antigen[g],11898,ACGAM6PS
uacgam[g],83885,ACGAMK
gncore1[g],18408,ACGAMPM
core2[g],11883,ACGPID
gncore2[g],11886,ACGSm
aact[c],54338,ACHEe
mthgxl[c],20522,ACHVESSEC_1
aact[m],66514,ACITL
L2aadp6sa[m],27053,ACMPGLUChr
fucgalacglcgalgluside_hs[g],69719,ACMPGLUtep
udpacgal[g],20513,ACMPGLUthc
acgalfucgalacglcgalgluside_hs[g],20510,ACMPGLUTtep
galfucgalacglcgalgluside_hs[g],20512,ACMPGLUTthc
fuc12gal14acglcgalgluside_hs[g],20511,ACMPShc
galfuc12gal14acglcgalgluside_hs[g],242607,ACMPthc
acgalfuc12gal14acglcgalgluside_hs[g],12496,ACMPtu
fucgalacgalfuc12gal14acglcgalgluside_hs[g],12495,ACNAM9PL
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],215446,ACNAM9PL2
fucgalacglcgal14acglcgalgluside_hs[g],12497,ACNAMlt
acgalfucgalacglcgal14acglcgalgluside_hs[g],12499,ACNAMPH
