mets,genes,rxns
nifedipine[c],,HMR_0303
nmn[m],,HMR_0304
nmn[n],,HMR_0305
nmn[c],,HMR_0306
prpp[c],,HMR_0307
nwharg[c],,HMR_0308
no[c],,HMR_0309
r1p[c],,HMR_0310
npthl[c],,HMR_0311
nrpphrsf[c],,HMR_0317
sT_antigen[g],,HMR_0319
dimp[c],,HMR_0321
uri[e],,HMR_0322
ump[l],,HMR_0323
uri[l],,HMR_0324
cmp[l],,HMR_0325
dtmp[l],,HMR_0326
thymd[l],,HMR_0327
dtmp[m],,HMR_0328
thymd[m],,HMR_0329
amp[l],,HMR_0343
gmp[l],,HMR_0344
o2s[m],,HMR_0345
o2s[n],,HMR_0346
o2s[x],,HMR_0347
o2[n],,HMR_0354
succ[m],,HMR_0358
omeprazole[c],,HMR_0359
onpthl[c],,HMR_0362
retn[c],,HMR_0363
oretn[c],,HMR_0366
13_cis_retn[c],,HMR_0367
13_cis_oretn[c],,HMR_0370
orn[e],,HMR_0371
orot5p[c],,HMR_0374
prgnlone[m],,HMR_0375
xoltriol[m],,HMR_0378
xoltetrol[m],,HMR_0380
thcholst[m],,HMR_0381
thcholstoic[m],,HMR_0382
xol7ah2[m],,HMR_0383
xol7ah3[m],,HMR_0384
xol7ah2al[m],,HMR_0385
xol27oh[m],,HMR_0386
taxol[c],,HMR_0387
tolbutamide[c],,HMR_0388
perillyl[c],,HMR_0389
xol24oh[r],,HMR_0390
xoltri24[r],,HMR_0391
hnifedipine[c],,HMR_0392
whtststerone[r],,HMR_0393
12harachd[r],,HMR_0394
wharachd[r],,HMR_0395
leuktrB4woh[r],,HMR_0406
18harachd[r],,HMR_0410
xoltri25[r],,HMR_0414
xol27oh[r],,HMR_0415
xoltri27[r],,HMR_0418
xoldiolone[r],,HMR_0419
leuktrB4wcooh[r],,HMR_0422
20ahchsterol[m],,HMR_0423
pro__L[m],,HMR_0426
pa_hs[r],,HMR_0427
pa_hs[g],,HMR_0428
pac[c],,HMR_0429
phaccoa[c],,HMR_0430
paf_hs[c],,HMR_0431
ak2lgchol_hs[c],,HMR_0432
pail_hs[n],,HMR_0433
pail45p_hs[c],,HMR_0434
pail45p_hs[n],,HMR_0435
pail4p_hs[c],,HMR_0436
pail4p_hs[n],,HMR_0437
pan4p[c],,HMR_0438
ptth[c],,HMR_0439
pchol_hs[m],,HMR_0582
pchol_hs[r],,HMR_0586
pchol_hs[g],,HMR_0593
am6sa[c],,HMR_0597
camp[g],,HMR_0598
amp[g],,HMR_0601
35cgmp[g],,HMR_0614
pdx5p[c],,HMR_0625
pydx5p[c],,HMR_0629
pydxn[c],,HMR_0634
pe_hs[m],,HMR_0641
peamn[c],,HMR_0642
pacald[c],,HMR_0653
pristcoa[x],,HMR_0654
3php[c],,HMR_0657
prostgh2[c],,HMR_0672
prostgd2[c],,HMR_0678
prostgh2[r],,HMR_0750
prostgd2[r],,HMR_0753
prostge2[r],,HMR_0758
prostgi2[r],,HMR_0761
pgp_hs[c],,HMR_0765
pheacgln[c],,HMR_0767
1p3h5c[m],,HMR_0770
phe__L[e],,HMR_0783
phe__L[c],,HMR_0793
phe__L[m],,HMR_0795
phpyr[m],,HMR_0803
thbpt4acam[c],,HMR_0805
phytcoa[x],,HMR_0806
succ[x],,HMR_0807
phllqne[c],,HMR_0808
pail345p_hs[c],,HMR_0810
pail345p_hs[n],,HMR_0811
pi[n],,HMR_0812
pail34p_hs[c],,HMR_0814
pail34p_hs[n],,HMR_0815
pail3p_hs[n],,HMR_0816
pail3p_hs[c],,HMR_0817
pail35p_hs[c],,HMR_0819
pail5p_hs[c],,HMR_0820
pail5p_hs[n],,HMR_0821
ppmi12346p[c],,HMR_0822
ppmi12346p[n],,HMR_0823
pnto__R[e],,HMR_0824
pnto__R[c],,HMR_0825
pppi[c],,HMR_0827
ppa[e],,HMR_0828
phpyr[c],,HMR_0829
2hyoxplac[c],,HMR_0830
pppg9[c],,HMR_0835
pppg9[m],,HMR_0836
pram[c],,HMR_0837
prgnlones[c],,HMR_0839
prist[x],,HMR_0841
pro__D[e],,HMR_0842
pro__D[c],,HMR_0843
prostge1[c],,HMR_0844
prostgh2[e],,HMR_0846
prostgi2[e],,HMR_0847
prostgi2[c],,HMR_0848
pro__L[e],,HMR_0849
pro__L[c],,HMR_0851
ps_hs[m],,HMR_0852
ps_hs[c],,HMR_0853
ptdcacrn[c],,HMR_0854
ptdcacrn[m],,HMR_0855
hdca[x],,HMR_0859
phyt[x],,HMR_0860
ahdt[c],,HMR_0864
6pthp[c],,HMR_0867
ptrc[c],,HMR_0868
4abutn[c],,HMR_0875
pd3[c],,HMR_0876
pydx[c],,HMR_0877
quln[c],,HMR_0878
retinal_cis_13[c],,HMR_0889
retinal_11_cis[c],,HMR_0890
retinal_cis_9[c],,HMR_0906
retn[n],,HMR_0908
rbl__D[c],,HMR_0909
ru5p__D[c],,HMR_0910
rbt[c],,HMR_0911
retinol_cis_13[c],,HMR_0942
retnglc[c],,HMR_0946
13_cis_retnglc[c],,HMR_0950
13_cis_retnglc[r],,HMR_0954
retnglc[r],,HMR_0960
retn[r],,HMR_0963
13_cis_retn[r],,HMR_0980
ribflv[e],,HMR_0981
rib__D[e],,HMR_0985
rib__D[c],,HMR_0986
rnam[c],,HMR_0987
Rtotal3crn[c],,HMR_1030
Rtotal3crn[m],,HMR_1033
cs_d_pre5[g],,HMR_1037
cs_b_pre5[g],,HMR_1039
hs_pre12[g],,HMR_1077
hs_pre13[g],,HMR_1081
hs_pre14[g],,HMR_1084
hs_pre15[g],,HMR_1085
hs_deg11[l],,HMR_1102
cs_e_pre5a[g],,HMR_1126
cs_e_pre5b[g],,HMR_1127
cs_e_deg1[l],,HMR_1129
cs_e_deg5[l],,HMR_1280
ksi_deg4[l],,HMR_1305
ksii_core2_deg1[l],,HMR_1307
ksii_core4_deg1[l],,HMR_1321
saccrp__L[m],,HMR_1325
sarcs[x],,HMR_1329
fald[x],,HMR_1388
sph1p[r],,HMR_1390
sphgn[r],,HMR_1392
sphs1p[r],,HMR_1465
sphings[r],,HMR_1467
sbt__D[c],,HMR_1477
ser__D[e],,HMR_1478
ser__D[c],,HMR_1479
ser__L[x],,HMR_1490
sgalside_hs[c],,HMR_1493
acngalgbside_hs[g],,HMR_1494
sph1p[c],,HMR_1495
sl__L[c],,HMR_1500
sphmyln_hs[g],,HMR_1502
sphmyln_hs[l],,HMR_1503
spc_hs[c],,HMR_1504
sphings[c],,HMR_1505
sphmyln_hs[c],,HMR_1509
so4[e],,HMR_1516
xolest_hs[c],,HMR_1532
sphs1p[c],,HMR_1536
spmd[c],,HMR_1538
o2[e],,HMR_1539
sql[r],,HMR_1540
gm1b_hs[g],,HMR_1543
gd1a_hs[g],,HMR_1544
gt1b_hs[g],,HMR_1545
gt1alpha_hs[g],,HMR_1546
gq1c_hs[g],,HMR_1547
strdnccrn[c],,HMR_1548
strdnccrn[m],,HMR_1549
so4[r],,HMR_1550
estrones[r],,HMR_1551
succ[e],,HMR_1552
sucr[e],,HMR_1557
taur[e],,HMR_1565
tchola[c],,HMR_1620
tcynt[m],,HMR_1627
tdchola[c],,HMR_1629
tdchola[x],,HMR_1630
thmpp[c],,HMR_1631
thmmp[c],,HMR_1635
thmpp[m],,HMR_1637
thmmp[m],,HMR_1644
tetpent3crn[c],,HMR_1651
tetpent3crn[m],,HMR_1653
tetpent3coa[m],,HMR_1665
tetpent6crn[c],,HMR_1666
tetpent6crn[m],,HMR_1681
tetpent6coa[m],,HMR_1685
tettet6crn[c],,HMR_1706
tettet6crn[m],,HMR_1735
tettet6coa[m],,HMR_1737
thcholstoic[x],,HMR_1738
thymd[e],,HMR_1739
thymd[c],,HMR_1740
thm[c],,HMR_1741
thm[m],,HMR_1742
thmtp[c],,HMR_1743
thp2c[c],,HMR_1746
tmlys[c],,HMR_1747
tmndnccrn[c],,HMR_1748
tmndnccrn[m],,HMR_1749
trdox[c],,HMR_1750
trdrd[c],,HMR_1751
q10[c],,HMR_1754
q10h2[c],,HMR_1756
tre[c],,HMR_1760
tre[e],,HMR_1761
triodthysuf[c],,HMR_1762
trp__L[e],,HMR_1765
ts3[c],,HMR_1766
tststeroneglc[c],,HMR_1767
tststeroneglc[r],,HMR_1768
tststerones[c],,HMR_1769
tststerone[c],,HMR_1770
ttdcrn[m],,HMR_1771
ttdcrn[c],,HMR_1781
txa2[c],,HMR_1783
txa2[r],,HMR_1785
tymsf[c],,HMR_1786
tym[c],,HMR_1807
tyr__L[e],,HMR_1838
tyr__L[m],,HMR_1847
udpacgal[c],,HMR_1897
ump[c],,HMR_1916
udpglcur[r],,HMR_1927
udpg[r],,HMR_1928
udpxyl[g],,HMR_1929
udpxyl[c],,HMR_1940
udpxyl[r],,HMR_1941
ahandrostan[r],,HMR_1944
ump[n],,HMR_1948
ura[e],,HMR_1949
urate[c],,HMR_1958
urate[x],,HMR_1962
urea[e],,HMR_1967
urea[c],,HMR_1968
val__L[e],,HMR_1970
val__L[c],,HMR_1971
val__L[m],,HMR_1976
vitd3[c],,HMR_1979
dhcholestanate[r],,HMR_1980
dhcholestancoa[r],,HMR_1981
thcholstoic[r],,HMR_1982
cholcoar[r],,HMR_1983
whtststerone[c],,HMR_1988
xan[x],,HMR_1989
xolest2_hs[c],,HMR_1990
xoltri24[c],,HMR_1991
xoltri25[c],,HMR_1992
xoltri27[c],,HMR_1993
xser[r],,HMR_1996
xu5p__D[c],,HMR_2007
xylt[c],,HMR_2010
Ser_Gly_Ala_X_Gly[r],,HMR_2011
xyl__D[c],,HMR_2014
4abutn[e],,HMR_2016
acmana[e],,HMR_2018
ahdt[e],,HMR_2029
ctp[e],,HMR_2041
dgmp[e],,HMR_2088
dgtp[e],,HMR_2089
dha[e],,HMR_2190
dhap[e],,HMR_2193
dtmp[e],,HMR_2210
dttp[e],,HMR_2211
fad[e],,HMR_2215
fald[e],,HMR_2217
g1p[e],,HMR_2218
isomal[e],,HMR_2219
HC00250[e],,HMR_2259
HC01104[e],,HMR_2260
HC01361[e],,HMR_2261
HC01440[e],,HMR_2262
HC01441[e],,HMR_2263
HC01444[e],,HMR_2264
HC01446[e],,HMR_2265
HC01577[e],,HMR_2266
HC01609[e],,HMR_2267
cpppg1[e],,HMR_2268
HC01700[e],,HMR_2269
HC02160[e],,HMR_2270
HC02161[e],,HMR_2281
itp[e],,HMR_2282
orot[e],,HMR_2284
prpp[e],,HMR_2287
pydx5p[e],,HMR_2288
udpg[e],,HMR_2289
HC00822[l],,HMR_2292
HC00617[c],,HMR_2293
HC00619[c],,HMR_2295
dpcoa[m],,HMR_2296
ppi[e],,HMR_2332
HC01672[c],,HMR_2334
HC01434[m],,HMR_2336
HC01434[x],,HMR_2338
HC00591[c],,HMR_2342
HC00591[m],,HMR_2343
uacgam[r],,HMR_2344
acmana[r],,HMR_2345
cdp[e],,HMR_2347
HC01118[r],,HMR_2348
lac__L[x],,HMR_2349
fdp[c],,HMR_2350
HC00250[c],,HMR_2353
HC01496[m],,HMR_2354
glyc3p[x],,HMR_2355
dhap[x],,HMR_2356
HC01668[m],,HMR_2359
glyald[m],,HMR_2361
r5p[r],,HMR_2362
ptrc[e],,HMR_2363
HC01408[m],,HMR_2364
xmp[c],,HMR_2365
arachd[x],,HMR_2368
pmtcoa[r],,HMR_2380
HC00342[m],,HMR_2395
thym[m],,HMR_2433
56dthm[m],,HMR_2434
glyc__R[m],,HMR_2435
3pg[m],,HMR_2436
3hpp[m],,HMR_2440
HC00682[m],,HMR_2457
2mpdhl[m],,HMR_2472
HC01377[m],,HMR_2484
HC01254[c],,HMR_2530
HC00361[c],,HMR_2533
e4p[c],,HMR_2535
s7p[c],,HMR_2537
HC10859[c],,HMR_2540
HC10859[m],,HMR_2541
HC10859[x],,HMR_2542
pmtcrn[r],,HMR_2543
pmtcrn[x],,HMR_2581
lnlccoa[r],,HMR_2585
lnlccrn[r],,HMR_2602
lnlccoa[x],,HMR_2603
lnlccrn[x],,HMR_2604
arachdcoa[r],,HMR_2608
arachdcrn[r],,HMR_2609
arachdcrn[x],,HMR_2610
hdcoa[r],,HMR_2611
hdcecrn[r],,HMR_2613
HC01712[m],,HMR_2620
dgmp[c],,HMR_2621
HC00576[c],,HMR_2622
HC00718[c],,HMR_2624
mev__R[c],,HMR_2633
dtdp[e],,HMR_2634
fol[m],,HMR_2635
5fthf[m],,HMR_2644
hxdcal[c],,HMR_2648
cysam[c],,HMR_2649
pacald[m],,HMR_2650
pac[m],,HMR_2651
betald[c],,HMR_2652
HC01522[c],,HMR_2653
HC00460[c],,HMR_2657
HC00900[m],,HMR_2659
cholate[r],,HMR_2661
cholcoa[r],,HMR_2666
ptth[m],,HMR_2667
pan4p[m],,HMR_2668
L2aadp6sa[c],,HMR_2669
HC01501[c],,HMR_2670
3hpcoa[m],,HMR_2671
HC01376[m],,HMR_2673
HC00664[c],,HMR_2675
HC01180[c],,HMR_2676
4hpro_LT[c],,HMR_2677
1p3h5c[c],,HMR_2679
4hpro_LT[m],,HMR_2681
cholcoa[c],,HMR_2682
HC01415[m],,HMR_2683
3odcoa[m],,HMR_2684
c8crn[m],,HMR_2685
c8crn[x],,HMR_2686
ddcacoa[m],,HMR_2687
3otdcoa[m],,HMR_2688
2mop[c],,HMR_2689
HC00900[c],,HMR_2690
C02470[c],,HMR_2691
HC00955[e],,HMR_2692
co2[e],,HMR_2693
C02528[r],,HMR_2695
dcholcoa[r],,HMR_2697
C02528[c],,HMR_2699
dcholcoa[c],,HMR_2700
HC01412[m],,HMR_2701
3ohdcoa[m],,HMR_2702
3hddcoa[m],,HMR_2703
3hddcoa[x],,HMR_2704
dd2coa[x],,HMR_2705
fpram[c],,HMR_2706
HC01223[m],,HMR_2707
xol7ah2al[c],,HMR_2708
dhcholestanate[c],,HMR_2709
HC01397[m],,HMR_2710
HC01397[x],,HMR_2711
3htdcoa[m],,HMR_2712
3htdcoa[x],,HMR_2713
HC01412[x],,HMR_2715
3oddcoa[m],,HMR_2718
dcacoa[m],,HMR_2722
3hdcoa[m],,HMR_2727
3hdcoa[x],,HMR_2731
dc2coa[m],,HMR_2733
dc2coa[x],,HMR_2734
HC01405[m],,HMR_2735
HC01406[m],,HMR_2736
hxcoa[m],,HMR_2737
HC01407[m],,HMR_2738
hx2coa[m],,HMR_2739
xol7ah3[c],,HMR_2740
xoltetrol[c],,HMR_2741
HC01459[x],,HMR_2753
34dhmald[m],,HMR_2757
34dhoxmand[m],,HMR_2760
3mox4hpac[m],,HMR_2764
homoval[m],,HMR_2768
3m4hpga[m],,HMR_2769
3mox4hoxm[m],,HMR_2770
HC02228[c],,HMR_2771
HC01842[c],,HMR_2772
citr__L[e],,HMR_2773
inost[r],,HMR_2774
HC00319[c],,HMR_2775
HC00319[m],,HMR_2776
r5p[c],,HMR_2817
adp[l],,HMR_2819
atp[l],,HMR_2821
cmp[r],,HMR_2827
acgam[r],,HMR_2851
arachd[l],,HMR_2852
hdca[l],,HMR_2857
spmd[e],,HMR_2859
na1[r],,HMR_2861
strdnc[l],,HMR_2862
strdnc[r],,HMR_2865
lnlc[l],,HMR_2866
lnlc[r],,HMR_2884
C02528[e],,HMR_2886
c8crn[c],,HMR_2888
thcholstoic[c],,HMR_2890
C02470[e],,HMR_2942
dtmp[c],,HMR_2943
HC02110[r],,HMR_2944
2obut[m],,HMR_2945
cdpchol[r],,HMR_2946
HC02020[r],,HMR_2947
hdd2coa[r],,HMR_2948
HC02021[r],,HMR_2951
stcoa[r],,HMR_2954
HC02022[r],,HMR_2955
odecoa[r],,HMR_2956
HC02023[r],,HMR_2957
HC02024[r],,HMR_2961
lnlncgcoa[r],,HMR_2962
HC02025[r],,HMR_2963
HC02026[r],,HMR_2964
HC02027[r],,HMR_2965
hdcea[r],,HMR_2966
ocdca[r],,HMR_2967
ocdcea[r],,HMR_2968
lnlnca[r],,HMR_2969
lnlncg[r],,HMR_2970
lnlncg[l],,HMR_2971
ocdcea[l],,HMR_2972
hdcea[l],,HMR_2973
lnlnca[l],,HMR_2974
dlnlcg[l],,HMR_2975
dlnlcg[r],,HMR_2976
HC00822[e],,HMR_2977
HC02121[c],,HMR_2978
xtsn[c],,HMR_2979
HC02136[c],,HMR_2980
btcoa[c],,HMR_2982
his__L[m],,HMR_2983
met__L[m],,HMR_2985
cys__L[m],,HMR_2986
thr__L[m],,HMR_2988
HC10856[m],,HMR_2989
HC10857[m],,HMR_2990
HC10858[m],,HMR_2994
HC02192[e],,HMR_2998
HC02192[c],,HMR_2999
HC02193[e],,HMR_3001
HC02193[c],,HMR_3002
HC02195[e],,HMR_3003
HC02195[c],,HMR_3018
HC02196[e],,HMR_3021
HC02196[c],,HMR_3023
HC02220[e],,HMR_3057
HC02220[c],,HMR_3058
dca[c],,HMR_3059
dca[e],,HMR_3062
HC02199[c],,HMR_3063
HC02199[e],,HMR_3064
HC02200[c],,HMR_3065
HC02200[e],,HMR_3066
HC02201[c],,HMR_3067
HC02201[e],,HMR_3068
zn2[e],,HMR_3069
zn2[c],,HMR_3070
pyr[e],,HMR_3071
acac[e],,HMR_3072
lac__L[e],,HMR_3073
but[e],,HMR_3075
HC02191[e],,HMR_3076
HC02191[c],,HMR_3094
HC02194[e],,HMR_3095
HC02194[c],,HMR_3096
HC02197[e],,HMR_3097
HC02197[c],,HMR_3098
HC02198[e],,HMR_3099
HC02198[c],,HMR_3100
HC02187[e],,HMR_3101
HC02187[c],,HMR_3102
HC02180[e],,HMR_3107
HC02180[c],,HMR_3108
wharachd[e],,HMR_3109
wharachd[c],,HMR_3110
HC02202[e],,HMR_3111
HC02202[c],,HMR_3112
HC02203[e],,HMR_3113
HC02203[c],,HMR_3114
HC02204[e],,HMR_3115
HC02204[c],,HMR_3116
HC02205[e],,HMR_3117
HC02205[c],,HMR_3128
HC02206[e],,HMR_3149
HC02206[c],,HMR_3170
HC02207[e],,HMR_3171
HC02207[c],,HMR_3172
HC02208[e],,HMR_3173
HC02208[c],,HMR_3174
HC02210[e],,HMR_3175
HC02210[c],,HMR_3176
HC02213[e],,HMR_3177
HC02213[c],,HMR_3178
HC02214[e],,HMR_3179
HC02214[c],,HMR_3180
HC02216[e],,HMR_3181
HC02216[c],,HMR_3182
HC02217[e],,HMR_3183
HC02217[c],,HMR_3184
HC00342[c],,HMR_3185
oxa[m],,HMR_3186
c4crn[c],,HMR_3187
c4crn[m],,HMR_3188
dlnlcgcoa[r],,HMR_3189
so3[e],,HMR_3190
sprm[e],,HMR_3191
glcn[c],,HMR_3192
6pgc[c],,HMR_3193
trdrd[n],,HMR_3194
trdox[n],,HMR_3195
CE2421[m],,HMR_3196
CE0713[m],,HMR_3197
CE2421[x],,HMR_3198
CE0713[x],,HMR_3199
C10164[c],,HMR_3200
CE2251[c],,HMR_3201
CE2247[c],,HMR_3202
CE2243[c],,HMR_3203
CE2250[c],,HMR_3204
arachcoa[e],,HMR_3205
malcoa[e],,HMR_3218
CE2250[e],,HMR_3219
coa[e],,HMR_3220
CE2246[c],,HMR_3221
CE2242[c],,HMR_3222
CE2253[c],,HMR_3223
CE2249[c],,HMR_3224
CE2245[c],,HMR_3225
docoscoa[c],,HMR_3229
docosac[c],,HMR_3230
3ohodcoa[c],,HMR_3231
CE2248[c],,HMR_3232
CE1935[e],,HMR_3233
CE1940[e],,HMR_3234
CE1943[e],,HMR_3235
CE1944[c],,HMR_3236
CE1936[e],,HMR_3237
CE1939[e],,HMR_3240
CE2705[c],,HMR_3241
thbpt4acam[n],,HMR_3242
CE2705[n],,HMR_3243
CE2870[c],,HMR_3244
CE2866[c],,HMR_3245
maltttr[c],,HMR_3246
maltttr[e],,HMR_3247
CE2873[c],,HMR_3296
CE2872[c],,HMR_3321
CE2875[c],,HMR_3322
CE2874[c],,HMR_3326
maltpt[e],,HMR_3327
malthx[e],,HMR_3328
CE2915[e],,HMR_3329
CE4722[e],,HMR_3330
CE2916[e],,HMR_3331
CE4723[e],,HMR_3332
CE2917[e],,HMR_3333
CE4724[e],,HMR_3334
malthp[e],,HMR_3335
CE2839[c],,HMR_3336
CE2838[c],,HMR_3337
CE2839[e],,HMR_3338
CE2838[e],,HMR_3339
CE1950[e],,HMR_3340
cynt[e],,HMR_3341
CE0737[c],,HMR_3342
CE1243[c],,HMR_3343
andrstndn[c],,HMR_3344
CE1352[c],,HMR_3345
chsterols[r],,HMR_3346
prgnlones[r],,HMR_3347
N1aspmd[c],,HMR_3348
n8aspmd[c],,HMR_3349
CE2028[c],,HMR_3350
pail_hs[r],,HMR_3351
pail5p_hs[r],,HMR_3352
pail45p_hs[m],,HMR_3353
CE5101[m],,HMR_3398
CE2434[m],,HMR_3406
CE2434[x],,HMR_3407
CE0849[m],,HMR_3408
CE2433[m],,HMR_3409
CE0849[x],,HMR_3411
CE2433[x],,HMR_3413
CE0785[m],,HMR_3414
CE2432[m],,HMR_3416
CE0785[x],,HMR_3421
CE2432[x],,HMR_3422
dece4coa[x],,HMR_3423
dec24dicoa[x],,HMR_3424
C05279[m],,HMR_3425
CE2420[m],,HMR_3426
C05279[x],,HMR_3427
CE2420[x],,HMR_3428
CE2417[m],,HMR_3429
CE2417[x],,HMR_3431
CE2418[m],,HMR_3432
CE2418[x],,HMR_3433
CE2422[m],,HMR_3446
CE2422[x],,HMR_3447
CE2424[m],,HMR_3448
CE2424[x],,HMR_3449
CE0693[m],,HMR_3450
CE0693[x],,HMR_3451
C05280[m],,HMR_3452
C05280[x],,HMR_3453
dece4coa[m],,HMR_3454
C05298[c],,HMR_3455
C05299[c],,HMR_3456
CE5236[c],,HMR_3457
CE5236[n],,HMR_3475
CE1918[c],,HMR_3491
xol7aone[m],,HMR_3505
xol27oh[c],,HMR_3522
CE0233[c],,HMR_3625
cholcoa[m],,HMR_3626
cholate[m],,HMR_3627
cholate[x],,HMR_3628
dhcholestancoa[c],,HMR_3629
CE1589[c],,HMR_3630
tdechola[c],,HMR_3631
23cump[e],,HMR_3633
3ump[e],,HMR_3635
CE5586[c],,HMR_3636
retinal_cis_9[r],,HMR_3637
CE1617[r],,HMR_3639
retinal_cis_13[r],,HMR_3640
CE1261[c],,HMR_3642
CE5026[c],,HMR_3644
C09642[c],,HMR_3645
CE5626[c],,HMR_3646
CE5629[c],,HMR_3647
CE4890[c],,HMR_3648
CE1401[c],,HMR_3649
pail35p_hs[r],,HMR_3650
pail345p_hs[r],,HMR_3651
C11695[c],,HMR_3652
C02712[m],,HMR_3653
C02356[c],,HMR_3654
prostge2[m],,HMR_3655
HC02203[m],,HMR_3656
C05957[r],,HMR_3657
C05957[c],,HMR_3658
CE4877[c],,HMR_3659
CE2026[m],,HMR_3660
dchac[c],,HMR_3662
dchac[r],,HMR_3663
CE2176[c],,HMR_3664
bgly[c],,HMR_3665
CE2934[c],,HMR_3666
CE2172[c],,HMR_3667
C03681[c],,HMR_3668
CE2211[c],,HMR_3669
CE5072[c],,HMR_3670
CE1310[m],,HMR_3675
C05300[c],,HMR_3677
C05300[r],,HMR_3678
CE5786[e],,HMR_3679
CE5788[e],,HMR_3680
CE5789[e],,HMR_3681
CE5797[e],,HMR_3682
CE5798[e],,HMR_3684
CE5276[c],,HMR_3685
CE5025[c],,HMR_3686
CE5787[e],,HMR_3687
CE5791[e],,HMR_3688
CE5021[c],,HMR_3689
CE5022[c],,HMR_3690
CE2576[c],,HMR_3692
CE2577[c],,HMR_3694
C05301[c],,HMR_3695
C05302[c],,HMR_3696
CE1925[c],,HMR_3698
CE5853[c],,HMR_3699
CE1926[c],,HMR_3701
CE5854[c],,HMR_3703
C05109[c],,HMR_3704
ddsmsterol[c],,HMR_3705
dsmsterol[c],,HMR_3706
CE4968[m],,HMR_3707
CE4970[m],,HMR_3708
CE4969[m],,HMR_3709
CE5867[e],,HMR_3710
CE5868[e],,HMR_3711
CE5869[e],,HMR_3712
CE4633[e],,HMR_3713
no2[e],,HMR_3714
CE4881[e],,HMR_3715
CE4888[c],,HMR_3716
CE5665[c],,HMR_3717
CE5854[e],,HMR_3718
CE1926[e],,HMR_3719
glcur[e],,HMR_3721
CE6205[c],,HMR_3722
C13856[c],,HMR_3723
CE6252[c],,HMR_3724
C01041[c],,HMR_3725
CE5166[m],,HMR_3726
cholcoar[m],,HMR_3727
CE5166[x],,HMR_3728
CE4872[c],,HMR_3729
CE4872[m],,HMR_3734
CE1589[r],,HMR_3736
HC02191[r],,HMR_3737
HC02191[x],,HMR_3738
HC02192[x],,HMR_3739
C02712[c],,HMR_3740
CE1556[c],,HMR_3741
retinal[r],,HMR_3855
CE1617[c],,HMR_3859
crm_hs[e],,HMR_3864
udpgal[e],,HMR_3915
galside_hs[e],,HMR_3966
crm_hs[n],,HMR_4079
udpgal[n],,HMR_4124
galside_hs[n],,HMR_4422
udpgal[r],,HMR_4700
galside_hs[r],,HMR_4701
CE7047[c],,HMR_4756
no2[c],,HMR_4772
CE5986[c],,HMR_4777
C01747[l],,HMR_4816
CE5125[x],,HMR_4964
CE5126[x],,HMR_5387
CE0074[c],,HMR_5389
hdcea[m],,HMR_6359
CE5643[c],,HMR_6362
CE0955[r],,HMR_6363
pail35p_hs[n],,HMR_6364
CE4795[m],,HMR_6365
CE4795[x],,HMR_6385
CE5114[x],,HMR_6397
CE4791[x],,HMR_6515
CE4793[x],,HMR_6545
CE2439[x],,HMR_6549
CE2440[x],,HMR_6550
CE2437[x],,HMR_6558
CE2438[x],,HMR_6580
CE2442[m],,HMR_6583
CE2442[x],,HMR_6584
CE2441[x],,HMR_6595
CE5116[x],,HMR_6611
CE5117[m],,HMR_6632
CE5118[m],,HMR_6633
CE5119[m],,HMR_6647
CE5120[m],,HMR_6728
CE4790[m],,HMR_6729
CE4792[m],,HMR_6747
CE4794[m],,HMR_6755
CE4990[c],,HMR_6826
leuktrB4[m],,HMR_6834
CE4990[m],,HMR_6838
leuktrB4[x],,HMR_6839
CE4990[x],,HMR_6844
leuktrB4woh[m],,HMR_6850
CE2053[m],,HMR_6854
CE2053[r],,HMR_6874
CE2053[c],,HMR_6907
leuktrB4wcooh[c],,HMR_6908
leuktrB4wcooh[m],,HMR_6909
CE2056[r],,HMR_6910
CE3554[r],,HMR_6975
CE2567[c],,HMR_6976
CE7172[c],,HMR_6977
C06315[c],,HMR_6978
C06314[c],,HMR_6989
cpppg1[c],,HMR_7180
C05769[c],,HMR_7181
cpppg3[c],,HMR_7256
C05770[c],,HMR_7278
CE2038[x],,HMR_7328
CE5934[x],,HMR_7329
C07297[x],,HMR_7469
CE4793[c],,HMR_7628
CE5114[c],,HMR_7748
CE4812[c],,HMR_7749
CE2209[c],,HMR_7755
CE4811[c],,HMR_7757
CE4810[c],,HMR_7758
lnlncacoa[r],,HMR_8287
CE4821[c],,HMR_8395
CE4819[c],,HMR_8397
CE4817[c],,HMR_8399
tmndnc[r],,HMR_8476
tmndnccoa[r],,HMR_8570
CE2313[c],,HMR_8571
CE2314[c],,HMR_8572
zymstnl[c],,HMR_8573
lthstrl[c],,HMR_8574
tethex3[r],,HMR_8575
tethex3coa[r],,HMR_8576
CE4833[c],,HMR_8577
CE4831[c],,HMR_8578
CE4835[c],,HMR_8579
CE4834[c],,HMR_8580
CE4849[c],,HMR_8582
CE4832[x],,HMR_8585
CE4820[x],,HMR_8643
CE4838[x],,HMR_8761
tetpent6[r],,HMR_8762
tetpent6coa[r],,HMR_9191
CE4841[c],,HMR_9561
CE4840[c],,HMR_9581
CE4842[c],,HMR_9582
CE4843[c],,HMR_9583
CE4845[c],,HMR_9584
CE4844[c],,HMR_9593
CE4846[c],,HMR_9602
CE4847[c],,HMR_9603
CE4852[c],,HMR_9604
CE4854[c],,HMR_9605
CE4850[c],,HMR_9608
CE4848[c],,HMR_9609
CE4853[c],,HMR_9610
CE4855[c],,HMR_9613
CE4851[c],,HMR_9614
