mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
13070,12858,76408,12140
13074,12859,28253,12183
13075,12861,233016,12215
13106,12862,109778,12319
13116,12864,55981,12346
13117,12865,23827,12349
13121,12866,26363,12350
13122,12867,330064,12351
13124,12868,80721,12352
13139,12870,103149,12353
13166,12892,73166,12354
13167,12894,18194,12408
13171,12895,15488,12411
13177,12896,66234,12491
13178,12908,320707,12494
13195,12934,11941,12495
13244,12974,67972,12496
13340,13016,381290,12497
13350,13026,12359,12499
13358,13070,110893,12583
13360,13074,20541,12613
13361,13075,110891,12638
13370,13076,109136,12642
13371,13077,14377,12647
13382,13078,14378,12651
13479,13086,68401,12660
13480,13087,227231,12686
13481,13088,12408,12709
13595,13095,52858,12715
13806,13097,74596,12716
13807,13098,110911,12735
13808,13106,99712,12751
13885,13107,212862,12764
14042,13110,223753,12780
14043,13112,68018,12799
140483,13113,57738,12846
14077,13114,12647,12850
14079,13116,237928,12857
14080,13117,13026,12858
14081,13120,236899,12859
14085,13121,108096,12861
140919,13122,27413,12862
14104,13123,218865,12864
14120,13124,12651,12865
14121,13139,12660,12866
14137,13166,63993,12867
14151,13167,20518,12868
14187,13171,20520,12870
14194,13177,54200,12892
14245,13178,59045,12894
14275,13180,11303,12895
14276,13195,81600,12896
14287,13244,67729,12908
14343,13340,71884,12934
14345,13350,20500,12974
14347,13358,13358,13016
14348,13360,12716,13026
14377,13370,76722,13070
14378,13371,12709,13072
14381,13382,12715,13074
14385,13480,23985,13075
14387,13481,171429,13076
14411,13487,66586,13077
14412,13521,24060,13078
14415,13595,12764,13079
14417,13806,73132,13081
14420,13807,436059,13086
14421,13808,230027,13087
14422,13850,217707,13088
14423,13861,12850,13095
14425,13885,72077,13097
14426,14042,14537,13098
14430,14043,218476,13106
14431,140483,272411,13107
14433,14077,102857,13110
14447,14079,12908,13112
14450,14080,30805,13113
14466,14081,12974,13114
14528,14085,74114,13115
14537,14104,20539,13116
14544,14120,50934,13117
14555,14121,12583,13120
14571,14137,215113,13121
14590,14151,26570,13122
14593,14187,72269,13123
14595,14194,11628,13124
14598,14245,80914,13139
14629,14287,22245,13142
14630,14319,66588,13162
14635,14325,22169,13166
14645,14343,320127,13167
14651,14344,217480,13171
14660,14345,104418,13177
14661,14347,380921,13178
14664,14348,110197,13180
14667,14377,227333,13190
14718,14378,13139,13195
14719,14381,56077,13244
14731,14385,110524,13340
14732,14387,13142,13350
14751,14411,93692,13358
14755,14412,69367,13360
14775,14415,70503,13361
14776,14417,13177,13370
14778,14420,23986,13371
14780,14421,13178,13382
14782,14422,20249,13479
14854,14423,56473,13480
14874,14425,76267,13481
14913,14426,13350,13487
14917,14430,67800,13521
14919,14431,27369,13595
14923,14433,20527,13806
14936,14447,20525,13807
14979,14450,20528,13808
15107,14528,74754,13850
15108,14537,13122,13861
15112,14538,13360,13885
15116,14544,13244,13909
15117,14555,70059,14042
15118,14571,20860,14043
15186,14583,56749,140483
15203,14584,64705,14077
15211,14590,22240,14079
15212,14593,12934,14080
15233,14595,57274,14081
15275,14598,110196,14085
15277,14626,74129,140919
15288,14629,67283,14120
15356,14630,380959,14121
15357,14635,68563,14137
15360,14645,13481,14151
15368,14651,13480,14187
15369,14660,59012,14194
15445,14661,13166,14204
15450,14664,22173,14245
15452,14667,20538,142681
15476,14718,13162,14275
15478,14719,20519,14276
15484,14731,12183,14287
15485,14732,18648,14317
15486,14751,56012,14319
15488,14755,192156,14325
15490,14775,232449,14343
15492,14776,99586,14344
15493,14778,21877,14345
15494,14780,57813,14347
15495,14782,110074,14348
15496,14854,16434,14377
15497,14874,13595,14378
15531,14913,93747,14381
15926,14917,11992,14385
15929,14919,51798,14387
15931,14923,74147,14411
15932,14933,26458,14412
16204,14936,108115,14415
16329,14979,58807,14417
16330,15107,239273,14420
16331,15108,108116,14421
16332,15112,110826,14422
16430,15186,110842,14423
16434,15211,66841,14425
16514,15212,75320,14426
16523,15233,214253,14430
16548,15275,75540,14431
16592,15277,435766,14433
16770,15288,74205,14447
16816,15356,50790,14450
16828,15357,14081,14466
16832,15360,433256,14528
16833,15368,328845,14537
16889,15369,216739,14538
16890,15445,117147,14583
16891,15446,18605,14584
16922,15450,209558,14590
16956,15476,83603,14593
16987,15478,170439,14595
17025,15483,68801,14598
170439,15484,54326,14626
170441,15485,666168,14629
170442,15486,100040843,14630
170716,15488,13117,14635
170718,15490,435802,14645
170768,15492,14104,14651
170789,15493,26457,14660
170835,15494,26569,14661
171167,15495,26568,14664
171168,15496,11674,14667
17117,15497,230163,14711
171210,15531,11676,14718
171212,15926,14121,14719
171281,15929,270198,14731
171282,15931,18639,14732
171405,15932,170768,14751
171429,16204,18640,14755
171567,16329,14120,14775
17159,16330,14151,14776
17161,16331,107747,14778
17250,16332,73649,14780
17252,16430,234730,14782
17254,16434,71562,14854
17330,16514,13361,14863
17339,16523,14287,14874
17423,16548,56017,14913
17436,16592,20526,14917
17449,16770,435818,14919
17711,16816,56485,14923
17768,16828,216188,14933
17855,16832,270685,14936
17919,16833,108156,14979
17939,16889,66848,15107
18010,16890,71665,15108
18102,16891,14085,15109
18103,16922,14194,15112
18125,16956,14343,15116
18126,16987,14348,15117
18127,16993,57370,15118
18160,17001,53418,15186
18174,17025,14595,15203
18193,170439,56336,15211
18194,170441,14571,15212
18242,170442,56454,15233
18263,170716,100198,15275
18293,170718,14381,15277
18399,170768,14385,15288
18408,170789,14431,15356
18416,170835,53897,15357
18451,171167,19025,15368
18452,171168,12091,15369
