mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
64705,54195,14319,28200
64707,54200,67634,28253
64898,54218,109754,29807
64899,54325,72017,29858
654821,54326,320635,29859
66052,54338,26462,29863
66054,54342,71743,30805
66065,54369,76952,30955
66142,54371,230718,30956
66152,54384,107569,30962
66171,54391,70881,30963
66190,54397,15452,319415
66194,54403,11821,319446
66204,54447,52633,319518
66234,54486,18770,319554
66248,545975,207182,319800
66286,54611,71522,319848
66350,54613,18641,319945
66355,54616,107869,320011
66411,54667,14555,320127
66435,54670,69080,320207
66445,54710,331026,320208
66461,55936,12411,320404
665563,55951,11647,320452
66576,55961,19895,320581
66586,55963,66355,320634
66588,55979,105446,320635
66594,55980,107239,320685
666168,55981,229363,320707
66624,56012,70025,320718
666417,56017,19063,320940
66646,56050,171281,320951
66659,56077,54397,320981
66681,56078,111175,320997
66694,56174,26922,327655
667034,56176,11370,327942
66775,56185,11363,327951
66812,56189,235582,328035
66834,56219,320208,328779
66841,56248,223646,328845
66848,56318,67375,329093
66853,56336,382985,329502
66865,56348,20133,329506
66885,56351,20135,329777
66902,56356,15357,329910
66925,56357,666417,330064
66945,56362,107885,330406
66948,56375,100039707,330671
67003,56386,211488,330836
67041,56388,211347,330962
67044,56421,74450,331026
67053,56448,75735,331487
67054,56451,269614,333182
67092,56454,67993,333424
67115,56473,22117,337924
67216,56485,227095,338362
67260,56520,69051,338366
67283,56529,22275,338403
67292,56632,13121,353169
67305,56690,433323,380660
67311,56703,20524,380701
67328,56749,229782,380921
67460,56752,27409,380959
67464,56773,67470,381022
67469,56774,237831,381290
67512,56794,223920,381694
67530,56847,16889,381925
67555,57028,76459,382053
67556,57138,12349,382985
67569,57170,230099,394430
67582,57274,23831,394432
67680,57279,12353,394433
67689,57357,12346,394434
67712,57370,12351,394435
67717,57738,12354,394436
67758,57813,12319,432530
67760,57874,71934,433022
67800,58193,27416,433182
67821,58246,18173,433256
67834,58250,22782,433323
67861,58807,224674,433931
67863,58810,11666,434121
67870,58875,19299,434203
67880,58994,217700,434264
67881,59012,67115,434437
67883,59027,72562,434674
67895,59031,29859,435766
67909,59033,67328,435802
67916,59045,76113,435818
67956,60322,71147,436008
67972,60525,234129,436059
67980,60527,12799,50493
68018,60596,107146,50770
68133,621603,13120,50773
68262,622127,13088,50784
68267,625249,13110,50785
68273,628779,81906,50786
68292,629203,74134,50787
68401,629219,631304,50790
68556,631304,109697,50798
68563,63828,232680,50799
68603,63959,329093,50877
68671,64008,74649,50917
68738,64292,11421,50934
68801,64385,16591,50935
68977,64436,56386,51797
69019,64580,22239,51798
69051,64602,18746,52064
69060,64705,18704,52123
69080,64707,240752,52430
69156,64898,18705,52466
69188,64899,26378,52538
69215,64918,67460,52633
69354,654821,109857,52710
69367,66052,28200,52815
69519,66054,320997,52858
69590,66065,13850,53332
69719,66142,74302,53357
69726,66152,77116,53374
69772,66171,14780,53415
69888,66190,104245,53418
69923,66194,218756,53625
69976,66204,233836,53881
70008,66234,20515,53893
70025,66248,20516,53896
70059,66286,240332,53897
70061,66350,15487,53973
70325,66355,13167,54122
70484,66411,26874,54128
70503,66422,225579,54150
70750,66435,94180,54195
70757,66445,102680,54200
70881,66447,56643,54218
70974,66454,52466,54325
71103,66461,12751,54326
71147,66514,14080,54338
71279,665563,66988,54342
71412,66576,18624,54369
71522,66586,18174,54371
71665,66588,53945,54384
71685,66594,11648,54391
71743,666168,17769,54397
71773,66624,66194,54403
71780,666417,66171,54447
71797,66646,226844,54486
71803,66659,66646,545975
71883,66681,108114,54611
71910,66694,18399,54613
71911,667034,19879,54616
71934,66775,234967,54667
71949,66812,243328,54670
72039,66834,27404,54710
72054,66841,26357,55936
72077,66848,11828,55951
72084,66853,11832,55961
72090,66865,27410,55963
72102,66885,11304,55979
72136,66902,109342,55980
72157,66925,230612,55981
72297,66945,246787,56012
72303,66948,241612,56017
72469,67003,16523,56050
72472,67041,20927,56077
72535,67044,20928,56078
72727,67053,16514,56174
72961,67054,19662,56176
72962,67092,20897,56185
73068,67115,19659,56189
73166,67216,19660,56219
73251,67260,20778,56315
73458,67283,237636,56318
73649,67292,15446,56336
73836,67305,74442,56348
74011,67311,74182,56351
74032,67328,64602,56357
74035,67460,78801,56362
74055,67464,11636,56375
74104,67469,11566,56386
74114,67512,11565,56388
74129,67530,114863,56421
74147,67555,11846,56448
74185,67556,12892,56451
74205,67569,51797,56454
74241,67582,55936,56473
74246,67634,14923,56485
74302,676527,110391,56520
74338,67680,14593,56529
74411,67689,433182,56632
74419,67712,13806,56643
74442,67717,13808,56690
74450,67758,13807,56703
74451,67760,15203,56720
74559,67800,319945,56727
74577,67834,216558,56749
74596,67861,14433,56752
74729,67863,100042025,56773
74754,67870,14447,56774
74769,67880,14583,56794
74776,67881,14584,56847
74782,67883,14645,57028
75320,67895,266744,57138
75410,67909,13479,57170
75454,67916,218138,57274
75456,67956,14528,57279
75475,67972,12350,57357
75483,67980,11826,57370
75497,67993,11829,57394
75512,68018,17339,57423
75540,68133,11827,57738
75572,68262,11830,57813
75578,68263,15288,57874
75612,68267,12035,58176
75735,68273,23917,58193
75769,68292,23918,58246
76025,68312,12215,58250
76051,68401,110119,58807
76187,68556,665563,58810
76238,68563,192185,58865
76267,68603,110895,58866
76282,68671,277973,58994
76376,68738,14751,59012
76408,68801,18655,59031
76429,68977,338366,59045
76459,69019,18663,60322
76485,69051,72157,60525
76500,69060,66681,60527
76507,69080,29858,60596
76654,69083,54128,621603
76668,69156,17025,622127
76687,69188,66812,625249
76722,69215,106564,628779
76893,69354,56189,629203
76898,69367,246049,629219
76952,69519,75456,631304
76969,69590,19139,63828
77116,69634,110639,63857
77337,69675,107272,63959
77559,69719,100678,63993
77626,69726,54391,64008
77683,69772,21351,64292
77974,69888,208967,64385
78038,69923,21881,64436
78070,69976,74419,64580
78174,70008,83553,64602
78600,70025,29807,64705
78752,70059,21991,64707
78754,70061,74246,64898
78801,70325,107652,64899
78830,70456,227620,64918
78894,70484,22276,654821
78920,70503,108052,66043
78923,70750,27411,66052
78925,70757,104816,66054
78928,70881,107476,66065
79059,70974,78914,66142
791260,71103,11534,66152
80707,71147,69519,66171
80721,71279,75572,66190
80879,71336,66204,66194
80911,71412,245847,66234
80914,71519,108147,66248
81535,71522,109900,66286
83398,71665,69634,66350
83493,71670,67980,66355
83553,71685,26384,66411
83603,71743,14635,66422
83702,71760,69976,66435
83885,71780,14430,66445
84095,71797,231327,66447
84505,71803,68977,66454
93683,71883,15109,66514
93692,71910,71761,665563
93732,71911,109801,66576
93747,71934,55980,66586
93898,71949,114663,66588
93961,72017,53332,66594
94180,72039,14913,666168
94181,72054,18263,66624
94192,72077,56421,666417
94224,72082,18642,66646
94249,72084,237823,66659
94284,72090,257635,66681
96979,72102,22171,66694
97212,72136,243537,667034
97287,72157,19703,66775
97440,72297,320685,66812
97884,72303,116914,66834
98660,72401,269378,66841
98711,72469,229709,66853
99586,72472,54670,66865
99712,72535,54667,66885
,72562,50770,66902
,72727,320940,66925
,73068,18669,66945
,73132,66834,66948
,73166,22227,67003
,73251,329910,67044
,73458,74104,67053
,73649,12491,67054
,73724,19765,67092
,73836,18104,67115
,74011,68312,67126
,74032,171168,67216
,74035,66190,67260
,74055,230379,67283
,74080,19156,67292
,74114,14667,67305
,74129,230101,67311
,74134,23956,67328
,74147,50877,67375
,74182,20452,67460
,74185,16890,67464
,74205,16891,67469
,74241,67758,67470
,74246,269060,67473
,74302,231871,67512
,74411,18947,67530
,74419,69060,67555
,74442,66853,67556
,74450,67717,67569
,74451,18946,67582
,74551,14077,67634
,74559,14079,676527
,74577,12140,67680
,74596,16592,67689
,74649,16204,67712
,74729,11770,67717
,74754,75497,67729
,74769,21884,67758
,74776,20216,67760
,74782,233799,67800
,75320,272428,67821
,75410,233801,67834
,75454,67469,67861
,75456,218121,67863
,75475,225010,67880
,75483,64898,67881
,75497,235044,67883
,75512,229791,67895
,75540,216152,67909
,75572,64899,67916
,75578,14245,67935
,75612,71910,67942
,75735,381925,67956
,75769,28042,67972
,76025,18807,67980
,76051,104759,67993
,76113,194908,68018
,76187,12038,68055
,76238,69923,68133
,76257,67260,68262
,76267,71949,68263
,76282,76893,68267
,76376,545975,68273
,76408,241447,68292
,76429,93898,68393
,76459,54447,68401
,76485,76485,68556
,76500,68273,68563
,76507,66435,68603
,76654,67909,68671
,76668,74782,68738
,76687,56375,68801
,76722,654821,68977
,76768,16430,69019
,76893,320011,69051
,76898,330406,69060
,76952,108155,69080
,76969,26878,69083
,77116,97884,69156
,77337,224143,69188
,77559,68292,69215
,77626,14422,69354
,77683,268510,69367
,77974,26877,69590
,78038,171167,69634
,78070,14347,69675
,78174,330671,69698
,78600,381694,69719
,78752,208211,69726
,78754,14345,69772
,78801,73068,69888
,78830,71103,69923
,78894,67555,69976
,78914,97440,69983
,78920,56356,70008
,78923,238023,70025
,78925,74577,70059
,78928,20448,70061
,79059,241159,70266
,791260,14344,70325
,80707,71519,70456
,80879,69590,70484
,80908,56351,70503
,80911,67053,70750
,80914,224024,70757
,81535,105349,70789
,81906,676527,70881
,83398,98386,71103
,83493,17919,71147
,83553,110611,71279
,83603,18145,71336
,83702,102294,71412
,83885,57357,71519
,84095,27400,71522
,84505,56348,71562
,84682,114664,71665
,93683,54325,71670
,93692,12686,71679
,93732,74559,71685
,93747,57874,71743
,93898,67044,71760
,93961,30963,71761
,94180,66775,71773
,94181,70757,71797
,94192,106529,71803
,94224,243078,71854
,94229,328035,71883
,94249,60527,71884
,96979,66411,71910
,97212,214663,71934
,97287,14187,71949
,97440,215015,72017
,97884,238024,72039
,98386,74035,72054
,98711,63828,72077
,99586,75578,72082
,99712,100503991,72084
,,235534,72090
,,101744,72094
,,331487,72102
,,319518,72136
,,18452,72157
,,18451,72269
,,320452,72297
,,67870,72303
,,104923,72401
,,67712,72469
,,246696,72472
,,54384,72535
,,75454,72562
,,219135,72727
,,209039,72947
,,103466,72961
,,103199,72962
,,75769,73068
,,329506,73132
,,237523,73166
,,72102,73251
,,218232,73333
,,227721,73458
,,97287,73649
,,66865,73836
,,101490,74011
,,74411,74032
,,83493,74035
,,67881,74055
,,17330,74080
,,217837,74104
,,227733,74114
,,22262,74129
,,241452,74134
,,20148,74147
,,791260,74156
,,107585,74185
,,13371,74205
,,13370,74241
,,56362,74246
,,69083,74302
,,52064,74338
,,69188,74411
,,231051,74419
,,233904,74442
,,20937,74450
,,208266,74451
,,75410,74551
,,107823,74559
,,225888,74577
,,192195,74596
,,214162,74649
,,232811,74729
,,239122,74754
,,208043,74769
,,84505,74776
,,73251,74782
,,234135,75320
,,64707,75410
,,18193,75454
,,381022,75456
,,74729,75475
,,77683,75483
,,235626,75497
,,67956,75512
,,69726,75540
,,110147,75578
,,69019,75612
,,66624,75735
,,76687,75750
,,56529,75769
,,66286,75986
,,57170,76025
,,107895,76051
,,67569,76113
,,69675,76187
,,227399,76257
,,327655,76267
,,70974,76282
,,67935,76376
,,13909,76408
,,382053,76429
,,104158,76459
,,67473,76485
,,380701,76500
,,75750,76507
,,20521,76654
,,66065,76668
,,71412,76687
,,53415,76722
,,234309,76768
,,13016,76893
,,69772,76898
,,70061,76952
,,436008,76969
,,74032,77031
,,80707,77116
,,67861,77337
,,320981,77559
,,76768,77626
,,11650,77683
,,330962,77974
,,106407,78038
,,94215,78070
,,72094,78174
,,269823,78600
,,22273,78752
,,66576,78754
,,17711,78801
,,66152,78830
,,66594,78894
,,67003,78914
,,66694,78920
,,66445,78923
,,22272,78925
,,67530,78928
,,20523,79059
,,22229,791260
,,22228,79235
,,74011,80707
,,66218,80721
,,226646,80879
,,227197,80908
,,67130,80911
,,66414,80914
,,66495,81535
,,68194,81600
,,100041273,81906
,,100042503,83398
,,407785,83493
,,68197,83553
,,66091,83603
,,54405,83702
,,75406,83885
,,225887,84095
,,230075,84505
,,66377,84682
,,67273,93683
,,595136,93692
,,68342,93732
,,17718,93747
,,80286,93898
,,68349,93961
,,17722,94180
,,17720,94181
,,102631912,94192
,,66416,94215
,,17995,94224
,,68202,94249
,,17719,94284
,,17992,94352
,,67184,96979
,,67264,97212
,,66108,97287
,,69875,97440
,,66046,97884
,,17993,98256
,,66916,98386
,,17717,98660
,,17991,98711
,,68375,99439
,,68198,99586
,,17716,99712
,,78330,
,,70316,
,,72900,
,,17721,
,,104130,
,,12868,
,,12866,
,,12859,
,,12857,
,,75483,
,,20463,
,,12867,
,,17708,
,,66142,
,,12862,
,,12864,
,,17709,
,,12858,
,,333182,
,,17710,
,,78174,
,,12865,
,,110323,
,,84682,
,,12861,
,,268756,
,,11950,
,,11951,
,,11957,
,,11958,
,,18195,
,,27425,
,,57423,
,,71679,
,,228033,
,,67942,
,,11946,
,,11947,
,,11949,
,,66043,
,,67126,
,,68055,
,,28080,
,,26464,
,,22361,
,,225326,
,,67292,
,,56176,
,,110417,
,,18700,
,,14755,
,,140494,
,,114143,
,,11984,
,,11974,
,,242341,
,,11972,
,,11975,
,,27060,
,,21871,
,,73834,
,,66144,
,,11973,
,,68775,
,,11964,
,,108664,
,,66290,
,,11966,
,,338375,
,,110935,
,,74915,
,,66237,
,,66335,
