"entrezgene_id","external_gene_name","ensembl_gene_id"
269346,"Slc28a2","ENSMUSG00000027219"
71279,"Slc29a3","ENSMUSG00000020100"
53893,"Nudt5","ENSMUSG00000025817"
12494,"Cd38","ENSMUSG00000029084"
12895,"Cpt1b","ENSMUSG00000078937"
78070,"Cpt1c","ENSMUSG00000007783"
12894,"Cpt1a","ENSMUSG00000024900"
12896,"Cpt2","ENSMUSG00000028607"
23972,"Papss2","ENSMUSG00000024899"
23971,"Papss1","ENSMUSG00000028032"
11564,"Adsl","ENSMUSG00000022407"
231727,"B3gnt4","ENSMUSG00000029431"
53625,"B3gnt2","ENSMUSG00000051650"
108902,"B4gat1","ENSMUSG00000047379"
210004,"B3gntl1","ENSMUSG00000046605"
232984,"B3gnt8","ENSMUSG00000059479"
227327,"B3gnt7","ENSMUSG00000079445"
72297,"B3gnt3","ENSMUSG00000031803"
75986,"Agmat","ENSMUSG00000040706"
67512,"Agpat2","ENSMUSG00000026922"
102247,"Gpat4","ENSMUSG00000031545"
68262,"Agpat4","ENSMUSG00000023827"
28169,"Agpat3","ENSMUSG00000001211"
52123,"Agpat5","ENSMUSG00000031467"
55979,"Agpat1","ENSMUSG00000034254"
67216,"Mboat2","ENSMUSG00000020646"
268782,"Agxt2","ENSMUSG00000089678"
71760,"Etnppl","ENSMUSG00000019232"
11611,"Agxt","ENSMUSG00000026272"
15211,"Hexa","ENSMUSG00000025232"
15212,"Hexb","ENSMUSG00000021665"
67054,"Paics","ENSMUSG00000029247"
67863,"Slc25a11","ENSMUSG00000014606"
27376,"Slc25a10","ENSMUSG00000025792"
114644,"Slc13a3","ENSMUSG00000018459"
77337,"Akr1c21","ENSMUSG00000021207"
83702,"Akr1c6","ENSMUSG00000021210"
208665,"Akr1d1","ENSMUSG00000038641"
20514,"Slc1a5","ENSMUSG00000001918"
55963,"Slc1a4","ENSMUSG00000020142"
53896,"Slc7a10","ENSMUSG00000030495"
17254,"Slc3a2","ENSMUSG00000010095"
11656,"Alas2","ENSMUSG00000025270"
26912,"Gcat","ENSMUSG00000006378"
26912,"Gcat","ENSMUSG00000116378"
11655,"Alas1","ENSMUSG00000032786"
67760,"Slc38a2","ENSMUSG00000022462"
11988,"Slc7a2","ENSMUSG00000031596"
56774,"Slc6a14","ENSMUSG00000031089"
11987,"Slc7a1","ENSMUSG00000041313"
105727,"Slc38a1","ENSMUSG00000023169"
69354,"Slc38a4","ENSMUSG00000022464"
11989,"Slc7a3","ENSMUSG00000031297"
74338,"Slc6a19","ENSMUSG00000021565"
57394,"Cltrn","ENSMUSG00000015401"
70008,"Ace2","ENSMUSG00000015405"
76282,"Gpt","ENSMUSG00000022546"
108682,"Gpt2","ENSMUSG00000031700"
209837,"Slc38a5","ENSMUSG00000031170"
76257,"Slc38a3","ENSMUSG00000010064"
225791,"Ptgr3","ENSMUSG00000049090"
58810,"Akr1a1","ENSMUSG00000028692"
11668,"Aldh1a1","ENSMUSG00000053279"
19378,"Aldh1a2","ENSMUSG00000013584"
110695,"Aldh7a1","ENSMUSG00000053644"
56752,"Aldh9a1","ENSMUSG00000026687"
11671,"Aldh3a2","ENSMUSG00000010025"
72535,"Aldh1b1","ENSMUSG00000035561"
11669,"Aldh2","ENSMUSG00000029455"
11684,"Alox12","ENSMUSG00000000320"
11688,"Alox8","ENSMUSG00000020891"
11687,"Alox15","ENSMUSG00000018924"
11689,"Alox5","ENSMUSG00000025701"
110198,"Akr7a5","ENSMUSG00000028743"
11677,"Akr1b1","ENSMUSG00000001642"
17117,"Amacr","ENSMUSG00000022244"
67582,"Slc25a26","ENSMUSG00000045100"
109674,"Ampd2","ENSMUSG00000027889"
229665,"Ampd1","ENSMUSG00000070385"
11717,"Ampd3","ENSMUSG00000005686"
16790,"Anpep","ENSMUSG00000039062"
109959,"Amy2a5","ENSMUSG00000074268"
100043688,"Amy2a2","ENSMUSG00000096569"
100043684,"Amy2a4","ENSMUSG00000096770"
100043686,"Amy2a3","ENSMUSG00000093931"
11722,"Amy1","ENSMUSG00000074264"
20532,"Slc3a1","ENSMUSG00000024131"
30962,"Slc7a9","ENSMUSG00000030492"
26459,"Slc27a5","ENSMUSG00000030382"
242669,"Azin2","ENSMUSG00000028789"
330836,"Slc7a6","ENSMUSG00000031904"
11847,"Arg2","ENSMUSG00000021125"
11898,"Ass1","ENSMUSG00000076441"
83885,"Slc25a2","ENSMUSG00000050304"
18408,"Slc25a15","ENSMUSG00000031482"
11883,"Arsa","ENSMUSG00000022620"
11886,"Asah1","ENSMUSG00000031591"
54338,"Slc23a2","ENSMUSG00000027340"
20522,"Slc23a1","ENSMUSG00000024354"
66514,"Asrgl1","ENSMUSG00000024654"
27053,"Asns","ENSMUSG00000029752"
69719,"Cad","ENSMUSG00000013629"
20513,"Slc1a6","ENSMUSG00000005357"
20510,"Slc1a1","ENSMUSG00000024935"
20512,"Slc1a3","ENSMUSG00000005360"
20511,"Slc1a2","ENSMUSG00000005089"
242607,"Slc1a7","ENSMUSG00000008932"
12496,"Entpd2","ENSMUSG00000015085"
12495,"Entpd1","ENSMUSG00000048120"
215446,"Entpd3","ENSMUSG00000041608"
12497,"Entpd6","ENSMUSG00000033068"
12499,"Entpd5","ENSMUSG00000021236"
72090,"Entpd8","ENSMUSG00000036813"
11739,"Slc25a4","ENSMUSG00000031633"
11740,"Slc25a5","ENSMUSG00000016319"
73333,"Slc25a31","ENSMUSG00000069041"
110173,"Manba","ENSMUSG00000028164"
26879,"B3galnt1","ENSMUSG00000043300"
54218,"B3galt4","ENSMUSG00000067370"
93961,"B3galt5","ENSMUSG00000074892"
108105,"B3gnt5","ENSMUSG00000022686"
12012,"Baat","ENSMUSG00000039653"
110948,"Hlcs","ENSMUSG00000040820"
22348,"Slc32a1","ENSMUSG00000037771"
170442,"Bbox1","ENSMUSG00000041660"
